contig	color	chromosome
haplotype1-0000001	#009E73	chr3
haplotype1-0000002	#E6B847	chr15
haplotype1-0000003	#D58C66	chr20
haplotype1-0000004	#D57533	chr13
haplotype1-0000005	#737373	chr14
haplotype1-0000006	#D57533	chr13
haplotype1-0000007	#1A7FBA	chr12
haplotype1-0000008	#9467BD	chrX
haplotype1-0000009	#E6C47F	chr22
haplotype1-0000010	#0072B2	chr5
haplotype1-0000011	#00A880	chr10
haplotype1-0000012	#CCA0BF	chr18
haplotype1-0000013	#56B4E9	chr2
haplotype1-0000014	#CC79A7	chr4
haplotype1-0000015	#E69F00	chr1
haplotype1-0000016	#D55E00	chr6
haplotype1-0000017	#5699E9	chr9
haplotype1-0000018	#E6AB23	chr8
haplotype1-0000019	#00B28C	chr17
haplotype1-0000020	#666666	chr7
haplotype1-0000021	#338CC2	chr19
haplotype1-0000022	#567DE9	chr16
haplotype1-0000023	#CC8DB3	chr11
haplotype1-0000024	#808080	chr21
haplotype1-0000025	#808080	chr21
haplotype1-0000026	#009E73	chr3
haplotype1-0000027	#D57533	chr13
haplotype1-0000028	#808080	chr21
haplotype1-0000029	#808080	chr21
haplotype1-0000030	#808080	chr21
haplotype1-0000031	#E6B847	chr15
haplotype1-0000032	#E6B847	chr15
haplotype1-0000033	#567DE9	chr16
haplotype1-0000034	#808080	chr21
haplotype1-0000035	#808080	chr21
haplotype2-0000036	#567DE9	chr16
haplotype2-0000037	#E6B847	chr15
haplotype2-0000038	#808080	chr21
haplotype2-0000039	#D58C66	chr20
haplotype2-0000040	#737373	chr14
haplotype2-0000041	#D57533	chr13
haplotype2-0000042	#1A7FBA	chr12
haplotype2-0000043	#9467BD	chrX
haplotype2-0000044	#E6C47F	chr22
haplotype2-0000045	#0072B2	chr5
haplotype2-0000046	#00A880	chr10
haplotype2-0000047	#CCA0BF	chr18
haplotype2-0000048	#009E73	chr3
haplotype2-0000049	#56B4E9	chr2
haplotype2-0000050	#E69F00	chr1
haplotype2-0000051	#D55E00	chr6
haplotype2-0000052	#5699E9	chr9
haplotype2-0000053	#E6AB23	chr8
haplotype2-0000054	#00B28C	chr17
haplotype2-0000055	#666666	chr7
haplotype2-0000056	#338CC2	chr19
haplotype2-0000057	#CC79A7	chr4
haplotype2-0000058	#CC8DB3	chr11
haplotype2-0000059	#567DE9	chr16
haplotype2-0000060	#009E73	chr3
haplotype2-0000061	#009E73	chr3
haplotype2-0000062	#9467BD	chrX
haplotype2-0000063	#9467BD	chrX
haplotype2-0000064	#9467BD	chrX
haplotype2-0000065	#808080	chr21
haplotype2-0000066	#D57533	chr13
haplotype2-0000067	#E6B847	chr15
haplotype2-0000068	#56B4E9	chr2
haplotype2-0000069	#808080	chr21
haplotype2-0000070	#D57533	chr13
haplotype2-0000071	#D57533	chr13
haplotype2-0000072	#D57533	chr13
haplotype2-0000073	#D57533	chr13
haplotype2-0000074	#D57533	chr13
haplotype2-0000075	#D57533	chr13
haplotype2-0000076	#D57533	chr13
haplotype2-0000077	#D57533	chr13
haplotype2-0000078	#D57533	chr13
haplotype2-0000079	#D57533	chr13
haplotype2-0000080	#D57533	chr13
haplotype2-0000081	#737373	chr14
haplotype2-0000082	#D57533	chr13
