contig	color	chromosome
haplotype1-0000001	#5699E9	chr9
haplotype1-0000002	#737373	chr14
haplotype1-0000003	#0072B2	chr5
haplotype1-0000004	#D57533	chr13
haplotype1-0000005	#E6B847	chr15
haplotype1-0000006	#808080	chr21
haplotype1-0000007	#737373	chr14
haplotype1-0000008	#00A880	chr10
haplotype1-0000009	#8C564B	chrY
haplotype1-0000010	#56B4E9	chr2
haplotype1-0000011	#E6C47F	chr22
haplotype1-0000012	#00A880	chr10
haplotype1-0000013	#CC79A7	chr4
haplotype1-0000014	#00B28C	chr17
haplotype1-0000015	#CC8DB3	chr11
haplotype1-0000016	#338CC2	chr19
haplotype1-0000017	#D58C66	chr20
haplotype1-0000018	#CCA0BF	chr18
haplotype1-0000019	#1A7FBA	chr12
haplotype1-0000020	#D55E00	chr6
haplotype1-0000021	#666666	chr7
haplotype1-0000022	#5699E9	chr9
haplotype1-0000023	#E69F00	chr1
haplotype1-0000024	#E6B847	chr15
haplotype1-0000025	#E6AB23	chr8
haplotype1-0000026	#009E73	chr3
haplotype1-0000027	#E6C47F	chr22
haplotype1-0000028	#567DE9	chr16
haplotype1-0000029	#567DE9	chr16
haplotype1-0000030	#009E73	chr3
haplotype1-0000031	#009E73	chr3
haplotype1-0000032	#009E73	chr3
haplotype1-0000033	#009E73	chr3
haplotype1-0000034	#00B28C	chr17
haplotype1-0000035	#00B28C	chr17
haplotype1-0000036	#009E73	chr3
haplotype1-0000037	#E6C47F	chr22
haplotype1-0000038	#E6C47F	chr22
haplotype1-0000039	#E6C47F	chr22
haplotype1-0000040	#E6C47F	chr22
haplotype1-0000041	#E6C47F	chr22
haplotype1-0000042	#E6C47F	chr22
haplotype1-0000043	#E6C47F	chr22
haplotype1-0000044	#0072B2	chr5
haplotype1-0000045	#CCA0BF	chr18
haplotype1-0000046	#CCA0BF	chr18
haplotype1-0000047	#E6C47F	chr22
haplotype1-0000048	#E6C47F	chr22
haplotype1-0000049	#E6C47F	chr22
haplotype1-0000050	#E6C47F	chr22
haplotype1-0000051	#E6C47F	chr22
haplotype1-0000052	#E6C47F	chr22
haplotype1-0000053	#737373	chr14
haplotype1-0000054	#567DE9	chr16
haplotype1-0000055	#E6AB23	chr8
haplotype1-0000056	#567DE9	chr16
haplotype1-0000057	#567DE9	chr16
haplotype1-0000058	#666666	chr7
haplotype1-0000059	#E6AB23	chr8
haplotype1-0000060	#E6AB23	chr8
haplotype1-0000061	#808080	chr21
haplotype1-0000062	#666666	chr7
haplotype1-0000063	#E6C47F	chr22
haplotype1-0000064	#567DE9	chr16
haplotype1-0000065	#009E73	chr3
haplotype1-0000066	#009E73	chr3
haplotype1-0000067	#D57533	chr13
haplotype1-0000068	#E6C47F	chr22
haplotype1-0000069	#009E73	chr3
haplotype1-0000070	#567DE9	chr16
haplotype1-0000071	#567DE9	chr16
haplotype1-0000072	#56B4E9	chr2
haplotype1-0000073	#E6AB23	chr8
haplotype1-0000074	#9467BD	chrX
haplotype1-0000075	#CCA0BF	chr18
haplotype1-0000076	#56B4E9	chr2
haplotype1-0000077	#009E73	chr3
haplotype1-0000078	#009E73	chr3
haplotype1-0000079	#009E73	chr3
haplotype1-0000080	#009E73	chr3
haplotype1-0000081	#E6AB23	chr8
