#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3211	248384169	235242
syndip	chr2	0	3343	242694019	229783
syndip	chr3	0	2357	201088840	222984
syndip	chr4	0	3392	193514108	225324
syndip	chr5	0	2125	182043943	179543
syndip	chr6	0	3417	172124000	204708
syndip	chr7	0	3936	160564597	193761
syndip	chrX	0	59119	154256936	130597
syndip	chr9	0	3623	150615508	166053
syndip	chr8	0	1949	146247623	161806
syndip	chr11	0	2700	135125266	181836
syndip	chr10	0	2904	134754097	143054
syndip	chr12	0	3059	133322148	139331
syndip	chr13	0	36402	113562313	108866
syndip	chr14	0	45106	101160003	159020
syndip	chr15	0	6091	99750253	168077
syndip	chr16	0	2565	96327565	120162
syndip	chr17	0	2260	84273669	106793
syndip	chr18	0	164002	80538932	94360
syndip	chr20	0	2508	66206697	92219
syndip	chr19	0	2685	61704689	92512
syndip	chr22	0	3025460	51321978	103161
syndip	chr21	0	2738	45086155	64863
