contig	color	chromosome
haplotype1-0000001	#56B4E9	chr2
haplotype1-0000002	#666666	chr7
haplotype1-0000003	#5699E9	chr9
haplotype1-0000004	#00B28C	chr17
haplotype1-0000005	#737373	chr14
haplotype1-0000006	#CCA0BF	chr18
haplotype1-0000007	#00A880	chr10
haplotype1-0000008	#0072B2	chr5
haplotype1-0000009	#D55E00	chr6
haplotype1-0000010	#E6AB23	chr8
haplotype1-0000011	#E69F00	chr1
haplotype1-0000012	#E6C47F	chr22
haplotype1-0000013	#8C564B	chrY
haplotype1-0000014	#808080	chr21
haplotype1-0000015	#D58C66	chr20
haplotype1-0000016	#D57533	chr13
haplotype1-0000017	#CC8DB3	chr11
haplotype1-0000018	#567DE9	chr16
haplotype1-0000019	#1A7FBA	chr12
haplotype1-0000020	#009E73	chr3
haplotype1-0000021	#338CC2	chr19
haplotype1-0000022	#CC79A7	chr4
haplotype1-0000023	#E6B847	chr15
haplotype1-0000024	#567DE9	chr16
haplotype1-0000025	#E6B847	chr15
haplotype1-0000026	#D55E00	chr6
haplotype1-0000027	#00A880	chr10
haplotype1-0000028	#E6AB23	chr8
haplotype1-0000029	#E6AB23	chr8
haplotype1-0000030	#D57533	chr13
haplotype1-0000031	#737373	chr14
haplotype1-0000032	#E6C47F	chr22
haplotype1-0000033	#00B28C	chr17
haplotype1-0000034	#00B28C	chr17
haplotype1-0000035	#567DE9	chr16
haplotype1-0000036	#00B28C	chr17
haplotype1-0000037	#5699E9	chr9
haplotype1-0000038	#737373	chr14
haplotype1-0000039	#00B28C	chr17
haplotype1-0000040	#00B28C	chr17
haplotype1-0000041	#00B28C	chr17
haplotype1-0000042	#D57533	chr13
haplotype1-0000043	#D57533	chr13
haplotype1-0000044	#0072B2	chr5
haplotype1-0000045	#E6C47F	chr22
haplotype1-0000046	#E6C47F	chr22
haplotype1-0000047	#00A880	chr10
haplotype1-0000048	#338CC2	chr19
haplotype1-0000049	#00A880	chr10
haplotype1-0000050	#E6AB23	chr8
haplotype1-0000051	#808080	chr21
haplotype1-0000052	#E6C47F	chr22
haplotype1-0000053	#D57533	chr13
haplotype1-0000054	#808080	chr21
haplotype1-0000055	#CC8DB3	chr11
haplotype1-0000056	#808080	chr21
haplotype1-0000057	#00B28C	chr17
haplotype1-0000058	#009E73	chr3
