Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Maternal	Paternal	0.93366	78.0502	5.545400000000001	132	20	3	1	132	20	197	20
chr10	Maternal	Paternal	0.96305	58.032939999999996	2.22662	149	11	3	1	149	11	155	27
chr11	Maternal	Paternal	1.0	477.29575	0	645	0	6	0	645	0	674	0
chr12	Maternal	Paternal	0.98146	117.27287000000001	2.2148000000000003	160	7	2	1	160	7	164	7
chr13	Paternal	Maternal	0.96269	200.55765	7.77275	263	25	3	1	263	25	325	25
chr14	Paternal	Maternal	1.0	268.92048	0	432	0	5	0	432	0	535	0
chr15	Paternal	Maternal	0.99329	460.3217600000001	3.1102999999999996	872	10	27	0	882	0	1353	0
chr16	Maternal	Paternal	1.0	126.06453000000002	0	296	0	5	0	296	0	518	0
chr17	Maternal	Paternal	1.0	30.0454	0	110	0	1	0	110	0	139	0
chr18	Paternal	Maternal	1.0	113.28381	0	185	0	2	0	185	0	190	0
chr19	Paternal	Maternal	1.0	449.45022	0	576	0	6	0	576	0	619	0
chr2	Maternal	Paternal	1.0	346.48682	0	590	0	6	0	590	0	641	0
chr20	Maternal	Paternal	1.0	946.32061	0	1238	0	8	0	1238	0	1345	0
chr21	Paternal	Maternal	1.0	21.98029	0	63	0	2	0	63	0	113	0
chr22	Paternal	Maternal	1.0	56.8554	0	70	0	1	0	70	0	82	0
chr3	Maternal	Paternal	1.0	27.440839999999998	0	78	0	2	0	78	0	84	0
chr4	Maternal	Paternal	1.0	107.83868999999999	0	217	0	5	0	217	0	297	0
chr5	Maternal	Paternal	0.9813	43.441289999999995	0.82782	107	6	2	1	107	6	122	38
chr6	Paternal	Maternal	1.0	351.75839	0	498	0	6	0	498	0	509	0
chr7	Maternal	Paternal	0.99927	563.5523900000001	0.41406	798	3	8	1	798	3	843	16
chr8	Maternal	Paternal	1.0	234.41035	0	422	0	7	0	422	0	561	0
chr9	Maternal	Paternal	0.8639	42.68484	6.72474	108	33	3	1	108	33	198	82
