Chromosome	Start	End	Methylated_allele	Name	Reference	All_CpGs_At_iDMR_CouldBeExaminedInBothHaplotypes	DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MethylationFrequency_HP1	MethylationFrequency_HP2	Included_Or_Ignored_For_PofO_Assignment
chr1	11044370	11044544	Maternal	PTCHD2	Hernandez	20	0	0	0	0	0.45939	0.47398	Ignored:DidNotMeet_cpg_difference
chr1	21120031	21120143	Maternal	ECE1;LOC100506801	Hernandez	5	0	0	0	0	0.57187	0.53139	Ignored:DidNotMeet_cpg_difference
chr1	32329102	32329320	Maternal	ZBTB8B	Joshi	9	9	0	0.28469	0	0.66699	0.38229	Included
chr1	39384177	39384444	Maternal	BMP8A	Akbari	18	1	0	0.19129	0	0.45993	0.28316	Ignored:DidNotMeet_cpg_difference
chr1	39427318	39428447	Maternal	PPIEL,PABPC4	Akbari,Court,Hernandez,Joshi,Zink	52	42	0	0.40125	0	0.92165	0.5801	Included
chr1	67924206	67929467	Maternal	DIRAS3,DIRAS3_Ex2,GNG12-AS1	Akbari,Court,Hernandez,Joshi,Zink	136	130	0	0.68125	0	0.93092	0.27602	Included
chr1	176387296	176387476	Maternal	ASTN1	Zink	15	0	0	0	0	0.93633	0.86903	Ignored:DidNotMeet_cpg_difference
chr1	227504793	227504903	Maternal	OBSCN	Joshi	8	0	0	0	0	0.94855	0.9628	Ignored:DidNotMeet_cpg_difference
chr10	13172944	13173273	Maternal	BTBD7P1	Akbari	27	0	0	0	0	0.63158	0.7734	Ignored:DidNotMeet_cpg_difference
chr10	27443798	27444893	Maternal	PTCHD3	Akbari,Hernandez	72	0	72	0	0.51232	0.3395	0.85182	Included
chr10	98458604	98458947	Maternal	ANKRD2	Akbari	19	0	0	0	0	0.84801	0.7917	Ignored:DidNotMeet_cpg_difference
chr10	120716003	120716796	Maternal	INPP5F	Akbari,Court,Hernandez	64	0	64	0	0.50011	0.45278	0.95289	Included
chr10	124869055	124869380	Maternal	YBX2P1	Akbari	32	0	32	0	0.54333	0.09242	0.63575	Included
chr11	2085259	2091234	Paternal	H19,H19/IGF2	Akbari,Court,Hernandez	250	0	242	0	0.79516	0.16113	0.93568	Included
chr11	2220004	2221535	Paternal	IGF2_DMR2,IGF2,INS-IGF2	Akbari,Court,Hernandez,Zink	68	0	63	0	0.61251	0.30684	0.88519	Included
chr11	2233014	2236942	Paternal	IGF2_DMR0,IGF2,IGF2-AS,INS-IGF2	Akbari,Court,Hernandez,Zink	100	0	99	0	0.50805	0.27064	0.7761	Included
chr11	2787890	2790647	Maternal	KvDMR1,KCNQ1,KCNQ1OT1	Akbari,Court,Hernandez,Zink	204	202	0	0.90453	0	0.96432	0.06673	Included
chr11	7147542	7148122	Maternal	RBMXL2	Akbari,Hernandez,Zink	55	55	0	0.31056	0	0.95945	0.6489	Included
chr11	132831291	132831483	Maternal	OPCML	Hernandez	10	10	0	0.1889	0	0.89682	0.70792	Included
chr11	133121414	133122305	Maternal	OPCML	Akbari	45	36	0	0.20568	0	0.90729	0.71215	Included
chr12	200351	201073	Maternal	SLC6A12,RP11-283I3.2	Zink	84	0	0	0	0	0.21173	0.14217	Ignored:DidNotMeet_cpg_difference
chr12	3845430	3845920	Paternal	PARP11	Akbari	69	0	0	0	0	0.64188	0.62562	Ignored:DidNotMeet_cpg_difference
chr12	6454803	6455271	Maternal	CD27,CD27-AS1,LOC678655	Hernandez	10	0	0	0	0	0.61932	0.7022	Ignored:DidNotMeet_cpg_difference
chr12	14651159	14651402	Maternal	H2AFJ	Hernandez	13	0	0	0	0	0.21258	0.18313	Ignored:DidNotMeet_cpg_difference
chr12	30992265	30994810	Maternal	AC024940.1	Akbari	143	102	0	0.34106	0	0.34025	0.06508	Included
chr12	30996914	30997274	Maternal	AC024940.1	Akbari	21	0	0	0	0	0.70283	0.70071	Ignored:DidNotMeet_cpg_difference
chr12	96198127	96198449	Paternal	ELK3	Hernandez	7	0	0	0	0	0.73589	0.72617	Ignored:DidNotMeet_cpg_difference
chr12	130374845	130375163	Maternal	PIWIL1	Hernandez	39	0	0	0	0	0.71029	0.74236	Ignored:DidNotMeet_cpg_difference
chr13	19317211	19317685	Maternal	GJA3	Akbari	24	0	0	0	0	0.49637	0.53269	Ignored:DidNotMeet_cpg_difference
chr13	47537482	47542150	Maternal	RB1,PPP1R26P1	Akbari,Court,Hernandez,Joshi,Zink	258	237	0	0.58565	0	0.95775	0.41245	Included
chr13	47630529	47633749	Maternal	LPAR6,RB1	Akbari	29	23	0	0.56283	0	0.82456	0.32457	Included
chr13	59487091	59488917	Maternal	TARDBPP2	Akbari,Hernandez,Zink	39	34	0	0.4486	0	0.75856	0.34814	Included
chr13	98425642	98426046	Paternal	UBAC2	Akbari	18	0	0	0	0	0.61625	0.72908	Ignored:DidNotMeet_cpg_difference
chr13	100190731	100191002	Maternal	NALCN-AS1	Akbari	22	0	0	0	0	0.83657	0.89825	Ignored:DidNotMeet_cpg_difference
chr14	27997060	27998007	Maternal	NPAS3	Akbari,Zink	117	0	0	0	0	0.36483	0.37651	Ignored:DidNotMeet_cpg_difference
chr14	46476152	46476528	Maternal	PTGDR	Akbari	18	0	14	0	0.23048	0.2206	0.44688	Included
chr14	94961427	94961490	Paternal	DLK1	Joshi,Zink	7	0	0	0	0	0.4288	0.30468	Ignored:DidNotMeet_cpg_difference
chr14	95042558	95046625	Paternal	IG-DMR,MEG3,MEG3/DLK1	Akbari,Court,Hernandez,Zink	96	75	0	0.50223	0	0.94777	0.5317	Included
chr14	95058592	95063118	Paternal	MEG3,AL117190.1	Akbari,Court,Hernandez,Joshi,Zink	246	242	0	0.74808	0	0.95204	0.21219	Included
chr14	95135834	95136700	Maternal	MEG8,SNHG23	Zink	26	0	12	0	0.40383	0.18612	0.44228	Included
chr14	95139591	95140676	Maternal	MEG8,SNHG23	Akbari,Court,Hernandez,Zink	52	0	52	0	0.79368	0.09418	0.88785	Included
chr14	100719510	100719614	Maternal	IGHV3-37	Hernandez	10	0	7	0	0.17305	0.61934	0.79005	Included
chr15	21296256	21301762	Maternal	MIR4508,MKRN3	Akbari,Court,Hernandez,Joshi	109	56	1	0.29296	0.38019	0.87205	0.68162	Included
chr15	21341062	21343880	Paternal	MKRN3	Zink	14	0	2	0	0.40547	0.61696	0.84456	Included
chr15	21363464	21363638	Maternal	MKRN3	Zink	10	10	0	0.50657	0	0.70206	0.19549	Included
chr15	21368503	21368715	Maternal	MKRN3	Zink	8	0	0	0	0	0.89276	0.71777	Ignored:DidNotMeet_cpg_difference
chr15	21377299	21377524	Maternal	MAGEL2	Zink	6	4	0	0.38217	0	0.61589	0.28443	Included
chr15	21381510	21383473	Maternal	MAGEL2	Akbari,Court,Hernandez,Joshi,Zink	64	62	0	0.68632	0	0.87919	0.2074	Included
chr15	21420762	21422619	Maternal	NDN	Akbari,Court,Hernandez,Joshi,Zink	117	111	0	0.58402	0	0.7246	0.16517	Included
chr15	21532265	21532875	Maternal	RNU6-741P	Zink	22	0	0	0	0	0.80477	0.64413	Ignored:DidNotMeet_cpg_difference
chr15	21563910	21564305	Paternal	RNU6-741P	Zink	6	0	0	0	0	0.76035	0.81528	Ignored:DidNotMeet_cpg_difference
chr15	21589212	21590074	Maternal	RP11-484P15.1	Zink	9	4	0	0.32838	0	0.46004	0.17322	Included
chr15	21591584	21596455	Maternal	RP11-484P15.1	Akbari,Zink,Zink	84	42	0	0.46056	0	0.71405	0.51088	Included
chr15	21603570	21604377	Maternal	RP11-484P15.1	Akbari,Zink	36	33	0	0.5813	0	0.68729	0.13112	Included
chr15	21611867	21613067	Maternal	RP11-484P15.1	Akbari,Zink	40	33	0	0.26943	0	0.3769	0.14517	Included
chr15	21617488	21617845	Paternal	RP11-484P15.1	Zink	11	0	0	0	0	0.78096	0.87518	Ignored:DidNotMeet_cpg_difference
chr15	21630697	21633011	Maternal	PWRN4,RP11-484P15.1	Akbari,Joshi,Zink	59	30	0	0.43735	0	0.7346	0.52604	Included
chr15	21648478	21650220	Paternal	RP11-484P15.1	Zink	11	0	4	0	0.38115	0.55952	0.82588	Included
chr15	21674147	21675281	Paternal	RP11-484P15.1	Zink	12	0	0	0	0	0.6653	0.81633	Ignored:DidNotMeet_cpg_difference
chr15	21743102	21743985	Paternal	PWRN4	Zink	7	0	4	0	0.46466	0.3993	0.80996	Included
chr15	21763297	21763709	Paternal	PWRN4	Zink	5	0	0	0	0	0.57836	0.84675	Ignored:DidNotMeet_cpg_difference
chr15	21784164	21785579	Paternal	PWRN4	Zink	12	0	7	0	0.50437	0.54666	0.93328	Included
chr15	21835134	21836136	Maternal	SNRPN_intragenic_CpG32,PWRN2	Akbari,Court,Zink	46	42	0	0.26325	0	0.44931	0.19357	Included
chr15	21890432	21891180	Paternal	PWRN2	Zink	8	0	0	0	0	0.64551	0.70418	Ignored:DidNotMeet_cpg_difference
chr15	21897209	21897954	Paternal	PWRN2	Zink	8	0	0	0	0	0.59954	0.71958	Ignored:DidNotMeet_cpg_difference
chr15	21908292	21909250	Paternal	PWRN2	Zink	9	0	6	0	0.48248	0.41726	0.77811	Included
chr15	22008923	22009869	Paternal	RP11-580I1.2	Zink	10	0	0	0	0	0.59559	0.82683	Ignored:DidNotMeet_cpg_difference
