Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Maternal	Paternal	1.0	107.97721	0	181	0	3	0	181	0	197	0
chr10	Paternal	Maternal	1.0	86.28064	0	168	0	3	0	168	0	168	0
chr11	Maternal	Paternal	1.0	490.40314	0	707	0	7	0	707	0	732	0
chr12	Maternal	Paternal	1.0	34.78812	0	102	0	1	0	102	0	143	0
chr13	Maternal	Paternal	1.0	166.99653999999998	0	294	0	3	0	294	0	326	0
chr14	Paternal	Maternal	1.0	269.258	0	402	0	6	0	402	0	448	0
chr15	Maternal	Paternal	0.99802	548.622	1.08905	1026	3	29	0	1029	0	1496	0
chr16	Paternal	Maternal	1.0	207.73796	0	446	0	7	0	446	0	577	0
chr17	Paternal	Maternal	1.0	46.30307	0	121	0	1	0	121	0	139	0
chr18	Maternal	Paternal	1.0	152.87435000000002	0	247	0	4	0	247	0	255	0
chr19	Paternal	Maternal	1.0	482.48022000000003	0	678	0	9	0	678	0	719	0
chr2	Maternal	Paternal	1.0	398.59666999999996	0	701	0	8	0	701	0	779	0
chr20	Maternal	Paternal	1.0	956.59448	0	1328	0	10	0	1328	0	1452	0
chr21	Maternal	Paternal	1.0	42.22142	0	100	0	2	0	100	0	112	0
chr22	Paternal	Maternal	1.0	57.1249	0	70	0	1	0	70	0	82	0
chr3	Paternal	Maternal	1.0	48.33372	0	83	0	2	0	83	0	84	0
chr4	Paternal	Maternal	1.0	168.23075	0	266	0	4	0	266	0	266	0
chr5	Maternal	Paternal	0.60765	20.82415	13.44555	85	49	1	2	85	49	115	56
chr6	Paternal	Maternal	0.97701	327.22555	7.69862	431	34	4	1	431	34	441	50
chr7	Paternal	Maternal	1.0	623.4264200000001	0	803	0	9	0	803	0	862	0
chr8	Maternal	Paternal	1.0	315.95173	0	459	0	7	0	459	0	523	0
chr9	Maternal	Paternal	1.0	99.89634000000001	0	243	0	3	0	243	0	258	0
