contig	color
contig-0000001	#56B4E9	chr2
contig-0000002	#56B4E9	chr2
contig-0000003	#1A7FBA	chr12
contig-0000004	#737373	chr14
contig-0000005	#E6C47F	chr22
contig-0000006	#D57533	chr13
contig-0000008	#00B28C	chr17
contig-0000009	#808080	chr21
contig-0000010	#D57533	chr13
contig-0000011	#D57533	chr13
contig-0000012	#D57533	chr13
contig-0000014	#737373	chr14
contig-0000017	#D57533	chr13
contig-0000018	#D57533	chr13
contig-0000019	#D57533	chr13
contig-0000020	#808080	chr21
contig-0000021	#9467BD	chrX
contig-0000022	#737373	chr14
contig-0000023	#9467BD	chrX
contig-0000024	#9467BD	chrX
contig-0000025	#9467BD	chrX
contig-0000026	#D57533	chr13
contig-0000027	#9467BD	chrX
contig-0000028	#737373	chr14
contig-0000029	#9467BD	chrX
contig-0000030	#9467BD	chrX
contig-0000031	#9467BD	chrX
contig-0000032	#9467BD	chrX
contig-0000033	#9467BD	chrX
contig-0000034	#9467BD	chrX
contig-0000035	#9467BD	chrX
contig-0000036	#9467BD	chrX
contig-0000037	#737373	chr14
contig-0000038	#9467BD	chrX
contig-0000039	#9467BD	chrX
contig-0000040	#9467BD	chrX
contig-0000041	#9467BD	chrX
contig-0000042	#9467BD	chrX
contig-0000043	#D57533	chr13
contig-0000044	#808080	chr21
contig-0000045	#737373	chr14
contig-0000046	#808080	chr21
contig-0000047	#808080	chr21
contig-0000048	#808080	chr21
contig-0000049	#808080	chr21
contig-0000050	#E6C47F	chr22
contig-0000051	#808080	chr21
contig-0000052	#E6C47F	chr22
contig-0000053	#808080	chr21
contig-0000054	#808080	chr21
contig-0000055	#737373	chr14
contig-0000056	#737373	chr14
contig-0000057	#737373	chr14
contig-0000058	#666666	chr7
contig-0000059	#666666	chr7
contig-0000060	#666666	chr7
contig-0000061	#666666	chr7
contig-0000062	#666666	chr7
contig-0000063	#808080	chr21
contig-0000064	#5699E9	chr9
contig-0000065	#1A7FBA	chr12
contig-0000066	#5699E9	chr9
contig-0000067	#5699E9	chr9
contig-0000068	#5699E9	chr9
contig-0000069	#5699E9	chr9
contig-0000070	#5699E9	chr9
contig-0000071	#E6B847	chr15
contig-0000072	#D57533	chr13
contig-0000073	#808080	chr21
contig-0000074	#E6B847	chr15
contig-0000075	#0072B2	chr5
contig-0000076	#808080	chr21
contig-0000077	#00B28C	chr17
contig-0000079	#D57533	chr13
contig-0000080	#D57533	chr13
contig-0000081	#E6C47F	chr22
contig-0000083	#D57533	chr13
contig-0000085	#0072B2	chr5
contig-0000086	#E6C47F	chr22
contig-0000087	#D57533	chr13
contig-0000088	#D57533	chr13
contig-0000089	#E6C47F	chr22
contig-0000090	#E6C47F	chr22
contig-0000091	#E6C47F	chr22
contig-0000092	#E6C47F	chr22
contig-0000093	#E6C47F	chr22
contig-0000094	#E6C47F	chr22
contig-0000095	#808080	chr21
contig-0000096	#1A7FBA	chr12
contig-0000097	#0072B2	chr5
contig-0000100	#567DE9	chr16
contig-0000101	#E6C47F	chr22
contig-0000102	#D57533	chr13
contig-0000103	#0072B2	chr5
contig-0000104	#E6C47F	chr22
contig-0000105	#E6C47F	chr22
contig-0000106	#D57533	chr13
contig-0000107	#D57533	chr13
contig-0000108	#D57533	chr13
contig-0000109	#D57533	chr13
contig-0000110	#E6C47F	chr22
contig-0000111	#E6C47F	chr22
contig-0000112	#0072B2	chr5
contig-0000113	#D57533	chr13
contig-0000114	#E6C47F	chr22
contig-0000115	#808080	chr21
contig-0000116	#E6C47F	chr22
contig-0000117	#808080	chr21
contig-0000118	#00B28C	chr17
contig-0000119	#1A7FBA	chr12
contig-0000120	#D57533	chr13
contig-0000121	#D57533	chr13
