C	J  inter-chromosomal misjoin
C	j  inter-chromosomal misjoin with both breakpoints ending in centromeres
C	G  long gap on the reference genome
C	g  long gap on the reference genome with both breakpoints ending in centromeres
C	M  closed inversion
C
G	haplotype1-0000002	81694469	47130147	56713862	-	chr17	84276897	27529813	37115721	9565104	9597157	60
G	haplotype1-0000002	81694469	58147950	60837894	-	chr17	84276897	20933921	23601902	2646780	2706198	60
G	haplotype1-0000008	251601345	120861647	121981197	+	chr1	248387328	120588838	121659555	1068475	1120516	60
G	haplotype1-0000008	251601345	146148703	148629229	+	chr1	248387328	143203464	145602144	2387458	2489624	60
G	haplotype1-0000013	192000826	45937747	49335669	+	chr4	193574945	45843699	49256359	3384469	3422900	60
G	haplotype1-0000013	192000826	53793656	55646200	+	chr4	193574945	55520288	57372400	1849739	1853402	60
G	haplotype1-0000014	141703726	46541704	48492821	+	chr9	150617247	47144882	49099388	1868869	2035408	60
G	haplotype1-0000014	141703726	67472381	74469609	+	chr9	150617247	76282334	83326557	6971923	7066224	60
G	haplotype1-0000016	88743438	41801895	44209812	-	chr16	96330374	52028017	54414630	2381864	2412106	60
G	haplotype1-0000016	88743438	49768317	51648299	-	chr16	96330374	37815198	39644587	1808227	1900724	60
J	haplotype1-0000019	12310567	108831	1058944	+	chr21	45090682	107216	1188293	891971	1137450	60
J	haplotype1-0000019	12310567	9811344	11947317	+	chr15	99753195	14466741	16699020	2018761	2345793	60
M	haplotype1-0000022	242375679	146848631	148000088	-	chr2	242696752	94852390	96003436	1149808	1151916	60
M	haplotype1-0000022	242375679	151979515	153163031	+	chr2	242696752	89351857	90589248	1164877	1254257	60
M	haplotype1-0000022	242375679	152595726	154879002	-	chr2	242696752	87440576	89724944	2273790	2292162	60
G	haplotype1-0000026	203094671	96147742	104980876	-	chr3	201105948	96225939	105089959	8818451	8874343	60
G	haplotype1-0000026	203094671	112166948	116110433	-	chr3	201105948	86933687	90994506	3931445	4068440	60
G	haplotype2-0000102	82854241	52640094	56656792	-	chr17	84276897	27548559	31566528	4013481	4019536	60
G	haplotype2-0000102	82854241	58947427	63737635	-	chr17	84276897	19097128	23935405	4752390	4870795	60
G	haplotype2-0000111	93312900	38747513	40455250	+	chr16	96330374	37846465	39557879	1700592	1718158	60
G	haplotype2-0000111	93312900	48957355	51070773	+	chr16	96330374	52161870	54277851	2112762	2116313	60
J	haplotype2-0000117	101789681	95118703	96246709	-	chr13	113566686	17501274	18583345	1078991	1128791	60
J	haplotype2-0000117	101789681	99810236	101090858	+	chr14	101161492	6977616	8220315	1170298	1348871	60
G	haplotype2-0000118	191244317	45013167	49103904	+	chr4	193574945	44995075	49087297	4080179	4098703	60
G	haplotype2-0000118	191244317	52497288	53671870	+	chr4	193574945	55520289	56694422	1172523	1175171	60
G	haplotype2-0000119	251220084	102769169	106025379	-	chr1	248387328	142399374	145602144	3188177	3268590	60
G	haplotype2-0000119	251220084	128994245	130077237	-	chr1	248387328	120588838	121638947	1048083	1083937	60
G	haplotype2-0000126	134947814	72742523	74039093	-	chr9	150617247	76527034	77846299	1291501	1323355	60
G	haplotype2-0000126	134947814	86396784	87469738	-	chr9	150617247	47527314	48600645	1068767	1077106	60
M	haplotype2-0000126	134947814	89731261	91621082	-	chr9	150617247	43086733	44971840	1881600	1890777	60
M	haplotype2-0000126	134947814	91820247	94145396	+	chr9	150617247	41957665	44282876	2323611	2325639	60
M	haplotype2-0000126	134947814	95989584	102010018	-	chr9	150617247	32917726	38937220	6007760	6028886	60
J	haplotype2-0000127	3501262	2421465	3501179	+	chr13	113566686	12437491	13473987	1018129	1095734	0
J	haplotype2-0000127	3501262	2421518	3501179	+	chr21	45090682	9450849	10539441	1079151	1088908	60
G	haplotype2-0000128	93533215	74617350	75926066	-	chr15	99753195	23739958	25048976	1306344	1310168	60
G	haplotype2-0000128	93533215	81896295	83754680	-	chr15	99753195	14466741	16685190	1846347	2228383	60
G	haplotype2-0000128	93533215	81896295	83754680	-	chr15	99753195	14466741	16685190	1846347	2228383	60
G	haplotype2-0000128	93533215	84677096	85713442	-	chr15	99753195	13544346	14642783	1017760	1116264	60
G	haplotype2-0000128	93533215	84677096	85713442	-	chr15	99753195	13544346	14642783	1017760	1116264	60
G	haplotype2-0000128	93533215	87122375	92557053	-	chr15	99753195	5388880	10632954	4857892	5810675	60
G	haplotype2-0000129	174149509	107731867	110489317	-	chr6	172126628	61772979	64558330	2755403	2785831	60
G	haplotype2-0000129	174149509	115597927	118286218	-	chr6	172126628	55749893	58438659	2679157	2692872	60
G	haplotype2-0000131	44887022	29794719	33861483	-	chr21	45090682	11303874	15326087	4015294	4069096	60
G	haplotype2-0000131	44887022	38176891	40428353	-	chr21	45090682	6702491	8868096	2149753	2265363	60
# inter-chromosomal misjoins: 3,0
# intra-chromosomal gaps: 16,0
# candidate inversions in the middle: 2,0
# candidate inversions at contig ends: 0,0
