contig	color	chromosome
haplotype1-0000001	#1A7FBA	chr12
haplotype1-0000002	#00B28C	chr17
haplotype1-0000003	#0072B2	chr5
haplotype1-0000004	#666666	chr7
haplotype1-0000005	#D58C66	chr20
haplotype1-0000006	#00A880	chr10
haplotype1-0000007	#E6AB23	chr8
haplotype1-0000008	#E69F00	chr1
haplotype1-0000009	#8C564B	chrY
haplotype1-0000010	#338CC2	chr19
haplotype1-0000011	#808080	chr21
haplotype1-0000012	#CCA0BF	chr18
haplotype1-0000013	#CC79A7	chr4
haplotype1-0000014	#5699E9	chr9
haplotype1-0000015	#CC8DB3	chr11
haplotype1-0000016	#567DE9	chr16
haplotype1-0000017	#567DE9	chr16
haplotype1-0000018	#E6C47F	chr22
haplotype1-0000019	#E6B847	chr15
haplotype1-0000020	#666666	chr7
haplotype1-0000021	#E6C47F	chr22
haplotype1-0000022	#56B4E9	chr2
haplotype1-0000023	#E6B847	chr15
haplotype1-0000024	#D55E00	chr6
haplotype1-0000025	#D57533	chr13
haplotype1-0000026	#009E73	chr3
haplotype1-0000027	#737373	chr14
haplotype1-0000028	#E6B847	chr15
haplotype1-0000029	#E6B847	chr15
haplotype1-0000030	#E6B847	chr15
haplotype1-0000031	#E6B847	chr15
haplotype1-0000032	#0072B2	chr5
haplotype1-0000033	#0072B2	chr5
haplotype1-0000034	#009E73	chr3
haplotype1-0000035	#009E73	chr3
haplotype1-0000036	#009E73	chr3
haplotype1-0000037	#00B28C	chr17
haplotype1-0000038	#338CC2	chr19
haplotype1-0000039	#009E73	chr3
haplotype1-0000040	#E6B847	chr15
haplotype1-0000041	#CCA0BF	chr18
haplotype1-0000042	#CCA0BF	chr18
haplotype1-0000043	#5699E9	chr9
haplotype1-0000044	#338CC2	chr19
haplotype1-0000045	#009E73	chr3
haplotype1-0000046	#009E73	chr3
haplotype1-0000047	#338CC2	chr19
haplotype1-0000048	#338CC2	chr19
haplotype1-0000049	#338CC2	chr19
haplotype1-0000050	#338CC2	chr19
haplotype1-0000051	#338CC2	chr19
haplotype1-0000052	#1A7FBA	chr12
haplotype1-0000053	#666666	chr7
haplotype1-0000054	#56B4E9	chr2
haplotype1-0000055	#567DE9	chr16
haplotype1-0000056	#338CC2	chr19
haplotype1-0000057	#E6B847	chr15
haplotype1-0000058	#E6B847	chr15
haplotype1-0000059	#808080	chr21
haplotype1-0000060	#338CC2	chr19
haplotype1-0000061	#338CC2	chr19
haplotype1-0000062	#D55E00	chr6
haplotype1-0000063	#D58C66	chr20
haplotype1-0000064	#338CC2	chr19
haplotype1-0000065	#338CC2	chr19
haplotype1-0000066	#00B28C	chr17
haplotype1-0000067	#E6B847	chr15
haplotype1-0000068	#CC8DB3	chr11
haplotype1-0000069	#1A7FBA	chr12
haplotype1-0000070	#CCA0BF	chr18
haplotype1-0000071	#D55E00	chr6
haplotype1-0000072	#009E73	chr3
haplotype1-0000073	#808080	chr21
haplotype1-0000074	#9467BD	chrX
haplotype1-0000075	#5699E9	chr9
haplotype1-0000076	#5699E9	chr9
haplotype1-0000077	#5699E9	chr9
haplotype1-0000078	#5699E9	chr9
haplotype1-0000079	#5699E9	chr9
haplotype1-0000080	#5699E9	chr9
haplotype1-0000081	#5699E9	chr9
haplotype1-0000082	#009E73	chr3
haplotype1-0000083	#009E73	chr3
haplotype1-0000084	#009E73	chr3
haplotype1-0000085	#56B4E9	chr2
haplotype1-0000086	#567DE9	chr16
haplotype1-0000087	#567DE9	chr16
haplotype1-0000088	#009E73	chr3
haplotype1-0000089	#009E73	chr3
haplotype1-0000090	#009E73	chr3
haplotype1-0000091	#009E73	chr3
haplotype1-0000092	#338CC2	chr19
haplotype1-0000093	#338CC2	chr19
haplotype1-0000094	#CC79A7	chr4
haplotype1-0000095	#808080	chr21
haplotype1-0000096	#808080	chr21
haplotype1-0000097	#CCA0BF	chr18
haplotype1-0000098	#0072B2	chr5
haplotype1-0000099	#338CC2	chr19
haplotype2-0000100	#D57533	chr13
haplotype2-0000101	#1A7FBA	chr12
haplotype2-0000102	#00B28C	chr17
haplotype2-0000103	#0072B2	chr5
haplotype2-0000104	#56B4E9	chr2
haplotype2-0000105	#00A880	chr10
haplotype2-0000106	#E6AB23	chr8
haplotype2-0000107	#8C564B	chrY
haplotype2-0000108	#D58C66	chr20
haplotype2-0000109	#E6C47F	chr22
haplotype2-0000110	#E6B847	chr15
haplotype2-0000111	#567DE9	chr16
haplotype2-0000112	#E6B847	chr15
haplotype2-0000113	#D57533	chr13
haplotype2-0000114	#9467BD	chrX
haplotype2-0000115	#CCA0BF	chr18
haplotype2-0000116	#737373	chr14
haplotype2-0000117	#D57533	chr13
haplotype2-0000118	#CC79A7	chr4
haplotype2-0000119	#E69F00	chr1
haplotype2-0000120	#CC8DB3	chr11
haplotype2-0000121	#338CC2	chr19
haplotype2-0000122	#E6B847	chr15
haplotype2-0000123	#666666	chr7
haplotype2-0000124	#E6C47F	chr22
haplotype2-0000125	#00A880	chr10
haplotype2-0000126	#5699E9	chr9
haplotype2-0000127	#D57533	chr13
haplotype2-0000128	#E6B847	chr15
haplotype2-0000129	#D55E00	chr6
haplotype2-0000130	#009E73	chr3
haplotype2-0000131	#808080	chr21
haplotype2-0000132	#D57533	chr13
haplotype2-0000133	#D55E00	chr6
haplotype2-0000134	#CC79A7	chr4
haplotype2-0000135	#8C564B	chrY
haplotype2-0000136	#8C564B	chrY
haplotype2-0000137	#8C564B	chrY
haplotype2-0000138	#8C564B	chrY
haplotype2-0000139	#E6C47F	chr22
haplotype2-0000140	#E6C47F	chr22
haplotype2-0000141	#E6AB23	chr8
haplotype2-0000142	#CC79A7	chr4
haplotype2-0000143	#CC79A7	chr4
haplotype2-0000144	#CC79A7	chr4
haplotype2-0000145	#CC79A7	chr4
haplotype2-0000146	#00B28C	chr17
haplotype2-0000147	#00B28C	chr17
haplotype2-0000148	#00A880	chr10
haplotype2-0000149	#00B28C	chr17
haplotype2-0000150	#CC79A7	chr4
haplotype2-0000151	#E6AB23	chr8
haplotype2-0000152	#D55E00	chr6
haplotype2-0000153	#00A880	chr10
haplotype2-0000154	#E69F00	chr1
haplotype2-0000155	#E6B847	chr15
haplotype2-0000156	#8C564B	chrY
haplotype2-0000157	#8C564B	chrY
haplotype2-0000158	#8C564B	chrY
haplotype2-0000159	#CCA0BF	chr18
haplotype2-0000160	#D55E00	chr6
haplotype2-0000161	#D55E00	chr6
haplotype2-0000162	#D55E00	chr6
haplotype2-0000163	#00B28C	chr17
haplotype2-0000164	#00B28C	chr17
haplotype2-0000165	#00B28C	chr17
haplotype2-0000166	#00B28C	chr17
haplotype2-0000167	#8C564B	chrY
haplotype2-0000168	#8C564B	chrY
haplotype2-0000169	#8C564B	chrY
haplotype2-0000170	#567DE9	chr16
haplotype2-0000171	#567DE9	chr16
haplotype2-0000172	#E69F00	chr1
haplotype2-0000173	#CC8DB3	chr11
haplotype2-0000174	#338CC2	chr19
haplotype2-0000175	#E6B847	chr15
