chrom	gap_start	gap_end	gap_type	gap_size	strand	nearest_gene_chrom	nearest_gene_start	nearest_gene_end	nearest_gene_name	distance
chr1	121285804	121293304	N_region_windowed	7500	+	chr1	121194338	121402237	SRGAP2C	0
chr1	149271107	149278610	N_region_windowed	7500	+	chr1	149062295	149192234	OTUD7B	78874
chr1	227898042	227930171	N_region_windowed	7500	+	chr1	227898884	227899005	RNA5S1	0
chr1	227898042	227930171	N_region_windowed	7500	+	chr1	227901124	227901245	RNA5S1	0
chr1	227898042	227930171	N_region_windowed	7500	+	chr1	227903354	227903475	RNA5S2	0
chr1	227898042	227930171	N_region_windowed	7500	+	chr1	227905593	227905714	RNA5S1	0
chr1	227898042	227930171	N_region_windowed	7500	+	chr1	227907833	227907954	RNA5S1	0
chr1	227898042	227930171	N_region_windowed	7500	+	chr1	227910072	227910193	RNA5S3	0
chr1	227898042	227930171	N_region_windowed	7500	+	chr1	227912312	227912433	RNA5S1	0
chr1	227898042	227930171	N_region_windowed	7500	+	chr1	227914552	227914673	RNA5S2	0
chr1	227898042	227930171	N_region_windowed	7500	+	chr1	227916792	227916913	RNA5S1	0
chr1	227898042	227930171	N_region_windowed	7500	+	chr1	227919032	227919153	RNA5S1	0
chr1	227898042	227930171	N_region_windowed	7500	+	chr1	227923515	227923636	RNA5S2	0
chr1	227898042	227930171	N_region_windowed	7500	+	chr1	227925754	227925875	RNA5S3	0
chr1	227898042	227930171	N_region_windowed	7500	+	chr1	227927994	227928115	RNA5S1	0
chr10	5539589	5547089	N_region_windowed	7500	+	chr10	5415940	5462403	NET1	77187
chr13	5610742	5712246	N_region_windowed	100000	-	chr13	5577852	5621588	LOC102724843	0
chr13	5610742	5712246	N_region_windowed	100000	-	chr13	5661608	5668281	CTBP2P10	0
chr13	5610742	5712246	N_region_windowed	100000	-	chr13	5670006	5676728	LOC124904990	0
chr13	12835700	12863952	N_region_windowed	28508	-	chr13	12825742	12837797	LINC01410	0
chr13	12835700	12863952	N_region_windowed	28508	-	chr13	12843129	12843210	MIR4477A	0
chr13	12835700	12863952	N_region_windowed	28508	-	chr13	12843129	12843210	MIR4477B	0
chr14	6897537	6920912	N_region	4893	-	chr14	6897240	6897524	RN7SL52P	14
chr15	6280082	6359448	N_region_windowed	100000	-	chr15	5380042	5387023	LOC105379557	893060
chr16	14975898	14979640	N_region	7500	-	chr16	14975788	15158065	PDXDC1	0
chr17	39046821	39048321	N_region_windowed	1500	-	chr17	39044722	39059475	TBC1D3E	0
chr17	40065660	40073160	N_region_windowed	7500	+	chr17	39733107	39784846	LASP1	280815
chr17	47436853	47444354	N_region_windowed	7500	+	chr17	47234774	47910589	LRRC37A2	0
chr17	47436853	47444354	N_region_windowed	7500	+	chr17	47361936	47441293	ARL17A	0
chr19	47626697	47634426	N_region_windowed	7500	-	chr19	47289854	47299031	ZNF285BP	327667
chr21	1965688	2048064	N_region_windowed	100000	-	chr21	2208878	2253368	LOC101930100	160815
chr21	2954245	3057215	N_region_windowed	100000	-	chr21	2936289	2959379	LOC102723360	0
chr21	2954245	3057215	N_region_windowed	100000	-	chr21	2961392	3006055	CTBP2P9	0
chr21	2954245	3057215	N_region_windowed	100000	-	chr21	3007483	3014502	LOC124904991	0
chr22	2229768	2253076	N_region_windowed	22689	+	chr22	3710701	3773247	LOC105379566	1457626
chr22	38573303	38580774	N_region_windowed	7500	-	chr22	38754993	38863179	TPTEP2-CSNK1E	174220
chr3	92520744	92594923	N_region_windowed	100000	-	chr3	91568650	91708493	LOC101930420	812252
chr4	8878753	8880253	N_region_windowed	1500	+	chr4	8916485	8917502	OR7E85BP	36233
chr4	9678521	9680024	N_region_windowed	1500	+	chr4	9655580	9687047	LOC124900660	0
chr4	9992717	9994217	N_region_windowed	1500	+	chr4	9770808	10039839	SLC2A9	0
chr4	10251140	10258639	N_region_windowed	7500	+	chr4	9770808	10039839	SLC2A9	211302
chr7	103401756	103409113	N_region_windowed	7500	-	chr7	103644465	103646049	LOC107986717	235353
chr8	142776952	142827226	N_region	7500	-	chr8	142561182	142635781	MROH5	141172
chr9	63624051	63624324	N_region_windowed	1500	-	chr9	76811316	76812270	SNX18P15	13186993
chr9	63828516	63835719	N_region_windowed	7500	-	chr9	76811316	76812270	SNX18P15	12975598
chrX	63879130	63880630	N_region_windowed	1500	+	chrX	63460246	63934332	ZC3H12B	0
