#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	15891	248384169	246307
syndip	chr2	0	3155	242662379	236475
syndip	chr3	0	2645	201100844	228249
syndip	chr4	0	3392	193508496	212858
syndip	chr5	0	3388	182042957	186965
syndip	chr6	0	3712	172123534	208685
syndip	chr7	0	3375	160565601	199624
syndip	chrX	0	44335	154259461	118877
syndip	chr9	0	3593	150547375	168168
syndip	chr8	0	6063	146251244	158698
syndip	chr11	0	982	135125284	188435
syndip	chr10	0	1845	134754097	154737
syndip	chr12	0	3019	133322681	143062
syndip	chr13	0	5073850	113563565	117209
syndip	chr14	0	2108	101160036	147345
syndip	chr15	0	6091	99749769	151734
syndip	chr16	0	2565	96320464	127601
syndip	chr17	0	35557	84272854	99837
syndip	chr18	0	163937	80525850	98537
syndip	chr20	0	2716	66207387	87560
syndip	chr19	0	2852	61704491	93585
syndip	chr22	0	4614	51321978	73508
syndip	chr21	0	3033	45086538	74008
