sample	contig_name	contig_length_bp	haplotype	primary_chrom	aligned_bp	satellite_bp	satellite_fraction	classification
T2T00	unassigned-0000326	49316	unassigned	chr13	49265	49265	1	satellite
T2T00	haplotype2-0000117	184452	haplotype2	chr21	175265	175265	1	satellite
T2T00	unassigned-0000327	44272	unassigned	chr13	44225	44225	1	satellite
T2T00	unassigned-0000340	51119	unassigned	chr13	51037	51037	1	satellite
T2T00	unassigned-0000328	108706	unassigned	chr14	88342	88342	1	satellite
T2T00	haplotype2-0000098	50161	haplotype2	chr13	31397	31397	1	satellite
T2T00	unassigned-0000342	97101	unassigned	chr13	87488	87488	1	satellite
T2T00	unassigned-0000557	56988	unassigned	chr8	56938	0	0	non_satellite
T2T00	unassigned-0000343	61271	unassigned	chr13	58322	58322	1	satellite
T2T00	unassigned-0000570	107049	unassigned	chr12	107033	0	0	non_satellite
T2T00	unassigned-0000344	53790	unassigned	chr13	52980	52980	1	satellite
T2T00	unassigned-0000571	57008	unassigned	chr12	56973	0	0	non_satellite
T2T00	unassigned-0000118	93013	unassigned	chr7	93039	93039	1	satellite
T2T00	unassigned-0000345	70317	unassigned	chr13	69398	69398	1	satellite
T2T00	unassigned-0000119	64479	unassigned	chr7	64486	64486	1	satellite
T2T00	unassigned-0000346	56546	unassigned	chr13	56282	56282	1	satellite
T2T00	unassigned-0000348	52645	unassigned	chr21	89290	52250	0.585172	satellite
T2T00	unassigned-0000135	49794	unassigned	chr19	49787	0	0	non_satellite
T2T00	unassigned-0000136	46703	unassigned	chr7	46414	0	0	non_satellite
T2T00	unassigned-0000610	49994	unassigned	chr21	46168	46168	1	satellite
T2T00	unassigned-0000137	99101	unassigned	chr17	99007	0	0	non_satellite
T2T00	unassigned-0000365	54470	unassigned	chr8	54317	0	0	non_satellite
T2T00	unassigned-0000138	72347	unassigned	chr17	72355	0	0	non_satellite
T2T00	unassigned-0000612	84435	unassigned	chr1	84433	0	0	non_satellite
T2T00	unassigned-0000366	120526	unassigned	chr8	120747	0	0	non_satellite
T2T00	unassigned-0000152	43787	unassigned	chr13	46047	46047	1	satellite
T2T00	unassigned-0000614	47209	unassigned	chr21	41545	41545	1	satellite
T2T00	unassigned-0000153	362109	unassigned	chr19	360797	0	0	non_satellite
T2T00	unassigned-0000367	170241	unassigned	chr14	320570	160285	0.5	satellite
T2T00	unassigned-0000400	44232	unassigned	chr13	44135	44135	1	satellite
T2T00	unassigned-0000615	53423	unassigned	chr21	43913	43913	1	satellite
T2T00	unassigned-0000595	55974	unassigned	chr22	70175	70175	1	satellite
T2T00	unassigned-0000381	54862	unassigned	chr19	54857	0	0	non_satellite
T2T00	unassigned-0000369	155959	unassigned	chr22	198309	198309	1	satellite
T2T00	unassigned-0000616	359178	unassigned	chr22	322956	322956	1	satellite
T2T00	unassigned-0000402	63620	unassigned	chr1	63575	0	0	non_satellite
T2T00	unassigned-0000156	357906	unassigned	chr21	13250	13250	1	satellite
T2T00	unassigned-0000617	93560	unassigned	chr22	149731	149731	1	satellite
T2T00	unassigned-0000383	60646	unassigned	chr13	59745	59745	1	satellite
T2T00	unassigned-0000157	188117	unassigned	chr22	119532	119532	1	satellite
T2T00	unassigned-0000618	67867	unassigned	chr22	110539	110539	1	satellite
T2T00	unassigned-0000171	62508	unassigned	chr9	343690	68738	0.2	non_satellite
T2T00	unassigned-0000385	53165	unassigned	chr6	53127	0	0	non_satellite
T2T00	unassigned-0000158	198861	unassigned	chr21	19044	19044	1	satellite
T2T00	unassigned-0000619	209472	unassigned	chr22	217719	217719	1	satellite
T2T00	unassigned-0000159	148030	unassigned	chr21	56732	56732	1	satellite
T2T00	unassigned-0000633	73788	unassigned	chr13	73769	73769	1	satellite
T2T00	unassigned-0000386	75771	unassigned	chr12	73487	0	0	non_satellite
T2T00	unassigned-0000634	79443	unassigned	chr22	95090	95090	1	satellite
T2T00	unassigned-0000407	69311	unassigned	chr13	61891	61891	1	satellite
T2T00	unassigned-0000635	81586	unassigned	chr15	82192	82192	1	satellite
T2T00	unassigned-0000389	33605	unassigned	chr12	33599	0	0	non_satellite
T2T00	unassigned-0000175	56920	unassigned	chr1	56924	56924	1	satellite
T2T00	unassigned-0000176	69537	unassigned	chr7	69507	0	0	non_satellite
T2T00	unassigned-0000210	90953	unassigned	chr13	90369	90369	1	satellite
T2T00	unassigned-0000191	82680	unassigned	chr6	82359	0	0	non_satellite
T2T00	unassigned-0000178	106864	unassigned	chr15	208062	104031	0.5	satellite
T2T00	unassigned-0000211	48711	unassigned	chr10	48618	0	0	non_satellite
T2T00	unassigned-0000192	101490	unassigned	chr22	101686	101686	1	satellite
T2T00	unassigned-0000212	45890	unassigned	chr10	45864	0	0	non_satellite
T2T00	unassigned-0000427	81438	unassigned	chr21	86616	86616	1	satellite
T2T00	unassigned-0000440	207323	unassigned	chr22	205640	205640	1	satellite
T2T00	unassigned-0000213	98947	unassigned	chr15	45876	45876	1	satellite
T2T00	unassigned-0000193	68952	unassigned	chr13	68984	68984	1	satellite
T2T00	unassigned-0000214	86608	unassigned	chr22	54065	54065	1	satellite
T2T00	unassigned-0000441	157766	unassigned	chr22	165803	165803	1	satellite
T2T00	unassigned-0000442	86034	unassigned	chr22	142207	142207	1	satellite
T2T00	unassigned-0000443	101479	unassigned	chr21	158263	158263	1	satellite
T2T00	unassigned-0000196	43138	unassigned	chr14	32244	32244	1	satellite
