sample	category	subcategory	var_type	count	percentage
HG002	allelic	biallelic	DEL	420534	80.51625799114296
HG002	allelic	multiallelic	DEL	101763	19.48374200885703
HG002	allelic	biallelic	INS	413744	81.39840053512232
HG002	allelic	multiallelic	INS	94551	18.60159946487768
HG002	allelic	multiallelic	MNV	1976	100.0
HG002	allelic	biallelic	SNV	4223233	96.95280130616204
HG002	allelic	multiallelic	SNV	132735	3.047198693837972
HG002	allelic	biallelic	all	5057511	93.85686576094136
HG002	allelic	multiallelic	all	331025	6.143134239058623
HG002	chromosome	chr1	DEL	39786	7.617504982797143
HG002	chromosome	chr10	DEL	24980	4.782719410603545
HG002	chromosome	chr11	DEL	23111	4.424877033565194
HG002	chromosome	chr12	DEL	24321	4.656545988202114
HG002	chromosome	chr13	DEL	18831	3.605419904766828
HG002	chromosome	chr14	DEL	18107	3.466801455876637
HG002	chromosome	chr15	DEL	19864	3.803200094965125
HG002	chromosome	chr16	DEL	17079	3.2699785754082447
HG002	chromosome	chr17	DEL	17384	3.328374468932428
HG002	chromosome	chr18	DEL	12994	2.48785652607616
HG002	chromosome	chr19	DEL	15233	2.9165398231274544
HG002	chromosome	chr2	DEL	38474	7.366306909670168
HG002	chromosome	chr20	DEL	12677	2.427163089200206
HG002	chromosome	chr21	DEL	8175	1.5652014083940746
HG002	chromosome	chr22	DEL	10716	2.051706213131609
HG002	chromosome	chr3	DEL	33277	6.371279176407294
HG002	chromosome	chr4	DEL	32317	6.187475708265604
HG002	chromosome	chr5	DEL	30804	5.897793783996462
HG002	chromosome	chr6	DEL	30583	5.855480693934677
HG002	chromosome	chr7	DEL	29865	5.718011016720372
HG002	chromosome	chr8	DEL	24972	4.781187715035698
HG002	chromosome	chr9	DEL	26682	5.108587642663083
HG002	chromosome	chrX	DEL	12065	2.309988378259879
HG002	chromosome	chr1	INS	39126	7.697498499886876
HG002	chromosome	chr10	INS	24569	4.83361040340747
HG002	chromosome	chr11	INS	22057	4.339409201349611
HG002	chromosome	chr12	INS	23994	4.720487118700754
HG002	chromosome	chr13	INS	18280	3.596336772936976
HG002	chromosome	chr14	INS	17200	3.3838617338356665
HG002	chromosome	chr15	INS	19303	3.797597851641271
HG002	chromosome	chr16	INS	16524	3.250868098250032
HG002	chromosome	chr17	INS	17077	3.359663187715795
HG002	chromosome	chr18	INS	12396	2.438741282129472
HG002	chromosome	chr19	INS	14808	2.9132688694557296
HG002	chromosome	chr2	INS	37918	7.459841233929115
HG002	chromosome	chr20	INS	11954	2.351783905015788
HG002	chromosome	chr21	INS	7783	1.531197434560639
HG002	chromosome	chr22	INS	10123	1.9915600192801424
HG002	chromosome	chr3	INS	32681	6.429534030435081
HG002	chromosome	chr4	INS	32046	6.304606576889404
HG002	chromosome	chr5	INS	29985	5.899133377271073
HG002	chromosome	chr6	INS	30339	5.968777973420947
HG002	chromosome	chr7	INS	28712	5.648688261737771
HG002	chromosome	chr8	INS	24003	4.722257744026599
HG002	chromosome	chr9	INS	25735	5.0630047511779575
HG002	chromosome	chrX	INS	11682	2.298271672945829
HG002	chromosome	chr1	SNV	303189	6.960312839763745
HG002	chromosome	chr10	SNV	188946	4.337635170873615
HG002	chromosome	chr11	SNV	253490	5.819372410449296
HG002	chromosome	chr12	SNV	178740	4.103335929005906
HG002	chromosome	chr13	SNV	148741	3.414648592459816
HG002	chromosome	chr14	SNV	172859	3.96832575445917
HG002	chromosome	chr15	SNV	188573	4.329072206223737
HG002	chromosome	chr16	SNV	155994	3.5811557844318416
HG002	chromosome	chr17	SNV	135520	3.1111339660897417
HG002	chromosome	chr18	SNV	109977	2.524743065146484
HG002	chromosome	chr19	SNV	119680	2.7474949310922394
HG002	chromosome	chr2	SNV	286497	6.577114432429256
HG002	chromosome	chr20	SNV	125242	2.8751818195174987
HG002	chromosome	chr21	SNV	66335	1.5228532441009668
HG002	chromosome	chr22	SNV	137518	3.157002071640563
HG002	chromosome	chr3	SNV	272683	6.2599862992565605
