#Subpopulation order/codes: AFR=0	AMR=1	EAS=2	EUR=3	SAS=4
#chm	spos	epos	sgpos	egpos	n snps	T2T00.0	T2T00.1	T2T00_1.0	T2T00_1.1	T2T00_2.0	T2T00_2.1	T2T04.0	T2T04.1	T2T04_1.0	T2T04_1.1	T2T04_2.0	T2T04_2.1	T2T01.0	T2T01.1	T2T02.0	T2T02.1	T2T03.0	T2T03.1	T2T05.0	T2T05.1	T2T06.0	T2T06.1	T2T07.0	T2T07.1	T2T08.0	T2T08.1	T2T09.0	T2T09.1	T2T10.0	T2T10.1	T2T11.0	T2T11.1	T2T12.0	T2T12.1	T2T13.0	T2T13.1	T2T15.0	T2T15.1	T2T16.0	T2T16.1	T2T17.0	T2T17.1	T2T18.0	T2T18.1	T2T19.0	T2T19.1
chr1	19716	1808142	0.0	2.72	60196	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	1	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	2	2
chr1	1808142	2855653	2.72	5.39	41016	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	4	4	3	1	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	2	2
chr1	2855653	3175540	5.39	6.7	14756	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	2	2
chr1	3175540	3557271	6.7	8.45	16348	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	2	4
chr1	3557271	3605071	8.45	8.67	1864	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	2	4
chr1	3605071	3820478	8.67	9.26	8509	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	0	4	4	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	2	4
chr1	3820478	4547050	9.26	11.44	30440	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	2	4
chr1	4547050	4763046	11.44	11.9	8181	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	2	2
chr1	4763046	12254330	11.9	27.06	269051	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	2	2
chr1	12254330	14271661	27.06	32.08	59130	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	4	4	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	2	2
chr1	14271661	14490068	32.08	33.23	8471	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	4	4	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	2	2
chr1	14490068	15243548	33.23	35.03	26987	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	3	3	1	1	4	4	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	2	2
chr1	15243548	15495085	35.03	35.22	7935	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	4	4	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	2	2
chr1	15495085	17163598	35.22	36.95	30713	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	1	4	4	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	2	2
chr1	17163598	19644533	36.95	43.73	93869	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	1	4	4	3	1	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	2	2
chr1	19644533	23419140	43.73	49.23	126315	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	4	4	3	1	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	2	2
