Chromosome	Start	End	Methylated_allele	Name	Reference	All_CpGs_At_iDMR_CouldBeExaminedInBothHaplotypes	DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MethylationFrequency_HP1	MethylationFrequency_HP2	Included_Or_Ignored_For_PofO_Assignment
chr1	11044370	11044544	Maternal	PTCHD2	Hernandez	20	0	0	0	0	0.35082	0.34289	Ignored:DidNotMeet_cpg_difference
chr1	21120031	21120143	Maternal	ECE1;LOC100506801	Hernandez	5	0	0	0	0	0.32313	0.36596	Ignored:DidNotMeet_cpg_difference
chr1	32329102	32329320	Maternal	ZBTB8B	Joshi	9	0	5	0	0.24054	0.41439	0.63363	Included
chr1	39384177	39384444	Maternal	BMP8A	Akbari	18	0	0	0	0	0.24071	0.40628	Ignored:DidNotMeet_cpg_difference
chr1	39427318	39428447	Maternal	PPIEL,PABPC4	Akbari,Court,Hernandez,Joshi,Zink	52	0	52	0	0.48783	0.43813	0.92596	Included
chr1	67924206	67929467	Maternal	DIRAS3,DIRAS3_Ex2,GNG12-AS1	Akbari,Court,Hernandez,Joshi,Zink	136	0	126	0	0.59575	0.26918	0.82857	Included
chr1	176387296	176387476	Maternal	ASTN1	Zink	15	0	0	0	0	0.71246	0.69653	Ignored:DidNotMeet_cpg_difference
chr1	227504793	227504903	Maternal	OBSCN	Joshi	8	0	0	0	0	0.91756	0.92793	Ignored:DidNotMeet_cpg_difference
chr10	13172944	13173273	Maternal	BTBD7P1	Akbari	27	0	0	0	0	0.44901	0.62508	Ignored:DidNotMeet_cpg_difference
chr10	27443798	27444893	Maternal	PTCHD3	Akbari,Hernandez	72	0	72	0	0.56092	0.31337	0.87428	Included
chr10	98458604	98458947	Maternal	ANKRD2	Akbari	19	0	0	0	0	0.77102	0.64818	Ignored:DidNotMeet_cpg_difference
chr10	120716003	120716796	Maternal	INPP5F	Akbari,Court,Hernandez	64	0	64	0	0.45134	0.49821	0.94955	Included
chr10	124869055	124869380	Maternal	YBX2P1	Akbari	32	0	0	0	0	0.08891	0.20045	Ignored:DidNotMeet_cpg_difference
chr11	2085259	2091234	Paternal	H19,H19/IGF2	Akbari,Court,Hernandez	250	241	0	0.80414	0	0.89775	0.11769	Included
chr11	2220004	2221535	Paternal	IGF2_DMR2,IGF2,INS-IGF2	Akbari,Court,Hernandez,Zink	68	63	0	0.47826	0	0.77518	0.32565	Included
chr11	2233014	2236942	Paternal	IGF2_DMR0,IGF2,IGF2-AS,INS-IGF2	Akbari,Court,Hernandez,Zink	100	100	0	0.53036	0	0.74699	0.21663	Included
chr11	2787890	2790647	Maternal	KvDMR1,KCNQ1,KCNQ1OT1	Akbari,Court,Hernandez,Zink	205	0	203	0	0.88457	0.05427	0.93231	Included
chr11	7147542	7148122	Maternal	RBMXL2	Akbari,Hernandez,Zink	55	0	0	0	0	0.6697	0.6686	Ignored:DidNotMeet_cpg_difference
chr11	132831291	132831483	Maternal	OPCML	Hernandez	10	0	0	0	0	0.7524	0.81048	Ignored:DidNotMeet_cpg_difference
chr11	133121414	133122305	Maternal	OPCML	Akbari	45	0	0	0	0	0.7331	0.76484	Ignored:DidNotMeet_cpg_difference
chr12	200351	201073	Maternal	SLC6A12,RP11-283I3.2	Zink	85	85	0	0.55518	0	0.66254	0.10735	Included
chr12	3845430	3845920	Paternal	PARP11	Akbari	69	35	0	0.19764	0	0.56571	0.40337	Included
chr12	6454803	6455271	Maternal	CD27,CD27-AS1,LOC678655	Hernandez	8	0	0	0	0	0.52186	0.60007	Ignored:DidNotMeet_cpg_difference
chr12	14651159	14651402	Maternal	H2AFJ	Hernandez	13	0	0	0	0	0.078	0.12355	Ignored:DidNotMeet_cpg_difference
chr12	30992265	30994810	Maternal	AC024940.1	Akbari	143	131	0	0.40328	0	0.46205	0.08426	Included
chr12	30996914	30997274	Maternal	AC024940.1	Akbari	21	21	0	0.65673	0	0.88521	0.22848	Included
chr12	96198127	96198449	Paternal	ELK3	Hernandez	7	0	7	0	0.39249	0.34701	0.7395	Included
chr12	130374845	130375163	Maternal	PIWIL1	Hernandez	39	0	5	0	0.16738	0.60759	0.77299	Included
chr13	19317211	19317685	Maternal	GJA3	Akbari	25	0	0	0	0	0.65339	0.60122	Ignored:DidNotMeet_cpg_difference
chr13	47537482	47542150	Maternal	RB1,PPP1R26P1	Akbari,Court,Hernandez,Joshi,Zink	258	217	0	0.72431	0	0.95256	0.33273	Included
chr13	47630529	47633749	Maternal	LPAR6,RB1	Akbari	29	16	0	0.57303	0	0.74658	0.3206	Included
chr13	59487091	59488917	Maternal	TARDBPP2	Akbari,Hernandez,Zink	39	33	0	0.48957	0	0.80422	0.36648	Included
chr13	98425642	98426046	Paternal	UBAC2	Akbari	18	0	0	0	0	0.58646	0.71538	Ignored:DidNotMeet_cpg_difference
chr13	100190731	100191002	Maternal	NALCN-AS1	Akbari	22	0	22	0	0.42209	0.43492	0.85701	Included
chr14	27997060	27998007	Maternal	NPAS3	Akbari,Zink	117	0	96	0	0.17799	0.31713	0.49129	Included
chr14	46476152	46476528	Maternal	PTGDR	Akbari	18	0	0	0	0	0.24149	0.41857	Ignored:DidNotMeet_cpg_difference
chr14	94961427	94961490	Paternal	DLK1	Joshi,Zink	7	0	0	0	0	0.38341	0.28641	Ignored:DidNotMeet_cpg_difference
chr14	95042558	95046625	Paternal	IG-DMR,MEG3,MEG3/DLK1	Akbari,Court,Hernandez,Zink	96	56	0	0.49021	0	0.87991	0.54403	Included
chr14	95058592	95063118	Paternal	MEG3,AL117190.1	Akbari,Court,Hernandez,Joshi,Zink	246	241	0	0.72863	0	0.91524	0.19653	Included
chr14	95135834	95136700	Maternal	MEG8,SNHG23	Zink	26	0	13	0	0.44539	0.15756	0.43608	Included
chr14	95139591	95140676	Maternal	MEG8,SNHG23	Akbari,Court,Hernandez,Zink	52	0	52	0	0.75251	0.0977	0.85021	Included
chr14	100719510	100719614	Maternal	IGHV3-37	Hernandez	10	0	0	0	0	0.51752	0.65223	Ignored:DidNotMeet_cpg_difference
chr15	21296256	21301762	Maternal	MIR4508,MKRN3	Akbari,Court,Hernandez,Joshi	109	0	25	0	0.45002	0.71759	0.82632	Included
chr15	21341062	21343880	Paternal	MKRN3	Zink	14	0	0	0	0	0.72712	0.59076	Ignored:DidNotMeet_cpg_difference
chr15	21363464	21363638	Maternal	MKRN3	Zink	10	0	10	0	0.35325	0.24919	0.60243	Included
chr15	21368503	21368715	Maternal	MKRN3	Zink	8	0	0	0	0	0.6918	0.84993	Ignored:DidNotMeet_cpg_difference
chr15	21377299	21377524	Maternal	MAGEL2	Zink	6	0	0	0	0	0.24399	0.44068	Ignored:DidNotMeet_cpg_difference
chr15	21381510	21383473	Maternal	MAGEL2	Akbari,Court,Hernandez,Joshi,Zink	64	0	58	0	0.65934	0.23975	0.85241	Included
chr15	21420762	21422619	Maternal	NDN	Akbari,Court,Hernandez,Joshi,Zink	117	0	110	0	0.52014	0.21255	0.70498	Included
chr15	21532265	21532875	Maternal	RNU6-741P	Zink	22	0	0	0	0	0.68517	0.71709	Ignored:DidNotMeet_cpg_difference
chr15	21563910	21564305	Paternal	RNU6-741P	Zink	6	0	0	0	0	0.78492	0.65031	Ignored:DidNotMeet_cpg_difference
chr15	21589212	21590074	Maternal	RP11-484P15.1	Zink	9	0	6	0	0.39859	0.14673	0.51676	Included
chr15	21591584	21596455	Maternal	RP11-484P15.1	Akbari,Zink,Zink	83	0	35	0	0.43005	0.54757	0.73428	Included
chr15	21603570	21604377	Maternal	RP11-484P15.1	Akbari,Zink	36	0	35	0	0.49004	0.14301	0.62791	Included
chr15	21611867	21613067	Maternal	RP11-484P15.1	Akbari,Zink	40	0	33	0	0.35215	0.15466	0.45765	Included
chr15	21617488	21617845	Paternal	RP11-484P15.1	Zink	11	0	0	0	0	0.86509	0.75544	Ignored:DidNotMeet_cpg_difference
chr15	21630697	21633011	Maternal	PWRN4,RP11-484P15.1	Akbari,Joshi,Zink	59	0	29	0	0.34312	0.52425	0.69624	Included
chr15	21648478	21650220	Paternal	RP11-484P15.1	Zink	11	0	0	0	0	0.81012	0.60571	Ignored:DidNotMeet_cpg_difference
chr15	21674147	21675281	Paternal	RP11-484P15.1	Zink	12	0	0	0	0	0.78655	0.68302	Ignored:DidNotMeet_cpg_difference
chr15	21743102	21743985	Paternal	PWRN4	Zink	7	0	0	0	0	0.69699	0.4566	Ignored:DidNotMeet_cpg_difference
chr15	21763297	21763709	Paternal	PWRN4	Zink	5	0	0	0	0	0.8097	0.6177	Ignored:DidNotMeet_cpg_difference
chr15	21784164	21785579	Paternal	PWRN4	Zink	12	4	0	0.4155	0	0.81916	0.55159	Included
chr15	21835134	21836136	Maternal	SNRPN_intragenic_CpG32,PWRN2	Akbari,Court,Zink	46	0	42	0	0.32106	0.2255	0.53836	Included
chr15	21890432	21891180	Paternal	PWRN2	Zink	8	0	0	0	0	0.69415	0.64793	Ignored:DidNotMeet_cpg_difference
chr15	21897209	21897954	Paternal	PWRN2	Zink	8	0	0	0	0	0.68677	0.59792	Ignored:DidNotMeet_cpg_difference
chr15	21908292	21909250	Paternal	PWRN2	Zink	9	0	0	0	0	0.68182	0.44645	Ignored:DidNotMeet_cpg_difference
chr15	22008923	22009869	Paternal	RP11-580I1.2	Zink	10	1	0	0.30008	0	0.83283	0.56393	Included
chr15	22160590	22161837	Maternal	SNRPN_intragenic_CpG29,PWRN3	Akbari,Court,Zink	53	0	36	0	0.31026	0.27073	0.4573	Included
chr15	22211722	22212175	Maternal	SNRPN_intragenic_CpG30	Akbari,Court	31	0	31	0	0.40667	0.11396	0.52063	Included
chr15	22310237	22311050	Paternal	PWRN1	Zink	8	1	0	0.34022	0	0.70932	0.4839	Included
chr15	22312618	22313135	Paternal	PWRN1	Zink	7	0	0	0	0	0.5955	0.61764	Ignored:DidNotMeet_cpg_difference
chr15	22505473	22506455	Paternal	PWRN1,SNRPN	Hernandez,Zink	14	0	0	0	0	0.84251	0.7384	Ignored:DidNotMeet_cpg_difference
chr15	22508944	22510547	Maternal	SNRPN_intragenic_CpG40,SNRPN	Akbari,Court,Hernandez,Joshi,Zink	81	0	77	0	0.50419	0.13506	0.61971	Included
chr15	22560068	22561411	Maternal	SNRPN	Akbari,Court,Hernandez,Joshi,Zink	22	0	18	0	0.58585	0.28463	0.80118	Included
chr15	22583384	22585283	Maternal	SNRPN,RP11-385H1.1	Akbari,Court,Hernandez,Joshi,Zink	77	0	69	0	0.41644	0.18483	0.58349	Included
chr15	22593074	22595820	Maternal	SNRPN	Joshi,Zink	39	0	20	0	0.50276	0.4685	0.797	Included
chr15	22614163	22616870	Maternal	SNRPN	Akbari,Court,Hernandez,Joshi,Zink	87	0	41	0	0.5041	0.49302	0.72036	Included
chr15	22647266	22647904	Paternal	SNRPN,AC090602.2	Zink	8	0	0	0	0	0.83433	0.70215	Ignored:DidNotMeet_cpg_difference
chr15	22688234	22693913	Maternal	SNURF,SNRPN,RP11-701H24.9	Akbari,Court,Hernandez,Joshi,Zink	149	2	122	0.40608	0.86375	0.19572	0.87895	Included
chr15	22693914	22738212	Paternal	PWAR5,PWARSN,SNORD107,SNORD64,SNORD108,RP11-701H24.9,SNHG14	Akbari,Joshi,Zink,Akbari,Zink	386	44	1	0.41089	0.41889	0.91847	0.74257	Included
chr15	22739217	22767775	Paternal	SNHG14	Akbari,Zink	210	53	0	0.42517	0	0.91153	0.65682	Included
chr15	22775157	22793910	Paternal	SNORD116Cluster,SNHG14	Akbari,Joshi,Zink,Akbari,Zink	217	4	0	0.40696	0	0.91158	0.81282	Ignored:DidNotMeet_cpg_difference
chr15	22796137	22837398	Paternal	SNORD116Cluster,SNHG14	Akbari,Joshi,Zink,Akbari,Zink	576	31	0	0.34306	0	0.90855	0.74677	Ignored:DidNotMeet_cpg_difference
chr15	22877695	22880669	Paternal	SNHG14	Akbari	17	0	0	0	0	0.70115	0.5001	Ignored:DidNotMeet_cpg_difference
chr15	22917914	22920700	Paternal	SNORD115Cluster	Joshi,Zink	49	0	0	0	0	0.86078	0.79357	Ignored:DidNotMeet_cpg_difference
