Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Paternal	Maternal	1.0	101.63435999999999	0	183	0	3	0	183	0	197	0
chr10	Paternal	Maternal	1.0	69.272	0	136	0	2	0	136	0	136	0
chr11	Paternal	Maternal	1.0	456.53183	0	607	0	4	0	607	0	623	0
chr12	Maternal	Paternal	0.93762	116.55874	7.754300000000001	244	40	4	2	244	40	256	108
chr13	Maternal	Paternal	0.95158	182.49956	9.28598	266	22	3	1	266	22	326	22
chr14	Paternal	Maternal	1.0	265.05922	0	458	0	5	0	458	0	537	0
chr15	Paternal	Maternal	0.99763	518.09335	1.23105	996	3	26	0	999	0	1839	0
chr16	Paternal	Maternal	1.0	143.63933	0	298	0	6	0	298	0	436	0
chr18	Maternal	Paternal	1.0	128.03196	0	189	0	2	0	189	0	190	0
chr19	Maternal	Paternal	1.0	473.53405000000004	0	683	0	9	0	683	0	738	0
chr2	Paternal	Maternal	1.0	337.74503999999996	0	626	0	6	0	626	0	645	0
chr20	Maternal	Paternal	1.0	903.9483200000001	0	1203	0	9	0	1203	0	1405	0
chr21	Maternal	Paternal	1.0	62.35831999999999	0	112	0	2	0	112	0	113	0
chr22	Paternal	Maternal	1.0	56.64189999999999	0	70	0	1	0	70	0	82	0
chr3	Paternal	Maternal	1.0	12.99144	0	56	0	1	0	56	0	57	0
chr4	Paternal	Maternal	1.0	127.34656	0	261	0	4	0	261	0	266	0
chr5	Maternal	Paternal	0.55221	74.81456	60.668220000000005	141	112	2	2	141	112	141	122
chr6	Paternal	Maternal	0.91724	310.38702	28.0041	428	51	4	1	428	51	442	51
chr7	Maternal	Paternal	1.0	566.16912	0	774	0	8	0	774	0	844	0
chr8	Maternal	Paternal	0.97576	272.1956	6.762950000000001	489	41	6	1	489	41	534	77
chr9	Paternal	Maternal	0.84756	148.45208	26.6992	239	82	3	1	239	82	239	82
