contig	color
contig-0000001	#E69F00	chr1
contig-0000002	#E69F00	chr1
contig-0000003	#808080	chr21
contig-0000004	#808080	chr21
contig-0000005	#808080	chr21
contig-0000006	#808080	chr21
contig-0000007	#808080	chr21
contig-0000008	#808080	chr21
contig-0000009	#808080	chr21
contig-0000010	#808080	chr21
contig-0000011	#808080	chr21
contig-0000012	#808080	chr21
contig-0000013	#808080	chr21
contig-0000014	#808080	chr21
contig-0000015	#808080	chr21
contig-0000016	#E6B847	chr15
contig-0000017	#808080	chr21
contig-0000018	#808080	chr21
contig-0000019	#808080	chr21
contig-0000020	#808080	chr21
contig-0000021	#808080	chr21
contig-0000023	#808080	chr21
contig-0000024	#D57533	chr13
contig-0000025	#808080	chr21
contig-0000026	#808080	chr21
contig-0000027	#808080	chr21
contig-0000028	#808080	chr21
contig-0000029	#E6B847	chr15
contig-0000030	#E6C47F	chr22
contig-0000031	#CC8DB3	chr11
contig-0000032	#808080	chr21
contig-0000033	#737373	chr14
contig-0000034	#808080	chr21
contig-0000035	#808080	chr21
contig-0000036	#E6B847	chr15
contig-0000037	#808080	chr21
contig-0000038	#808080	chr21
contig-0000039	#D57533	chr13
contig-0000040	#D57533	chr13
contig-0000041	#D57533	chr13
contig-0000042	#D57533	chr13
contig-0000043	#D57533	chr13
contig-0000044	#D57533	chr13
contig-0000045	#D57533	chr13
contig-0000046	#D57533	chr13
contig-0000047	#808080	chr21
contig-0000048	#E6C47F	chr22
contig-0000049	#5699E9	chr9
contig-0000050	#5699E9	chr9
contig-0000051	#5699E9	chr9
contig-0000052	#808080	chr21
contig-0000053	#808080	chr21
contig-0000054	#808080	chr21
contig-0000055	#808080	chr21
contig-0000056	#9467BD	chrX
contig-0000057	#808080	chr21
contig-0000058	#808080	chr21
contig-0000059	#808080	chr21
contig-0000060	#808080	chr21
contig-0000061	#808080	chr21
contig-0000062	#808080	chr21
contig-0000063	#808080	chr21
contig-0000064	#808080	chr21
contig-0000065	#808080	chr21
contig-0000066	#808080	chr21
contig-0000067	#808080	chr21
contig-0000068	#808080	chr21
contig-0000069	#808080	chr21
contig-0000070	#808080	chr21
contig-0000071	#D57533	chr13
contig-0000072	#D57533	chr13
contig-0000073	#E69F00	chr1
contig-0000074	#D57533	chr13
contig-0000075	#D57533	chr13
contig-0000076	#D57533	chr13
contig-0000077	#D57533	chr13
contig-0000078	#E69F00	chr1
contig-0000079	#D57533	chr13
contig-0000080	#D57533	chr13
contig-0000081	#D57533	chr13
contig-0000082	#E69F00	chr1
contig-0000083	#808080	chr21
contig-0000084	#D57533	chr13
contig-0000085	#D57533	chr13
contig-0000086	#808080	chr21
contig-0000087	#D57533	chr13
contig-0000088	#D57533	chr13
contig-0000089	#D57533	chr13
contig-0000090	#E6C47F	chr22
contig-0000091	#808080	chr21
contig-0000092	#808080	chr21
contig-0000093	#E69F00	chr1
contig-0000094	#808080	chr21
contig-0000095	#808080	chr21
contig-0000096	#D57533	chr13
contig-0000097	#808080	chr21
contig-0000098	#E69F00	chr1
contig-0000099	#E6C47F	chr22
contig-0000100	#E6C47F	chr22
contig-0000101	#E6C47F	chr22
contig-0000102	#5699E9	chr9
contig-0000103	#808080	chr21
contig-0000104	#E69F00	chr1
contig-0000105	#808080	chr21
contig-0000106	#808080	chr21
contig-0000107	#737373	chr14
contig-0000108	#808080	chr21
contig-0000109	#808080	chr21
contig-0000110	#808080	chr21
contig-0000111	#808080	chr21
contig-0000112	#808080	chr21
contig-0000113	#E6B847	chr15
contig-0000114	#808080	chr21
contig-0000115	#808080	chr21
contig-0000116	#E6C47F	chr22
contig-0000117	#737373	chr14
contig-0000118	#D57533	chr13
contig-0000119	#808080	chr21
contig-0000120	#D57533	chr13
contig-0000121	#CC8DB3	chr11
contig-0000122	#9467BD	chrX
contig-0000123	#CC8DB3	chr11
contig-0000124	#808080	chr21
contig-0000125	#808080	chr21
contig-0000126	#808080	chr21
contig-0000127	#808080	chr21
contig-0000128	#808080	chr21
contig-0000129	#00A880	chr10
contig-0000130	#D57533	chr13
contig-0000131	#808080	chr21
contig-0000132	#00B28C	chr17
contig-0000133	#E6C47F	chr22
contig-0000134	#D57533	chr13
contig-0000135	#D57533	chr13
contig-0000136	#E6C47F	chr22
contig-0000137	#D57533	chr13
contig-0000138	#D57533	chr13
contig-0000139	#E6B847	chr15
contig-0000140	#00B28C	chr17
contig-0000141	#D57533	chr13
contig-0000142	#9467BD	chrX
contig-0000143	#00B28C	chr17
contig-0000144	#D57533	chr13
contig-0000145	#808080	chr21
contig-0000146	#808080	chr21
contig-0000147	#808080	chr21
contig-0000148	#808080	chr21
contig-0000149	#808080	chr21
contig-0000150	#808080	chr21
contig-0000151	#808080	chr21
contig-0000152	#00B28C	chr17
contig-0000153	#808080	chr21
contig-0000155	#808080	chr21
contig-0000156	#808080	chr21
contig-0000157	#00B28C	chr17
contig-0000158	#0072B2	chr5
contig-0000159	#0072B2	chr5
contig-0000160	#0072B2	chr5
contig-0000161	#E6C47F	chr22
contig-0000162	#808080	chr21
contig-0000163	#D57533	chr13
contig-0000164	#808080	chr21
contig-0000165	#808080	chr21
contig-0000166	#808080	chr21
contig-0000167	#808080	chr21
contig-0000168	#808080	chr21
contig-0000169	#0072B2	chr5
contig-0000170	#D57533	chr13
contig-0000171	#808080	chr21
contig-0000172	#E6B847	chr15
contig-0000173	#E6AB23	chr8
contig-0000174	#D57533	chr13
contig-0000175	#D57533	chr13
contig-0000176	#E6C47F	chr22
contig-0000177	#E6B847	chr15
contig-0000178	#E6B847	chr15
contig-0000179	#E6B847	chr15
contig-0000180	#00A880	chr10
contig-0000181	#E6B847	chr15
contig-0000182	#737373	chr14
contig-0000183	#D57533	chr13
contig-0000184	#D57533	chr13
contig-0000185	#E6C47F	chr22
contig-0000186	#E6C47F	chr22
contig-0000187	#E6C47F	chr22
contig-0000188	#00A880	chr10
contig-0000189	#D57533	chr13
contig-0000190	#D57533	chr13
contig-0000191	#D57533	chr13
contig-0000192	#808080	chr21
contig-0000193	#D57533	chr13
contig-0000194	#D57533	chr13
contig-0000195	#00A880	chr10
contig-0000196	#808080	chr21
contig-0000197	#808080	chr21
contig-0000198	#D57533	chr13
contig-0000199	#808080	chr21
contig-0000200	#00A880	chr10
contig-0000201	#808080	chr21
contig-0000202	#808080	chr21
contig-0000203	#808080	chr21
contig-0000204	#808080	chr21
contig-0000205	#808080	chr21
contig-0000206	#D57533	chr13
contig-0000207	#5699E9	chr9
contig-0000208	#737373	chr14
contig-0000209	#00A880	chr10
contig-0000210	#E6B847	chr15
contig-0000211	#E6C47F	chr22
contig-0000212	#D57533	chr13
contig-0000213	#808080	chr21
contig-0000214	#E6B847	chr15
contig-0000215	#E6B847	chr15
contig-0000216	#737373	chr14
contig-0000217	#808080	chr21
contig-0000218	#D57533	chr13
contig-0000219	#737373	chr14
contig-0000220	#009E73	chr3
contig-0000221	#D57533	chr13
contig-0000222	#D57533	chr13
contig-0000223	#E6C47F	chr22
contig-0000224	#D57533	chr13
contig-0000225	#E6C47F	chr22
contig-0000226	#D57533	chr13
contig-0000227	#E6C47F	chr22
contig-0000228	#D57533	chr13
contig-0000229	#CCA0BF	chr18
contig-0000230	#D57533	chr13
contig-0000231	#009E73	chr3
contig-0000232	#9467BD	chrX
contig-0000233	#E6C47F	chr22
contig-0000234	#E6C47F	chr22
contig-0000236	#CCA0BF	chr18
contig-0000237	#D57533	chr13
contig-0000238	#CCA0BF	chr18
contig-0000239	#CCA0BF	chr18
contig-0000240	#CCA0BF	chr18
contig-0000241	#E6C47F	chr22
contig-0000242	#D57533	chr13
contig-0000243	#E6C47F	chr22
contig-0000244	#E6C47F	chr22
contig-0000245	#737373	chr14
contig-0000246	#D57533	chr13
contig-0000247	#D57533	chr13
contig-0000248	#D57533	chr13
contig-0000249	#D57533	chr13
contig-0000251	#D57533	chr13
contig-0000252	#E6B847	chr15
contig-0000253	#D57533	chr13
contig-0000254	#808080	chr21
contig-0000255	#808080	chr21
contig-0000256	#737373	chr14
contig-0000257	#808080	chr21
contig-0000258	#E6C47F	chr22
contig-0000259	#E69F00	chr1
contig-0000260	#E6C47F	chr22
contig-0000261	#D57533	chr13
contig-0000262	#E6C47F	chr22
contig-0000263	#E69F00	chr1
contig-0000264	#00B28C	chr17
contig-0000266	#E69F00	chr1
contig-0000267	#009E73	chr3
contig-0000268	#D57533	chr13
contig-0000272	#737373	chr14
contig-0000273	#737373	chr14
contig-0000274	#E6C47F	chr22
contig-0000275	#E6C47F	chr22
contig-0000277	#00A880	chr10
contig-0000278	#E6B847	chr15
contig-0000279	#808080	chr21
contig-0000280	#E6C47F	chr22
contig-0000281	#D57533	chr13
contig-0000282	#009E73	chr3
contig-0000283	#009E73	chr3
contig-0000284	#D57533	chr13
contig-0000285	#9467BD	chrX
contig-0000286	#9467BD	chrX
contig-0000287	#E6C47F	chr22
contig-0000288	#1A7FBA	chr12
contig-0000289	#808080	chr21
contig-0000290	#1A7FBA	chr12
contig-0000293	#E6C47F	chr22
contig-0000294	#808080	chr21
contig-0000295	#808080	chr21
contig-0000296	#D57533	chr13
contig-0000297	#E6C47F	chr22
contig-0000298	#D57533	chr13
contig-0000300	#1A7FBA	chr12
contig-0000301	#E69F00	chr1
contig-0000303	#737373	chr14
contig-0000306	#8C564B	chrY
contig-0000307	#E6C47F	chr22
contig-0000308	#E6C47F	chr22
contig-0000309	#1A7FBA	chr12
contig-0000310	#E6B847	chr15
contig-0000311	#CC79A7	chr4
contig-0000312	#E6C47F	chr22
contig-0000313	#E6B847	chr15
contig-0000314	#E69F00	chr1
contig-0000315	#808080	chr21
contig-0000316	#1A7FBA	chr12
contig-0000317	#E69F00	chr1
contig-0000318	#D57533	chr13
contig-0000319	#E69F00	chr1
contig-0000320	#1A7FBA	chr12
contig-0000321	#1A7FBA	chr12
contig-0000322	#1A7FBA	chr12
contig-0000324	#E69F00	chr1
contig-0000325	#D57533	chr13
contig-0000326	#CC79A7	chr4
contig-0000327	#E6C47F	chr22
contig-0000329	#808080	chr21
contig-0000330	#E6B847	chr15
contig-0000331	#E69F00	chr1
contig-0000332	#D57533	chr13
contig-0000333	#D57533	chr13
contig-0000334	#666666	chr7
contig-0000335	#666666	chr7
contig-0000336	#666666	chr7
contig-0000338	#E69F00	chr1
contig-0000339	#D57533	chr13
contig-0000340	#D57533	chr13
contig-0000341	#E6B847	chr15
contig-0000342	#D57533	chr13
contig-0000344	#E69F00	chr1
contig-0000347	#009E73	chr3
contig-0000348	#D57533	chr13
contig-0000349	#E69F00	chr1
contig-0000350	#E6B847	chr15
contig-0000351	#009E73	chr3
contig-0000352	#D57533	chr13
contig-0000354	#808080	chr21
contig-0000355	#5699E9	chr9
contig-0000356	#E6AB23	chr8
contig-0000358	#808080	chr21
contig-0000359	#E6AB23	chr8
contig-0000360	#0072B2	chr5
contig-0000361	#0072B2	chr5
contig-0000362	#0072B2	chr5
contig-0000363	#E6C47F	chr22
contig-0000364	#E6B847	chr15
contig-0000365	#E6AB23	chr8
contig-0000366	#808080	chr21
contig-0000367	#D57533	chr13
contig-0000368	#808080	chr21
contig-0000369	#808080	chr21
contig-0000370	#E6AB23	chr8
contig-0000371	#E6AB23	chr8
contig-0000372	#D55E00	chr6
contig-0000373	#D55E00	chr6
contig-0000374	#808080	chr21
contig-0000375	#D55E00	chr6
contig-0000376	#00A880	chr10
contig-0000377	#00A880	chr10
contig-0000378	#00A880	chr10
contig-0000379	#737373	chr14
contig-0000380	#737373	chr14
contig-0000381	#737373	chr14
contig-0000382	#1A7FBA	chr12
contig-0000383	#1A7FBA	chr12
contig-0000384	#1A7FBA	chr12
contig-0000385	#D58C66	chr20
contig-0000386	#D58C66	chr20
contig-0000387	#D58C66	chr20
contig-0000388	#D58C66	chr20
contig-0000389	#D58C66	chr20
contig-0000390	#737373	chr14
contig-0000391	#737373	chr14
contig-0000392	#737373	chr14
contig-0000393	#737373	chr14
contig-0000394	#737373	chr14
contig-0000395	#737373	chr14
contig-0000396	#737373	chr14
contig-0000397	#737373	chr14
contig-0000398	#737373	chr14
contig-0000399	#CC8DB3	chr11
contig-0000400	#CC8DB3	chr11
contig-0000401	#CC8DB3	chr11
contig-0000402	#CC8DB3	chr11
contig-0000403	#CC8DB3	chr11
contig-0000405	#00A880	chr10
contig-0000406	#00A880	chr10
contig-0000407	#00A880	chr10
contig-0000408	#00A880	chr10
