contig_name	contig_length_bp	haplotype	primary_chrom	aligned_bp	satellite_bp	satellite_fraction	classification
unassigned-0000841	56529	unassigned	chr17	54244	0	0	non_satellite
unassigned-0000842	119734	unassigned	chr15	845747	120821	0.142857	non_satellite
unassigned-0000884	185210	unassigned	chr13	187386	187386	1	satellite
unassigned-0000885	16783	unassigned	chrY	16789	0	0	non_satellite
unassigned-0000844	14344	unassigned	chr21	14344	14344	1	satellite
unassigned-0000530	77995	unassigned	chr13	82318	82318	1	satellite
unassigned-0000845	37430	unassigned	chr15	112305	37435	0.333333	non_satellite
unassigned-0000887	122862	unassigned	chr7	123179	0	0	non_satellite
unassigned-0000572	12682	unassigned	chr8	12688	0	0	non_satellite
unassigned-0000806	38767	unassigned	chr18	38727	38727	1	satellite
unassigned-0000889	47415	unassigned	chr2	47642	0	0	non_satellite
unassigned-0000848	1221449	unassigned	chr15	854987	608809	0.712068	satellite
unassigned-0000807	173193	unassigned	chr2	173195	0	0	non_satellite
unassigned-0000849	21432	unassigned	chr13	21419	21419	1	satellite
unassigned-0000220	27021	unassigned	chr9	26996	26996	1	satellite
unassigned-0000535	28718	unassigned	chr17	28933	0	0	non_satellite
unassigned-0000809	70339	unassigned	chr22	70325	0	0	non_satellite
unassigned-0000222	57326	unassigned	chr20	57304	0	0	non_satellite
unassigned-0000538	54974	unassigned	chr13	54893	54893	1	satellite
unassigned-0000223	28372	unassigned	chr20	28346	0	0	non_satellite
unassigned-0000579	99239	unassigned	chr21	17008	17008	1	satellite
haplotype1-0000070	20482	haplotype1	chr1	20480	20480	1	satellite
haplotype1-0000071	27292	haplotype1	chr16	28957	28957	1	satellite
haplotype2-0000076	2563156	haplotype2	chr22	31016195	2641931	0.0851791	non_satellite
haplotype1-0000030	28677	haplotype1	chr16	30376	30376	1	satellite
haplotype1-0000072	143349	haplotype1	chr16	152248	0	0	non_satellite
haplotype1-0000031	22694	haplotype1	chr1	22651	0	0	non_satellite
haplotype1-0000033	52153	haplotype1	chr22	78429	49569	0.632024	satellite
haplotype1-0000034	159769	haplotype1	chr17	161017	0	0	non_satellite
unassigned-0000960	234843	unassigned	chr21	28554	28554	1	satellite
unassigned-0000961	114306	unassigned	chr21	44251	44251	1	satellite
unassigned-0000920	25322	unassigned	chr2	27396	0	0	non_satellite
unassigned-0000921	99518	unassigned	chr2	99400	0	0	non_satellite
unassigned-0000963	131530	unassigned	chr22	229919	126907	0.551964	satellite
unassigned-0000965	130742	unassigned	chr21	28554	28554	1	satellite
unassigned-0000924	89944	unassigned	chr8	90240	0	0	non_satellite
unassigned-0000692	23277	unassigned	chr7	23248	0	0	non_satellite
unassigned-0000693	76123	unassigned	chr12	76155	76155	1	satellite
unassigned-0000694	88459	unassigned	chr6	88448	88448	1	satellite
unassigned-0000969	156806	unassigned	chr21	27553	27553	1	satellite
unassigned-0000695	68044	unassigned	chr2	67374	0	0	non_satellite
unassigned-0000696	44730	unassigned	chr2	45030	0	0	non_satellite
unassigned-0000340	100877	unassigned	chr13	130060	130060	1	satellite
unassigned-0000301	14888	unassigned	chr15	14857	0	0	non_satellite
unassigned-0000344	90884	unassigned	chr21	55671	55671	1	satellite
haplotype2-0000190	20769	haplotype2	chr5	20731	0	0	non_satellite
haplotype2-0000191	48136	haplotype2	chr12	48107	0	0	non_satellite
haplotype2-0000150	188704	haplotype2	chr5	119449	119449	1	satellite
haplotype2-0000110	144710	haplotype2	chr4	144719	0	0	non_satellite
haplotype2-0000151	127252	haplotype2	chr5	74682	74682	1	satellite
haplotype2-0000152	308572	haplotype2	chr5	48061	48061	1	satellite
haplotype2-0000112	45114	haplotype2	chr1	45139	0	0	non_satellite
haplotype2-0000153	836558	haplotype2	chr5	210035	210035	1	satellite
haplotype2-0000113	269407	haplotype2	chr22	2208357	296918	0.134452	non_satellite
haplotype2-0000154	164789	haplotype2	chr1	164727	0	0	non_satellite
haplotype2-0000115	96608	haplotype2	chr16	86197	86197	1	satellite
haplotype2-0000116	307986	haplotype2	chr14	3384898	307718	0.0909091	non_satellite
haplotype2-0000117	358523	haplotype2	chr14	3232296	359144	0.111111	non_satellite
haplotype2-0000159	131269	haplotype2	chr15	422970	84594	0.2	non_satellite
unassigned-0001030	73238	unassigned	chr5	73245	0	0	non_satellite
unassigned-0001031	166846	unassigned	chr21	1334328	166791	0.125	non_satellite
unassigned-0001033	35079	unassigned	chr17	34986	0	0	non_satellite
unassigned-0001034	145844	unassigned	chr21	37387	37387	1	satellite
unassigned-0001035	45314	unassigned	chr15	45208	45208	1	satellite
unassigned-0001036	107020	unassigned	chr2	107063	0	0	non_satellite
unassigned-0001037	33152	unassigned	chr7	33160	0	0	non_satellite
unassigned-0001039	28551	unassigned	chr11	28523	0	0	non_satellite
unassigned-0000774	118303	unassigned	chr9	118313	0	0	non_satellite
unassigned-0000735	25922	unassigned	chr4	25892	0	0	non_satellite
unassigned-0000777	41087	unassigned	chr9	41086	0	0	non_satellite
unassigned-0000736	14966	unassigned	chr15	14888	14888	1	satellite
unassigned-0000737	40236	unassigned	chr2	40236	0	0	non_satellite
unassigned-0000779	39509	unassigned	chr6	39494	0	0	non_satellite
unassigned-0000738	158847	unassigned	chr21	61019	61019	1	satellite
unassigned-0000423	72403	unassigned	chr21	72339	72339	1	satellite
unassigned-0000467	56626	unassigned	chr3	56625	0	0	non_satellite
unassigned-0000196	65862	unassigned	chr17	65826	0	0	non_satellite
unassigned-0000197	81140	unassigned	chr18	81160	0	0	non_satellite
unassigned-0000198	13341	unassigned	chr18	13299	0	0	non_satellite
unassigned-0000199	41355	unassigned	chr20	41358	0	0	non_satellite
unassigned-0000811	45010	unassigned	chr7	44980	0	0	non_satellite
unassigned-0000853	110299	unassigned	chr15	1102030	110203	0.1	non_satellite
unassigned-0000812	164223	unassigned	chr14	363621	160333	0.440934	non_satellite
unassigned-0000854	134846	unassigned	chr7	134809	0	0	non_satellite
unassigned-0000855	29021	unassigned	chr13	28919	28919	1	satellite
unassigned-0000583	43101	unassigned	chr10	43091	0	0	non_satellite
unassigned-0000899	131445	unassigned	chr21	64122	64122	1	satellite
unassigned-0000502	36236	unassigned	chr17	36214	0	0	non_satellite
unassigned-0000819	12305	unassigned	chr7	12343	0	0	non_satellite
unassigned-0000504	76153	unassigned	chr13	80528	80528	1	satellite
unassigned-0000230	53299	unassigned	chr13	53168	53168	1	satellite
unassigned-0000546	27735	unassigned	chr13	27375	27375	1	satellite
unassigned-0000505	128675	unassigned	chr21	72574	72574	1	satellite
unassigned-0000232	92247	unassigned	chr6	92253	0	0	non_satellite
unassigned-0000589	146001	unassigned	chr21	26341	26341	1	satellite
unassigned-0000508	270515	unassigned	chr21	743707	270228	0.363353	non_satellite
unassigned-0000237	23350	unassigned	chr1	23329	0	0	non_satellite
unassigned-0000279	28288	unassigned	chr13	28324	28324	1	satellite
haplotype2-0000082	1701003	haplotype2	chrY	30620160	317845	0.0103803	non_satellite
