#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3211	248384152	255892
syndip	chr2	0	3155	242694066	242194
syndip	chr3	0	5958	201101343	206140
syndip	chr4	0	3022	193490816	223982
syndip	chr5	0	1855	182044304	187540
syndip	chr6	0	8047	172124006	208435
syndip	chr7	0	3200	160565562	188981
syndip	chrX	0	5347	154256551	130171
syndip	chr9	0	3545	150596989	157561
syndip	chr8	0	2183	146244877	151238
syndip	chr11	0	1837	135125485	193363
syndip	chr10	0	7755	134709841	150704
syndip	chr12	0	3133	133322669	138400
syndip	chr13	0	4119301	113562614	110104
syndip	chr14	0	2510	101159346	137430
syndip	chr15	0	6091	99749463	138989
syndip	chr16	0	3666	96327872	132950
syndip	chr17	0	2260	84237411	92627
syndip	chr18	0	163949	80539281	96315
syndip	chr20	0	2374	66203987	84138
syndip	chr19	0	2210	61703957	86698
syndip	chr22	0	18680	51322042	115662
syndip	chr21	0	3033	45086599	86126
