#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	232340	248384152	250097
syndip	chr2	0	63346	242693993	240138
syndip	chr3	0	2460	201100844	204142
syndip	chr4	0	3022	193484263	190105
syndip	chr5	0	1855	182044304	186055
syndip	chr6	0	8047	172124006	184946
syndip	chr7	0	55015	160565562	186560
syndip	chrX	0	10795	154256551	121228
syndip	chr9	0	3545	150614219	156134
syndip	chr8	0	2183	146253953	154658
syndip	chr11	0	1837	135127166	190398
syndip	chr10	0	3727	134755012	147511
syndip	chr12	0	5194	133322669	138485
syndip	chr13	0	989866	113562614	109687
syndip	chr14	0	492396	101159346	126690
syndip	chr15	0	55472	99749379	124918
syndip	chr16	0	3666	96327872	126503
syndip	chr17	0	2260	84239387	94919
syndip	chr18	0	164177	80538855	92582
syndip	chr20	0	2374	66203987	85620
syndip	chr19	0	2210	61703957	86895
syndip	chr22	0	7393	51220615	95215
syndip	chr21	0	97065	45086599	86301
