Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Paternal	Maternal	1.0	119.1351	0	190	0	3	0	190	0	208	0
chr10	Paternal	Maternal	0.88234	79.47616000000001	10.59789	168	40	3	2	168	40	168	46
chr11	Paternal	Maternal	1.0	475.31302	0	691	0	7	0	691	0	731	0
chr12	Maternal	Paternal	0.81494	153.78601999999998	34.922560000000004	266	76	4	2	266	76	287	76
chr13	Maternal	Paternal	1.0	210.62380000000002	0	309	0	3	0	309	0	326	0
chr14	Maternal	Paternal	1.0	306.00762	0	479	0	5	0	479	0	538	0
chr15	Paternal	Maternal	1.0	532.9068600000002	0	992	0	29	0	992	0	1503	0
chr16	Paternal	Maternal	1.0	205.31389	0	382	0	6	0	382	0	544	0
chr18	Paternal	Maternal	1.0	112.32329	0	186	0	2	0	186	0	190	0
chr19	Maternal	Paternal	1.0	481.06242	0	636	0	8	0	636	0	676	0
chr2	Maternal	Paternal	1.0	364.56274999999994	0	645	0	6	0	645	0	672	0
chr20	Maternal	Paternal	1.0	890.45453	0	1132	0	7	0	1132	0	1259	0
chr21	Paternal	Maternal	1.0	30.80854	0	77	0	2	0	77	0	112	0
chr22	Maternal	Paternal	1.0	57.95306	0	94	0	2	0	94	0	104	0
chr3	Paternal	Maternal	1.0	19.68096	0	57	0	1	0	57	0	57	0
chr4	Paternal	Maternal	1.0	167.31355000000002	0	318	0	6	0	318	0	326	0
chr5	Maternal	Paternal	1.0	70.36807	0	113	0	2	0	113	0	121	0
chr6	Paternal	Maternal	1.0	322.83707	0	461	0	5	0	461	0	491	0
chr7	Paternal	Maternal	0.94138	483.01533	30.076999999999998	694	95	8	1	694	95	741	122
chr8	Maternal	Paternal	1.0	326.76148	0	506	0	8	0	506	0	576	0
chr9	Maternal	Paternal	0.86734	51.78146	7.92	165	22	2	1	165	22	176	22
