contig_name	contig_length_bp	haplotype	primary_chrom	aligned_bp	satellite_bp	satellite_fraction	classification
unassigned-0000880	22029	unassigned	chr18	22008	0	0	non_satellite
unassigned-0000840	46581	unassigned	chr21	47965	47965	1	satellite
unassigned-0000882	20153	unassigned	chr4	20149	0	0	non_satellite
unassigned-0000883	79227	unassigned	chr6	79234	0	0	non_satellite
unassigned-0000843	118409	unassigned	chr21	77453	77453	1	satellite
unassigned-0000884	28296	unassigned	chr13	28282	0	0	non_satellite
unassigned-0000530	38858	unassigned	chr13	38836	38836	1	satellite
unassigned-0000532	50957	unassigned	chr13	50914	50914	1	satellite
unassigned-0000889	16374	unassigned	chr22	16336	0	0	non_satellite
unassigned-0000807	200305	unassigned	chr21	69805	69805	1	satellite
unassigned-0000533	34210	unassigned	chr13	34074	34074	1	satellite
unassigned-0000534	133431	unassigned	chr22	129352	129352	1	satellite
unassigned-0000849	56089	unassigned	chr21	14172	14172	1	satellite
unassigned-0000263	19729	unassigned	chr1	19730	0	0	non_satellite
unassigned-0000264	44758	unassigned	chrX	44796	0	0	non_satellite
unassigned-0000265	76371	unassigned	chr2	76419	0	0	non_satellite
unassigned-0000266	66472	unassigned	chr2	66483	0	0	non_satellite
unassigned-0000267	41256	unassigned	chrX	41259	0	0	non_satellite
unassigned-0000268	71980	unassigned	chrX	72024	0	0	non_satellite
unassigned-0000269	32853	unassigned	chrX	32807	0	0	non_satellite
haplotype1-0000073	152798	haplotype1	chr6	179385	157073	0.875619	satellite
haplotype1-0000074	240468	haplotype1	chrX	240430	0	0	non_satellite
unassigned-0001222	146722	unassigned	chr21	100634	100634	1	satellite
unassigned-0001223	111191	unassigned	chr21	32737	32737	1	satellite
haplotype1-0000075	38308	haplotype1	chr2	38248	38248	1	satellite
haplotype1-0000034	27145	haplotype1	chr13	26882	0	0	non_satellite
haplotype1-0000035	107724	haplotype1	chr8	107617	0	0	non_satellite
haplotype1-0000076	382389	haplotype1	chr18	136451	136451	1	satellite
haplotype1-0000036	97801	haplotype1	chr16	97889	0	0	non_satellite
unassigned-0001226	36114	unassigned	chr21	13499	13499	1	satellite
haplotype1-0000037	178797	haplotype1	chr16	178161	0	0	non_satellite
haplotype1-0000078	108430	haplotype1	chr18	98618	98618	1	satellite
haplotype1-0000038	149456	haplotype1	chr10	149376	0	0	non_satellite
haplotype1-0000079	888566	haplotype1	chr10	945421	0	0	non_satellite
unassigned-0001269	115707	unassigned	chr22	110982	110982	1	satellite
haplotype1-0000039	628585	haplotype1	chr12	195725	195725	1	satellite
unassigned-0000960	55504	unassigned	chr13	55526	55526	1	satellite
unassigned-0000920	12295	unassigned	chrX	12255	0	0	non_satellite
unassigned-0000961	125318	unassigned	chr13	169717	169717	1	satellite
unassigned-0000965	42166	unassigned	chr13	42117	42117	1	satellite
unassigned-0000924	18323	unassigned	chr2	18295	0	0	non_satellite
unassigned-0000651	67079	unassigned	chr3	67082	0	0	non_satellite
unassigned-0000925	282155	unassigned	chr18	201238	201238	1	satellite
unassigned-0000967	108430	unassigned	chr21	112146	112146	1	satellite
unassigned-0000693	91942	unassigned	chr13	101165	101165	1	satellite
unassigned-0000927	76527	unassigned	chr1	76517	0	0	non_satellite
unassigned-0000654	99230	unassigned	chr8	99246	0	0	non_satellite
unassigned-0000695	37454	unassigned	chr13	37297	37297	1	satellite
unassigned-0000928	88387	unassigned	chr10	88392	0	0	non_satellite
unassigned-0000929	87934	unassigned	chr10	87882	0	0	non_satellite
unassigned-0000381	28337	unassigned	chr2	28307	0	0	non_satellite
unassigned-0000382	30046	unassigned	chr8	30021	0	0	non_satellite
unassigned-0000300	88311	unassigned	chr2	88306	0	0	non_satellite
unassigned-0000341	87843	unassigned	chr13	81591	81591	1	satellite
unassigned-0000383	17643	unassigned	chr8	17569	0	0	non_satellite
unassigned-0000301	59562	unassigned	chr5	59557	0	0	non_satellite
unassigned-0000699	94161	unassigned	chrX	93044	0	0	non_satellite
unassigned-0000343	24463	unassigned	chr9	24463	24463	1	satellite
unassigned-0000302	86046	unassigned	chr1	86046	0	0	non_satellite
unassigned-0000344	28666	unassigned	chr9	28635	28635	1	satellite
unassigned-0000303	131621	unassigned	chr1	131615	0	0	non_satellite
unassigned-0000304	21739	unassigned	chrX	21679	0	0	non_satellite
unassigned-0000386	69715	unassigned	chr5	69667	0	0	non_satellite
unassigned-0000345	179321	unassigned	chr17	91256	0	0	non_satellite
unassigned-0000387	119169	unassigned	chr7	119139	0	0	non_satellite
unassigned-0000305	21886	unassigned	chr4	21696	0	0	non_satellite
