contig_name	contig_length_bp	haplotype	primary_chrom	aligned_bp	satellite_bp	satellite_fraction	classification
unassigned-0000326	54919	unassigned	chr13	53445	53445	1	satellite
unassigned-0000340	184891	unassigned	chr22	733332	183333	0.25	non_satellite
unassigned-0000093	106979	unassigned	chr13	65568	65568	1	satellite
unassigned-0000094	106417	unassigned	chr13	46014	46014	1	satellite
unassigned-0000344	110297	unassigned	chr22	214666	107333	0.5	satellite
unassigned-0000345	78165	unassigned	chr13	79631	79631	1	satellite
unassigned-0000151	276188	unassigned	chr8	276260	0	0	non_satellite
unassigned-0000366	84417	unassigned	chr13	40903	40903	1	satellite
unassigned-0000367	50492	unassigned	chr13	37006	37006	1	satellite
unassigned-0000400	147005	unassigned	chr13	137091	137091	1	satellite
unassigned-0000154	74245	unassigned	chr5	74326	0	0	non_satellite
unassigned-0000401	89357	unassigned	chr21	89844	89844	1	satellite
unassigned-0000381	2317493	unassigned	chr22	33202048	2071509	0.062391	non_satellite
unassigned-0000382	93525	unassigned	chr13	95941	95941	1	satellite
unassigned-0000383	75330	unassigned	chr13	65621	65621	1	satellite
unassigned-0000384	124332	unassigned	chr22	120064	120064	1	satellite
unassigned-0000385	150152	unassigned	chr13	137245	137245	1	satellite
unassigned-0000405	96316	unassigned	chr13	204390	102195	0.5	satellite
unassigned-0000408	120594	unassigned	chr21	117165	117165	1	satellite
unassigned-0000388	110161	unassigned	chr13	62273	62273	1	satellite
unassigned-0000409	141428	unassigned	chr15	44798	44798	1	satellite
unassigned-0000389	93506	unassigned	chr13	95941	95941	1	satellite
unassigned-0000176	78334	unassigned	chr14	155342	77671	0.5	satellite
unassigned-0000177	125455	unassigned	chr22	43221	43221	1	satellite
unassigned-0000210	191760	unassigned	chr21	104016	104016	1	satellite
unassigned-0000212	3474897	unassigned	chr15	21485029	2042775	0.095079	non_satellite
unassigned-0000426	207078	unassigned	chr21	182767	182767	1	satellite
unassigned-0000179	75689	unassigned	chr13	30475	30475	1	satellite
unassigned-0000213	144653	unassigned	chr22	279818	139909	0.5	satellite
unassigned-0000427	219112	unassigned	chr21	181652	181652	1	satellite
unassigned-0000440	3835076	unassigned	chr22	21397584	3036537	0.14191	non_satellite
unassigned-0000428	49377	unassigned	chr22	48476	48476	1	satellite
unassigned-0000214	139774	unassigned	chr13	52877	52877	1	satellite
