Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Maternal	Paternal	1.0	113.14325	0	175	0	2	0	175	0	188	0
chr10	Maternal	Paternal	1.0	54.83664	0	136	0	2	0	136	0	136	0
chr11	Paternal	Maternal	0.9601	478.09601000000004	19.86832	652	46	5	2	652	46	675	55
chr12	Paternal	Maternal	1.0	61.676739999999995	0	155	0	3	0	155	0	165	0
chr13	Paternal	Maternal	0.99341	202.76319999999998	1.34574	319	6	5	1	319	6	373	18
chr14	Paternal	Maternal	1.0	280.76833999999997	0	488	0	5	0	488	0	537	0
chr15	Maternal	Paternal	0.99664	484.80092	1.63625	913	7	28	1	913	7	1452	19
chr16	Maternal	Paternal	1.0	195.34469	0	369	0	6	0	369	0	552	0
chr17	Maternal	Paternal	1.0	45.93504	0	96	0	1	0	96	0	139	0
chr18	Paternal	Maternal	1.0	127.01766	0	189	0	2	0	189	0	190	0
chr19	Maternal	Paternal	1.0	498.27447	0	669	0	9	0	669	0	739	0
chr2	Maternal	Paternal	1.0	354.26135	0	602	0	5	0	602	0	619	0
chr20	Maternal	Paternal	1.0	996.09093	0	1335	0	10	0	1335	0	1453	0
chr21	Paternal	Maternal	1.0	58.495419999999996	0	112	0	2	0	112	0	113	0
chr22	Maternal	Paternal	1.0	58.305200000000006	0	71	0	1	0	71	0	82	0
chr3	Paternal	Maternal	1.0	16.69472	0	56	0	1	0	56	0	57	0
chr4	Paternal	Maternal	1.0	150.26279	0	289	0	5	0	289	0	295	0
chr5	Paternal	Maternal	0.89125	68.06184	8.3049	106	38	2	1	106	38	204	38
chr6	Maternal	Paternal	0.90853	317.26200000000006	31.94181	432	51	4	1	432	51	442	51
chr7	Paternal	Maternal	1.0	600.54735	0	807	0	8	0	807	0	843	0
chr8	Maternal	Paternal	1.0	308.68648	0	580	0	9	0	580	0	692	0
chr9	Paternal	Maternal	0.97484	92.23928000000001	2.38017	167	13	2	1	167	13	176	26
