metric	value	haplotype	asm_method	asm_name	source	chromosome
mapped_sequences_n	23	haplotype1	phased_hprc	HG002	stat	NA
primary_alignments_n	13342	haplotype1	phased_hprc	HG002	stat	NA
secondary_alignments_n	829	haplotype1	phased_hprc	HG002	stat	NA
primary_alignments_long_cigar_n	0	haplotype1	phased_hprc	HG002	stat	NA
bases_in_mapped_sequences	2947895164	haplotype1	phased_hprc	HG002	stat	NA
bases_mapped	2908434352	haplotype1	phased_hprc	HG002	stat	NA
substitutions	3993873	haplotype1	phased_hprc	HG002	stat	NA
insertions_length_0_50	326162	haplotype1	phased_hprc	HG002	stat	NA
insertions_length_50_100	3123	haplotype1	phased_hprc	HG002	stat	NA
insertions_length_100_300	2808	haplotype1	phased_hprc	HG002	stat	NA
insertions_length_300_400	1805	haplotype1	phased_hprc	HG002	stat	NA
insertions_length_400_1000	1789	haplotype1	phased_hprc	HG002	stat	NA
insertions_length_1000_inf	1971	haplotype1	phased_hprc	HG002	stat	NA
deletions_length_0_50	332603	haplotype1	phased_hprc	HG002	stat	NA
deletions_length_50_100	3354	haplotype1	phased_hprc	HG002	stat	NA
deletions_length_100_300	2831	haplotype1	phased_hprc	HG002	stat	NA
deletions_length_300_400	1836	haplotype1	phased_hprc	HG002	stat	NA
deletions_length_400_1000	1683	haplotype1	phased_hprc	HG002	stat	NA
deletions_length_1000_inf	2035	haplotype1	phased_hprc	HG002	stat	NA
mapped_sequences_n	24	haplotype2	phased_hprc	HG002	stat	NA
primary_alignments_n	9858	haplotype2	phased_hprc	HG002	stat	NA
secondary_alignments_n	846	haplotype2	phased_hprc	HG002	stat	NA
primary_alignments_long_cigar_n	0	haplotype2	phased_hprc	HG002	stat	NA
bases_in_mapped_sequences	3051529554	haplotype2	phased_hprc	HG002	stat	NA
bases_mapped	3002961702	haplotype2	phased_hprc	HG002	stat	NA
substitutions	3693508	haplotype2	phased_hprc	HG002	stat	NA
insertions_length_0_50	338687	haplotype2	phased_hprc	HG002	stat	NA
insertions_length_50_100	3423	haplotype2	phased_hprc	HG002	stat	NA
insertions_length_100_300	2834	haplotype2	phased_hprc	HG002	stat	NA
insertions_length_300_400	1910	haplotype2	phased_hprc	HG002	stat	NA
insertions_length_400_1000	1487	haplotype2	phased_hprc	HG002	stat	NA
insertions_length_1000_inf	2509	haplotype2	phased_hprc	HG002	stat	NA
deletions_length_0_50	344341	haplotype2	phased_hprc	HG002	stat	NA
deletions_length_50_100	3400	haplotype2	phased_hprc	HG002	stat	NA
deletions_length_100_300	2952	haplotype2	phased_hprc	HG002	stat	NA
deletions_length_300_400	2020	haplotype2	phased_hprc	HG002	stat	NA
deletions_length_400_1000	1560	haplotype2	phased_hprc	HG002	stat	NA
deletions_length_1000_inf	2471	haplotype2	phased_hprc	HG002	stat	NA
mapped_sequences_n	74	haplotype1	phased_hprc	HG00272	stat	NA
primary_alignments_n	16586	haplotype1	phased_hprc	HG00272	stat	NA
secondary_alignments_n	1780	haplotype1	phased_hprc	HG00272	stat	NA
primary_alignments_long_cigar_n	0	haplotype1	phased_hprc	HG00272	stat	NA
bases_in_mapped_sequences	3041251865	haplotype1	phased_hprc	HG00272	stat	NA
bases_mapped	3004229063	haplotype1	phased_hprc	HG00272	stat	NA
substitutions	4130312	haplotype1	phased_hprc	HG00272	stat	NA
insertions_length_0_50	347141	haplotype1	phased_hprc	HG00272	stat	NA
insertions_length_50_100	3788	haplotype1	phased_hprc	HG00272	stat	NA
