metric	value	haplotype	asm_method	asm_name	source	chromosome
Number of mapped sequences	59	haplotype1	phased_gfase	published_chr19_duplex15x	stat	NA
Number of primary alignments	1429	haplotype1	phased_gfase	published_chr19_duplex15x	stat	NA
Number of secondary alignments	102	haplotype1	phased_gfase	published_chr19_duplex15x	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype1	phased_gfase	published_chr19_duplex15x	stat	NA
Number of bases in mapped sequences	64585949	haplotype1	phased_gfase	published_chr19_duplex15x	stat	NA
Number of mapped bases	63548451	haplotype1	phased_gfase	published_chr19_duplex15x	stat	NA
Number of substitutions	226046	haplotype1	phased_gfase	published_chr19_duplex15x	stat	NA
Number of insertions in [0,50)	22769	haplotype1	phased_gfase	published_chr19_duplex15x	stat	NA
Number of insertions in [50,100)	72	haplotype1	phased_gfase	published_chr19_duplex15x	stat	NA
Number of insertions in [100,300)	71	haplotype1	phased_gfase	published_chr19_duplex15x	stat	NA
Number of insertions in [300,400)	196	haplotype1	phased_gfase	published_chr19_duplex15x	stat	NA
Number of insertions in [400,1000)	47	haplotype1	phased_gfase	published_chr19_duplex15x	stat	NA
Number of insertions in [1000,inf)	30	haplotype1	phased_gfase	published_chr19_duplex15x	stat	NA
Number of deletions in [0,50)	33086	haplotype1	phased_gfase	published_chr19_duplex15x	stat	NA
Number of deletions in [50,100)	85	haplotype1	phased_gfase	published_chr19_duplex15x	stat	NA
Number of deletions in [100,300)	85	haplotype1	phased_gfase	published_chr19_duplex15x	stat	NA
Number of deletions in [300,400)	212	haplotype1	phased_gfase	published_chr19_duplex15x	stat	NA
Number of deletions in [400,1000)	45	haplotype1	phased_gfase	published_chr19_duplex15x	stat	NA
Number of deletions in [1000,inf)	50	haplotype1	phased_gfase	published_chr19_duplex15x	stat	NA
Number of mapped sequences	63	haplotype2	phased_gfase	published_chr19_duplex15x	stat	NA
Number of primary alignments	511	haplotype2	phased_gfase	published_chr19_duplex15x	stat	NA
Number of secondary alignments	52	haplotype2	phased_gfase	published_chr19_duplex15x	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype2	phased_gfase	published_chr19_duplex15x	stat	NA
Number of bases in mapped sequences	60814587	haplotype2	phased_gfase	published_chr19_duplex15x	stat	NA
Number of mapped bases	60518207	haplotype2	phased_gfase	published_chr19_duplex15x	stat	NA
Number of substitutions	114157	haplotype2	phased_gfase	published_chr19_duplex15x	stat	NA
Number of insertions in [0,50)	18470	haplotype2	phased_gfase	published_chr19_duplex15x	stat	NA
Number of insertions in [50,100)	68	haplotype2	phased_gfase	published_chr19_duplex15x	stat	NA
Number of insertions in [100,300)	84	haplotype2	phased_gfase	published_chr19_duplex15x	stat	NA
Number of insertions in [300,400)	161	haplotype2	phased_gfase	published_chr19_duplex15x	stat	NA
Number of insertions in [400,1000)	60	haplotype2	phased_gfase	published_chr19_duplex15x	stat	NA
Number of insertions in [1000,inf)	63	haplotype2	phased_gfase	published_chr19_duplex15x	stat	NA
Number of deletions in [0,50)	26813	haplotype2	phased_gfase	published_chr19_duplex15x	stat	NA
Number of deletions in [50,100)	77	haplotype2	phased_gfase	published_chr19_duplex15x	stat	NA
Number of deletions in [100,300)	93	haplotype2	phased_gfase	published_chr19_duplex15x	stat	NA
Number of deletions in [300,400)	124	haplotype2	phased_gfase	published_chr19_duplex15x	stat	NA
Number of deletions in [400,1000)	34	haplotype2	phased_gfase	published_chr19_duplex15x	stat	NA
Number of deletions in [1000,inf)	54	haplotype2	phased_gfase	published_chr19_duplex15x	stat	NA
Number of mapped sequences	4	haplotype1	phased_verkko	published_chr19_duplex15x	stat	NA
Number of primary alignments	752	haplotype1	phased_verkko	published_chr19_duplex15x	stat	NA
Number of secondary alignments	64	haplotype1	phased_verkko	published_chr19_duplex15x	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype1	phased_verkko	published_chr19_duplex15x	stat	NA
Number of bases in mapped sequences	60150575	haplotype1	phased_verkko	published_chr19_duplex15x	stat	NA
Number of mapped bases	59551592	haplotype1	phased_verkko	published_chr19_duplex15x	stat	NA
Number of substitutions	203767	haplotype1	phased_verkko	published_chr19_duplex15x	stat	NA
Number of insertions in [0,50)	13857	haplotype1	phased_verkko	published_chr19_duplex15x	stat	NA
Number of insertions in [50,100)	72	haplotype1	phased_verkko	published_chr19_duplex15x	stat	NA
Number of insertions in [100,300)	72	haplotype1	phased_verkko	published_chr19_duplex15x	stat	NA
Number of insertions in [300,400)	183	haplotype1	phased_verkko	published_chr19_duplex15x	stat	NA
Number of insertions in [400,1000)	47	haplotype1	phased_verkko	published_chr19_duplex15x	stat	NA
Number of insertions in [1000,inf)	32	haplotype1	phased_verkko	published_chr19_duplex15x	stat	NA
Number of deletions in [0,50)	19411	haplotype1	phased_verkko	published_chr19_duplex15x	stat	NA
Number of deletions in [50,100)	83	haplotype1	phased_verkko	published_chr19_duplex15x	stat	NA
Number of deletions in [100,300)	79	haplotype1	phased_verkko	published_chr19_duplex15x	stat	NA
Number of deletions in [300,400)	199	haplotype1	phased_verkko	published_chr19_duplex15x	stat	NA
Number of deletions in [400,1000)	41	haplotype1	phased_verkko	published_chr19_duplex15x	stat	NA
Number of deletions in [1000,inf)	51	haplotype1	phased_verkko	published_chr19_duplex15x	stat	NA
Number of mapped sequences	9	haplotype2	phased_verkko	published_chr19_duplex15x	stat	NA
Number of primary alignments	366	haplotype2	phased_verkko	published_chr19_duplex15x	stat	NA
Number of secondary alignments	51	haplotype2	phased_verkko	published_chr19_duplex15x	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype2	phased_verkko	published_chr19_duplex15x	stat	NA
Number of bases in mapped sequences	62389153	haplotype2	phased_verkko	published_chr19_duplex15x	stat	NA
Number of mapped bases	61697931	haplotype2	phased_verkko	published_chr19_duplex15x	stat	NA
