chrom	gap_start	gap_end	gap_type	gap_size	strand	nearest_gene_chrom	nearest_gene_start	nearest_gene_end	nearest_gene_name	distance
chr1	152170163	152183295	N_region	7500	-	chr1	152206986	152224535	SPRR2B	23692
chr14	1865637	1962227	N_region_windowed	100000	-	chr14	1881070	1881500	VN1R44P	0
chr14	1865637	1962227	N_region_windowed	100000	-	chr14	1902519	1903561	LOC105379281	0
chr14	1865637	1962227	N_region_windowed	100000	-	chr14	1909636	1953351	LOC102724701	0
chr14	1941971	2034171	N_region_windowed	100000	-	chr14	1909636	1953351	LOC102724701	0
chr14	1941971	2034171	N_region_windowed	100000	-	chr14	1990781	1997456	CTBP2P11	0
chr14	1941971	2034171	N_region_windowed	100000	-	chr14	1999183	2005879	LOC124904989	0
chr14	3574813	3616560	N_region_windowed	47310	-	chr14	3500544	3507528	LOC105379557	67286
chr14	53957567	53969999	N_region_windowed	7500	-	chr14	54604011	54606819	RBM8B	634013
chr16	14744745	14844726	N_region_windowed	100000	+	chr16	14740933	14763869	NPIPA2	0
chr16	14744745	14844726	N_region_windowed	100000	+	chr16	14746577	14768392	LOC105376749	0
chr16	14744745	14844726	N_region_windowed	100000	+	chr16	14820821	14823097	ABCC6P2	0
chr16	14744745	14844726	N_region_windowed	100000	+	chr16	14832115	14894560	NOMO1	0
chr19	3352206	3359705	N_region_windowed	7500	+	chr19	2302356	2328755	SPPL2B	1023452
chr22	4798405	4894532	N_region_windowed	100000	-	chr22	4797629	4810993	RNA45S5	0
chr22	4798405	4894532	N_region_windowed	100000	-	chr22	4801290	4803159	RNA18S5	0
chr22	4798405	4894532	N_region_windowed	100000	-	chr22	4804233	4804390	RNA5-8S5	0
chr22	4798405	4894532	N_region_windowed	100000	-	chr22	4805558	4810632	RNA28S5	0
chr22	4798405	4894532	N_region_windowed	100000	-	chr22	4841005	4854369	RNA45S5	0
chr22	4798405	4894532	N_region_windowed	100000	-	chr22	4844666	4846535	RNA18S5	0
chr22	4798405	4894532	N_region_windowed	100000	-	chr22	4847609	4847766	RNA5-8S5	0
chr22	4798405	4894532	N_region_windowed	100000	-	chr22	4848934	4854008	RNA28S5	0
chr22	4798405	4894532	N_region_windowed	100000	-	chr22	4884381	4897745	RNA45S5	0
chr22	4798405	4894532	N_region_windowed	100000	-	chr22	4888042	4889911	RNA18S5	0
chr22	4798405	4894532	N_region_windowed	100000	-	chr22	4890985	4891142	RNA5-8S5	0
chr22	4798405	4894532	N_region_windowed	100000	-	chr22	4892310	4897384	RNA28S5	0
chr22	6352596	6458543	N_region_windowed	100000	-	chr22	6365245	6365401	MTND1P17	0
chr3	60020174	60025755	N_region_windowed	7500	-	chr3	63139923	63141433	KRT8P35	3114169
chr5	70395461	70454183	N_region_windowed	100000	-	chr5	70385968	70420970	GTF2H2C	0
chr5	70395461	70454183	N_region_windowed	100000	-	chr5	70430104	70449214	NAIPP1	0
chr6	58327561	58418311	N_region_windowed	100000	-	chr6	57800229	58017709	LOC101927293	309853
chr7	60074191	60081691	N_region_windowed	7500	-	chr7	59939597	59940916	LOC101060796	133276
chr7	154469033	154476663	N_region_windowed	7500	-	chr7	153933014	154028620	ACTR3B	440414
