contig_name	contig_length_bp	haplotype	primary_chrom	aligned_bp	satellite_bp	satellite_fraction	classification
unassigned-0000327	114900	unassigned	chr17	114861	0	0	non_satellite
unassigned-0000113	47465	unassigned	chr13	47343	47343	1	satellite
unassigned-0000328	109223	unassigned	chr11	109233	0	0	non_satellite
unassigned-0000556	90207	unassigned	chr14	106421	106421	1	satellite
unassigned-0000343	176561	unassigned	chr22	349980	174990	0.5	satellite
unassigned-0000132	251909	unassigned	chr22	2303793	255977	0.111111	non_satellite
unassigned-0000349	128327	unassigned	chr14	253950	126975	0.5	satellite
unassigned-0000153	147629	unassigned	chr14	285118	146314	0.51317	satellite
unassigned-0000380	90245	unassigned	chr13	94515	94515	1	satellite
unassigned-0000381	81952	unassigned	chr13	86215	86215	1	satellite
unassigned-0000172	234675	unassigned	chr13	238505	238505	1	satellite
unassigned-0000173	183168	unassigned	chr13	182302	182302	1	satellite
unassigned-0000408	107332	unassigned	chr15	232981	149732	0.642679	satellite
unassigned-0000178	205697	unassigned	chr14	205692	205692	1	satellite
unassigned-0000191	267276	unassigned	chr14	3159102	294006	0.0930663	non_satellite
unassigned-0000192	131124	unassigned	chr15	247554	123777	0.5	satellite
unassigned-0000428	122454	unassigned	chr14	40207	40207	1	satellite
unassigned-0000196	105688	unassigned	chr13	112659	112659	1	satellite
unassigned-0000444	219775	unassigned	chr22	82846	82846	1	satellite
haplotype1-0000001	2338748	haplotype1	chr13	13690103	2019991	0.147551	non_satellite
unassigned-0000445	274577	unassigned	chr22	91636	91636	1	satellite
unassigned-0000448	124550	unassigned	chr13	113960	113960	1	satellite
unassigned-0000462	144289	unassigned	chr14	201079	146305	0.7276	satellite
haplotype1-0000026	567125	haplotype1	chr7	567525	0	0	non_satellite
haplotype1-0000040	243239	haplotype1	chr19	235879	0	0	non_satellite
haplotype1-0000027	342684	haplotype1	chr14	342581	0	0	non_satellite
unassigned-0000256	80693	unassigned	chr13	80470	80470	1	satellite
unassigned-0000271	98439	unassigned	chr15	177640	88820	0.5	satellite
haplotype2-0000061	4324262	haplotype2	chr22	16290941	3523016	0.216256	non_satellite
unassigned-0000272	287283	unassigned	chr14	287287	0	0	non_satellite
haplotype2-0000065	371530	haplotype2	chr17	336363	0	0	non_satellite
unassigned-0000489	137196	unassigned	chr14	155591	132855	0.853873	satellite
haplotype2-0000066	266724	haplotype2	chr17	231618	0	0	non_satellite
haplotype2-0000067	268738	haplotype2	chr17	233612	0	0	non_satellite
unassigned-0000524	112842	unassigned	chr13	108388	108388	1	satellite
haplotype2-0000068	78473	haplotype2	chr17	78574	0	0	non_satellite
