contig	color
contig-0000001	#D57533	chr13
contig-0000002	#808080	chr21
contig-0000004	#8C564B	chrY
contig-0000008	#D57533	chr13
contig-0000009	#E6C47F	chr22
contig-0000010	#D57533	chr13
contig-0000011	#E6C47F	chr22
contig-0000012	#D57533	chr13
contig-0000013	#D57533	chr13
contig-0000014	#808080	chr21
contig-0000015	#D57533	chr13
contig-0000016	#D57533	chr13
contig-0000017	#D57533	chr13
contig-0000018	#D57533	chr13
contig-0000019	#D57533	chr13
contig-0000020	#D57533	chr13
contig-0000021	#D57533	chr13
contig-0000023	#D57533	chr13
contig-0000024	#808080	chr21
contig-0000025	#808080	chr21
contig-0000026	#E6B847	chr15
contig-0000027	#737373	chr14
contig-0000028	#E6B847	chr15
contig-0000029	#D57533	chr13
contig-0000030	#808080	chr21
contig-0000031	#E6C47F	chr22
contig-0000032	#D57533	chr13
contig-0000033	#D57533	chr13
contig-0000034	#D57533	chr13
contig-0000035	#D57533	chr13
contig-0000036	#D57533	chr13
contig-0000037	#D57533	chr13
contig-0000038	#D57533	chr13
contig-0000040	#E6B847	chr15
contig-0000041	#E6C47F	chr22
contig-0000042	#808080	chr21
contig-0000043	#808080	chr21
contig-0000044	#808080	chr21
contig-0000045	#808080	chr21
contig-0000046	#E6C47F	chr22
contig-0000047	#737373	chr14
contig-0000048	#737373	chr14
contig-0000049	#D57533	chr13
contig-0000050	#D57533	chr13
contig-0000054	#808080	chr21
contig-0000055	#808080	chr21
contig-0000056	#808080	chr21
contig-0000057	#D57533	chr13
contig-0000058	#D57533	chr13
contig-0000059	#D57533	chr13
contig-0000060	#737373	chr14
contig-0000061	#00B28C	chr17
contig-0000062	#00B28C	chr17
contig-0000063	#E6C47F	chr22
contig-0000064	#808080	chr21
contig-0000065	#737373	chr14
contig-0000066	#808080	chr21
contig-0000068	#D57533	chr13
contig-0000069	#9467BD	chrX
contig-0000070	#9467BD	chrX
contig-0000071	#E6C47F	chr22
contig-0000072	#9467BD	chrX
contig-0000073	#D57533	chr13
contig-0000074	#D57533	chr13
contig-0000075	#D57533	chr13
contig-0000076	#D57533	chr13
contig-0000077	#D57533	chr13
contig-0000078	#808080	chr21
contig-0000079	#D57533	chr13
contig-0000080	#D57533	chr13
contig-0000083	#808080	chr21
contig-0000084	#808080	chr21
contig-0000085	#808080	chr21
contig-0000086	#D57533	chr13
contig-0000087	#808080	chr21
contig-0000088	#808080	chr21
contig-0000091	#D57533	chr13
contig-0000092	#D57533	chr13
contig-0000093	#D57533	chr13
contig-0000094	#D57533	chr13
contig-0000095	#D57533	chr13
contig-0000096	#808080	chr21
contig-0000098	#E6B847	chr15
contig-0000099	#808080	chr21
contig-0000100	#808080	chr21
contig-0000101	#E6B847	chr15
contig-0000102	#737373	chr14
contig-0000103	#E6C47F	chr22
contig-0000104	#E6C47F	chr22
contig-0000105	#D57533	chr13
contig-0000106	#808080	chr21
contig-0000107	#E6C47F	chr22
contig-0000109	#D57533	chr13
contig-0000110	#567DE9	chr16
contig-0000111	#567DE9	chr16
contig-0000112	#808080	chr21
contig-0000113	#808080	chr21
contig-0000114	#808080	chr21
contig-0000115	#737373	chr14
contig-0000116	#737373	chr14
contig-0000117	#D57533	chr13
contig-0000118	#D57533	chr13
contig-0000119	#D57533	chr13
contig-0000120	#737373	chr14
contig-0000121	#E6B847	chr15
contig-0000123	#D57533	chr13
contig-0000124	#737373	chr14
contig-0000125	#D57533	chr13
contig-0000126	#808080	chr21
contig-0000127	#D57533	chr13
contig-0000128	#D57533	chr13
contig-0000129	#D57533	chr13
contig-0000130	#D57533	chr13
contig-0000131	#D57533	chr13
contig-0000132	#D57533	chr13
contig-0000133	#D57533	chr13
contig-0000134	#E6C47F	chr22
contig-0000135	#00B28C	chr17
contig-0000136	#D57533	chr13
contig-0000137	#D57533	chr13
contig-0000138	#808080	chr21
contig-0000140	#00B28C	chr17
contig-0000141	#00B28C	chr17
contig-0000142	#00B28C	chr17
contig-0000143	#00B28C	chr17
contig-0000144	#737373	chr14
contig-0000145	#D57533	chr13
contig-0000146	#D57533	chr13
contig-0000147	#D57533	chr13
contig-0000148	#808080	chr21
contig-0000149	#E6C47F	chr22
contig-0000150	#E6C47F	chr22
contig-0000151	#D57533	chr13
contig-0000152	#D57533	chr13
contig-0000153	#808080	chr21
contig-0000154	#E6C47F	chr22
contig-0000155	#E6C47F	chr22
contig-0000156	#D57533	chr13
contig-0000157	#D57533	chr13
contig-0000158	#E6C47F	chr22
contig-0000159	#E6C47F	chr22
contig-0000160	#D57533	chr13
contig-0000161	#808080	chr21
contig-0000162	#808080	chr21
contig-0000163	#808080	chr21
contig-0000164	#808080	chr21
contig-0000165	#808080	chr21
contig-0000166	#808080	chr21
contig-0000167	#808080	chr21
contig-0000168	#808080	chr21
contig-0000169	#808080	chr21
