chrom	gap_start	gap_end	gap_type	gap_size	strand	nearest_gene_chrom	nearest_gene_start	nearest_gene_end	nearest_gene_name	distance
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227775847	227775968	RNA5S2	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227778117	227778207	RNA5SP370	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227784836	227784927	RNA5SP149	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227787077	227787167	RNA5SP370	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227789285	227789406	RNA5S4	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227791515	227791636	RNA5S2	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227793745	227793866	RNA5S3	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227796016	227796106	RNA5SP226	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227798217	227798338	RNA5S5	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227800447	227800568	RNA5S6	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227802687	227802808	RNA5S5	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227807181	227807271	RNA5SP298	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227809421	227809511	RNA5SP335	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227811619	227811740	RNA5S7	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227813890	227813980	RNA5SP370	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227816091	227816212	RNA5S8	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227818322	227818443	RNA5S9	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227820553	227820674	RNA5S11	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227822792	227822913	RNA5S10	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227825031	227825152	RNA5S12	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227827270	227827391	RNA5S14	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227829510	227829631	RNA5S15	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227831749	227831870	RNA5S2	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227833993	227834114	RNA5S16	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227836225	227836346	RNA5S13	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227840695	227840816	RNA5S2	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227842935	227843056	RNA5S2	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227845165	227845286	RNA5S2	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227847405	227847526	RNA5S1	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227849645	227849766	RNA5S2	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227851885	227852006	RNA5S2	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227854156	227854246	RNA5SP370	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227856365	227856486	RNA5S1	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227858627	227858718	RNA5SP149	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227860837	227860958	RNA5S1	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227863077	227863198	RNA5S1	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227865346	227865437	RNA5SP199	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227869796	227869917	RNA5S4	0
chr1	227772766	227872780	N_region_windowed	100000	+	chr1	227872036	227872157	RNA5S2	0
chr1	232104702	232110761	N_region_windowed	7500	-	chr1	230746984	230805510	EGLN1	1299193
chr10	51877460	51884955	N_region_windowed	7500	+	chr10	51588515	51607827	ASAH2B	269634
chr11	82635903	82643442	N_region	7500	-	chr11	82717960	82784949	LINC02734	74519
chr11	89816551	89824042	N_region_windowed	7500	+	chr11	89816931	89820153	LOC100128800	0
chr13	10188035	10252115	N_region_windowed	100000	-	chr13	10411930	10432540	LOC102723347	159816
chr14	2858962	2956090	N_region_windowed	100000	-	chr14	2858277	2868203	CDRT15P9	0
chr14	2858962	2956090	N_region_windowed	100000	-	chr14	2879822	2880926	LOC107987335	0
chr14	2858962	2956090	N_region_windowed	100000	-	chr14	2893827	2896848	LOC124904996	0
chr14	2858962	2956090	N_region_windowed	100000	-	chr14	2905203	2905804	MTCO3P36	0
chr14	2858962	2956090	N_region_windowed	100000	-	chr14	2905203	2905815	MTCO3P37	0
chr14	2858962	2956090	N_region_windowed	100000	-	chr14	2906108	2907167	MTCO1P37	0
chr14	2858962	2956090	N_region_windowed	100000	-	chr14	2910503	2932584	LOC101927088	0
chr14	2858962	2956090	N_region_windowed	100000	-	chr14	2929068	2929540	LOC105379554	0
chr14	2858962	2956090	N_region_windowed	100000	-	chr14	2932807	2934315	LOC124904995	0
chr14	2858962	2956090	N_region_windowed	100000	-	chr14	2943310	2944619	SOWAHCP2	0
chr14	2858962	2956090	N_region_windowed	100000	-	chr14	2946049	2947424	LINC00268-2P	0
chr14	2858962	2956090	N_region_windowed	100000	-	chr14	2948640	2949138	ANKRD20A6P	0
chr14	2858962	2956090	N_region_windowed	100000	-	chr14	2953563	2954518	SNX18P11	0
chr15	33774104	33883577	N_region_windowed	100000	-	chr15	32950307	33351518	DPH6	422587
chr16	1939505	2038681	N_region_windowed	100000	-	chr16	1982016	1984785	RPS2	0
chr16	1939505	2038681	N_region_windowed	100000	-	chr16	1982292	1982425	SNORA10	0
chr16	1939505	2038681	N_region_windowed	100000	-	chr16	1982931	1983065	SNORA64	0
chr16	1939505	2038681	N_region_windowed	100000	-	chr16	2017607	2029776	ZNF598	0
chr16	17848070	17855570	N_region	7500	-	chr16	18100392	18109166	LOC105371108	244823
chr17	24672567	24680067	N_region_windowed	7500	+	chr17	23294639	23295244	LOC100419890	1377324
chr17	42725555	42740061	N_region	7500	-	chr17	42481779	42496639	KRT42P	228917
chr18	17894313	17901813	N_region_windowed	7500	-	chr18	15474787	15491495	LOC644669	2402819
chr18	18406267	18464955	N_region_windowed	57024	+	chr18	21131975	21296884	ROCK1	2667021
chr19	25566558	25566559	N_region	7500	+	chr19	24312384	24313639	HAVCR1P1	1252920
chr21	2710254	2801497	N_region_windowed	100000	-	chr21	2774749	2775296	LOC100287188	0
chr21	2710254	2801497	N_region_windowed	100000	-	chr21	2778464	2781574	MGC70870	0
chr22	6139473	6231288	N_region_windowed	100000	-	chr22	6180197	6180293	MIR1324	0
chr4	9963798	9965298	N_region	1500	-	chr4	9770808	10039839	SLC2A9	0
chr4	50133292	50137278	N_region_windowed	7500	-	chr4	49436061	49453521	LOC107987323	679772
chr6	58589268	58596769	N_region_windowed	7500	+	chr6	57800229	58017709	LOC101927293	571560
chrX	114354481	114392603	N_region	40080	-	chrX	114326891	114378688	DANT2	0
chrY	8954243	9054228	N_region_windowed	100000	+	chrY	8955691	8961310	FAM197Y3	0
chrY	8954243	9054228	N_region_windowed	100000	+	chrY	8963922	8966719	TSPY8	0
chrY	8954243	9054228	N_region_windowed	100000	+	chrY	8976036	8981648	FAM197Y3	0
chrY	8954243	9054228	N_region_windowed	100000	+	chrY	8984261	8987058	TSPY8	0
chrY	8954243	9054228	N_region_windowed	100000	+	chrY	8996325	9002004	FAM197Y2	0
chrY	8954243	9054228	N_region_windowed	100000	+	chrY	9004528	9007330	TSPY2	0
chrY	8954243	9054228	N_region_windowed	100000	+	chrY	9016617	9022310	FAM197Y2	0
chrY	8954243	9054228	N_region_windowed	100000	+	chrY	9024833	9027648	TSPY4	0
chrY	8954243	9054228	N_region_windowed	100000	+	chrY	9036952	9042553	FAM197Y8	0
chrY	8954243	9054228	N_region_windowed	100000	+	chrY	9045165	9047980	TSPY9	0
