#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3131	248384169	234895
syndip	chr2	0	3399	242693212	226082
syndip	chr3	0	2321	200979831	220164
syndip	chr4	0	3263	193572966	215925
syndip	chr5	0	2439	182043949	197919
syndip	chr6	0	33070	172122209	185122
syndip	chr7	0	3478	160565390	183199
syndip	chrX	0	114120026	114207560	134
syndip	chr9	0	4806	150614447	151592
syndip	chr8	0	2292	146244879	175301
syndip	chr11	0	301	135088110	172118
syndip	chr10	0	2227	134754547	151660
syndip	chr12	0	2990	133324401	140866
syndip	chr13	0	9283	113563195	116710
syndip	chr14	0	1310125	101160119	127819
syndip	chr15	0	237139	99741836	101047
syndip	chr16	0	2303	96328415	113267
syndip	chr17	0	52946	84269633	95693
syndip	chr18	0	163704	80539437	88490
syndip	chr20	0	28449	66207580	97504
syndip	chr19	0	2779	61704397	91109
syndip	chr22	0	1893123	51322196	97829
syndip	chr21	0	145	45086155	44373
