contig	color
contig-0000001	#567DE9	chr16
contig-0000002	#567DE9	chr16
contig-0000003	#5699E9	chr9
contig-0000004	#5699E9	chr9
contig-0000005	#5699E9	chr9
contig-0000006	#5699E9	chr9
contig-0000007	#5699E9	chr9
contig-0000008	#1A7FBA	chr12
contig-0000009	#E6B847	chr15
contig-0000010	#1A7FBA	chr12
contig-0000011	#1A7FBA	chr12
contig-0000012	#E6C47F	chr22
contig-0000013	#E6C47F	chr22
contig-0000014	#E6C47F	chr22
contig-0000015	#E6C47F	chr22
contig-0000016	#CCA0BF	chr18
contig-0000017	#CCA0BF	chr18
contig-0000018	#CCA0BF	chr18
contig-0000019	#1A7FBA	chr12
contig-0000020	#CC8DB3	chr11
contig-0000021	#CC8DB3	chr11
contig-0000022	#CC8DB3	chr11
contig-0000023	#CC8DB3	chr11
contig-0000024	#CC8DB3	chr11
contig-0000025	#D55E00	chr6
contig-0000026	#D57533	chr13
contig-0000027	#00B28C	chr17
contig-0000028	#00B28C	chr17
contig-0000029	#00B28C	chr17
contig-0000030	#737373	chr14
contig-0000031	#737373	chr14
contig-0000032	#737373	chr14
contig-0000033	#737373	chr14
contig-0000034	#737373	chr14
contig-0000035	#737373	chr14
contig-0000036	#CC79A7	chr4
contig-0000037	#567DE9	chr16
contig-0000038	#567DE9	chr16
contig-0000039	#567DE9	chr16
contig-0000040	#567DE9	chr16
contig-0000041	#567DE9	chr16
contig-0000042	#009E73	chr3
contig-0000043	#009E73	chr3
contig-0000044	#009E73	chr3
contig-0000045	#00B28C	chr17
contig-0000046	#00B28C	chr17
contig-0000047	#E6B847	chr15
contig-0000048	#00B28C	chr17
contig-0000049	#00B28C	chr17
contig-0000050	#00B28C	chr17
contig-0000051	#00B28C	chr17
contig-0000052	#00B28C	chr17
contig-0000053	#00B28C	chr17
contig-0000054	#D58C66	chr20
contig-0000055	#D58C66	chr20
contig-0000056	#D58C66	chr20
contig-0000057	#CC8DB3	chr11
contig-0000058	#666666	chr7
contig-0000059	#CC8DB3	chr11
contig-0000060	#CC8DB3	chr11
contig-0000061	#D55E00	chr6
contig-0000062	#D55E00	chr6
contig-0000063	#D55E00	chr6
contig-0000064	#D55E00	chr6
contig-0000065	#1A7FBA	chr12
contig-0000066	#1A7FBA	chr12
contig-0000067	#1A7FBA	chr12
contig-0000068	#5699E9	chr9
contig-0000069	#666666	chr7
contig-0000070	#5699E9	chr9
contig-0000071	#5699E9	chr9
contig-0000072	#5699E9	chr9
contig-0000073	#5699E9	chr9
contig-0000074	#E69F00	chr1
contig-0000075	#E69F00	chr1
contig-0000076	#E69F00	chr1
contig-0000077	#0072B2	chr5
contig-0000078	#0072B2	chr5
contig-0000079	#0072B2	chr5
contig-0000080	#666666	chr7
contig-0000081	#CC79A7	chr4
contig-0000082	#CC79A7	chr4
contig-0000083	#CC79A7	chr4
contig-0000084	#CC79A7	chr4
contig-0000085	#CC8DB3	chr11
contig-0000086	#808080	chr21
contig-0000087	#0072B2	chr5
contig-0000088	#0072B2	chr5
contig-0000089	#0072B2	chr5
contig-0000090	#0072B2	chr5
contig-0000091	#0072B2	chr5
contig-0000092	#D57533	chr13
contig-0000093	#808080	chr21
contig-0000094	#9467BD	chrX
contig-0000095	#CC79A7	chr4
contig-0000096	#CC79A7	chr4
contig-0000097	#CC79A7	chr4
contig-0000098	#5699E9	chr9
contig-0000099	#E69F00	chr1
contig-0000100	#5699E9	chr9
contig-0000101	#5699E9	chr9
contig-0000102	#D55E00	chr6
contig-0000103	#8C564B	chrY
contig-0000104	#D57533	chr13
contig-0000105	#8C564B	chrY
contig-0000106	#5699E9	chr9
contig-0000107	#CC79A7	chr4
contig-0000108	#E6C47F	chr22
contig-0000109	#5699E9	chr9
contig-0000110	#E6B847	chr15
contig-0000111	#E6B847	chr15
contig-0000112	#5699E9	chr9
contig-0000113	#D57533	chr13
contig-0000114	#5699E9	chr9
contig-0000115	#808080	chr21
contig-0000116	#E6B847	chr15
contig-0000117	#808080	chr21
contig-0000118	#5699E9	chr9
contig-0000119	#D55E00	chr6
contig-0000120	#D55E00	chr6
contig-0000121	#D55E00	chr6
contig-0000122	#00B28C	chr17
contig-0000123	#00B28C	chr17
contig-0000124	#00B28C	chr17
contig-0000125	#737373	chr14
contig-0000126	#E6B847	chr15
contig-0000127	#808080	chr21
contig-0000128	#D57533	chr13
