#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3211	248384152	256397
syndip	chr2	0	3155	242694066	242002
syndip	chr3	0	2460	201100844	208604
syndip	chr4	0	3022	193490816	226111
syndip	chr5	0	1855	182044304	187446
syndip	chr6	0	8047	172124006	211218
syndip	chr7	0	3200	160565562	190654
syndip	chrX	0	5347	154256551	129780
syndip	chr9	0	3545	150614219	158323
syndip	chr8	0	2183	146242688	152793
syndip	chr11	0	1837	135125485	191323
syndip	chr10	0	3727	134723423	152651
syndip	chr12	0	10156	133322669	141072
syndip	chr13	0	4933280	113562614	111230
syndip	chr14	0	2510	101159346	145664
syndip	chr15	0	6091	99749379	164636
syndip	chr16	0	3666	96327872	132372
syndip	chr17	0	2260	84237411	94855
syndip	chr18	0	163949	80539281	95323
syndip	chr20	0	2374	66206086	85828
syndip	chr19	0	2210	61703957	87894
syndip	chr22	0	4721	51322042	118009
syndip	chr21	0	3048	45086599	87536
