C	J  inter-chromosomal misjoin
C	j  inter-chromosomal misjoin with both breakpoints ending in centromeres
C	G  long gap on the reference genome
C	g  long gap on the reference genome with both breakpoints ending in centromeres
C	M  closed inversion
C
G	haplotype2-0000036	159253099	91759540	96238588	-	chr7	160567428	64581299	69069573	4467102	4495634	60
G	haplotype2-0000036	159253099	100949724	102889743	-	chr7	160567428	56366188	58238127	1858383	1949909	60
M	haplotype2-0000039	244803664	121285808	122329886	+	chr1	248387328	120589834	121633696	1042132	1044996	60
M	haplotype2-0000039	244803664	128427126	129504108	-	chr1	248387328	127660655	128735344	1061378	1089646	60
M	haplotype2-0000039	244803664	137764566	138787523	+	chr1	248387328	142151612	143148558	996069	1023414	60
G	haplotype2-0000045	192036842	46020411	49418113	+	chr4	193574945	45843699	49264638	3386016	3429075	60
G	haplotype2-0000045	192036842	53874576	58541205	+	chr4	193574945	55520289	60181367	4654885	4668874	60
G	haplotype2-0000048	92814404	27587592	31888573	+	chr16	96330374	27417817	31721851	4294999	4307364	60
G	haplotype2-0000048	92814404	36123689	37872874	+	chr16	96330374	37794989	39557879	1742599	1769035	60
G	haplotype2-0000048	92814404	36123689	37872874	+	chr16	96330374	37794989	39557879	1742599	1769035	60
G	haplotype2-0000048	92814404	48696296	51019614	+	chr16	96330374	52099387	54414630	2314148	2323920	60
G	haplotype2-0000051	94710759	2994666	6068417	+	chr15	99753195	13526627	16699294	2926947	3315899	60
G	haplotype2-0000051	94710759	10092461	11383358	+	chr15	99753195	18012565	19285444	1255923	1304521	60
M	haplotype2-0000051	94710759	10092461	11383358	+	chr15	99753195	18012565	19285444	1255923	1304521	60
M	haplotype2-0000051	94710759	13080937	14603521	-	chr15	99753195	17897456	19406374	1491412	1536343	60
M	haplotype2-0000051	94710759	14495507	15652971	+	chr15	99753195	19559893	20716714	1153068	1159053	60
G	haplotype2-0000053	138572616	71654003	74274498	-	chr9	150617247	76462933	79098724	2614702	2640523	60
G	haplotype2-0000053	138572616	94236066	96105750	-	chr9	150617247	42391682	44266330	1854450	1885155	60
G	haplotype2-0000054	136551405	78083807	80592112	-	chr11	135127769	54450846	56975119	2490298	2538172	60
G	haplotype2-0000054	136551405	86734920	91776998	-	chr11	135127769	44819040	49873023	5032150	5059661	60
J	haplotype2-0000055	106120458	95001493	96083094	-	chr13	113566686	17506213	18583345	1074841	1082345	60
J	haplotype2-0000055	106120458	99539221	100886372	-	chr21	45090682	8047117	9402033	1270405	1427705	60
M	haplotype2-0000059	145924344	129973977	133551704	-	chr8	146259331	12877821	16455745	3568863	3580808	60
M	haplotype2-0000059	145924344	137217198	138276001	+	chr8	146259331	10456845	11515002	1054886	1060063	60
M	haplotype2-0000059	145924344	138270424	139490062	-	chr8	146259331	6259939	7546133	1205772	1296508	60
# inter-chromosomal misjoins: 1,0
# intra-chromosomal gaps: 7,0
# candidate inversions in the middle: 3,0
# candidate inversions at contig ends: 0,0
