#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3139	248384152	220951
syndip	chr2	0	3155	242694019	218475
syndip	chr3	0	2645	201088028	190355
syndip	chr4	0	50508	193465551	199896
syndip	chr5	0	2246	182043943	172459
syndip	chr6	0	2950	172122267	203272
syndip	chr7	0	3200	160560997	184279
syndip	chrX	0	46842	154255808	136202
syndip	chr9	0	3587	150614827	132541
syndip	chr8	0	2050	146253953	147733
syndip	chr11	0	2529	135125102	187632
syndip	chr10	0	2536	134671150	141874
syndip	chr12	0	3606	133322148	129494
syndip	chr13	0	2742	113514351	106515
syndip	chr14	0	644098	101160198	141678
syndip	chr15	0	6091	99750781	135756
syndip	chr16	0	7560	96324035	112415
syndip	chr17	0	7797	84239795	96379
syndip	chr18	0	224713	80539439	88341
syndip	chr20	0	77818	66206402	75803
syndip	chr19	0	1956	61703597	87577
syndip	chr22	0	7045	51322042	112039
syndip	chr21	0	15830	45086332	58903
