chrom	gap_start	gap_end	gap_type	gap_size	strand	nearest_gene_chrom	nearest_gene_start	nearest_gene_end	nearest_gene_name	distance
chr1	36143230	36150729	N_region_windowed	7500	+	chr1	36070512	36168203	THRAP3	0
chr1	120727880	120729380	N_region_windowed	1500	+	chr1	120729698	120736983	LOC105378944	319
chr1	143536593	143544093	N_region_windowed	7500	+	chr1	143541357	143549494	LOC124904581	0
chr1	143536593	143544093	N_region_windowed	7500	+	chr1	143542597	143542759	LOC124904624	0
chr1	154969879	154977368	N_region_windowed	7500	+	chr1	154883980	154998299	GON4L	0
chr1	227861800	227869297	N_region_windowed	7500	+	chr1	227863077	227863198	RNA5S1	0
chr1	227861800	227869297	N_region_windowed	7500	+	chr1	227865346	227865437	RNA5SP199	0
chr12	34961754	35065095	N_region_windowed	100000	-	chr12	34108001	34127897	AK6P1	833858
chr14	1353519	1407521	N_region_windowed	100000	-	chr14	1529327	1573496	LOC101930100	121807
chr14	3403865	3502971	N_region_windowed	100000	-	chr14	3416534	3417663	CTBP2P1	0
chr14	3403865	3502971	N_region_windowed	100000	-	chr14	3492102	3499594	LOC729369	0
chr14	3403865	3502971	N_region_windowed	100000	-	chr14	3500544	3507528	LOC105379557	0
chr14	13313197	13322410	N_region	9555	-	chr14	13311986	13313714	ACTBP10	0
chr15	5277886	5379232	N_region_windowed	100000	-	chr15	5295918	5297047	CTBP2P1	0
chr15	5277886	5379232	N_region_windowed	100000	-	chr15	5371607	5379092	LOC729369	0
chr15	15680859	15688357	N_region_windowed	7500	+	chr15	15095266	15095422	RNA5-8SN2	585438
chr16	35817490	35852838	N_region_windowed	61454	-	chr16	35841971	35844892	BCLAF1P2	0
chr17	26203703	26303536	N_region_windowed	100000	+	chr17	27922280	27922871	LOC100422478	1618745
chr19	8848789	8848790	N_region	7500	+	chr19	9332684	9378827	OR7E24	483895
chr19	38979863	38979864	N_region	7500	+	chr19	38986222	38987547	LOC100134317	6359
chr2	110886426	110999424	N_region_windowed	100000	-	chr2	110868353	110895288	LIMS3	0
chr2	110886426	110999424	N_region_windowed	100000	-	chr2	110916937	110935268	LOC102724875	0
chr2	110886426	110999424	N_region_windowed	100000	-	chr2	110936276	111033776	RGPD5	0
chr2	242385850	242391107	N_region_windowed	7500	-	chr2	242383552	242589193	LINC01237	0
chr20	1532301	1625597	N_region_windowed	100000	-	chr20	1924357	1970769	SIRPA	298761
chr22	5930892	6043577	N_region_windowed	100000	+	chr22	5800957	5862417	MAFIP	68476
