chrom	gap_start	gap_end	gap_type	gap_size	strand	nearest_gene_chrom	nearest_gene_start	nearest_gene_end	nearest_gene_name	distance
chr1	227845433	227845434	N_region	1500	+	chr1	227845165	227845286	RNA5S2	148
chr1	227906842	227914344	N_region_windowed	7500	+	chr1	227907833	227907954	RNA5S1	0
chr1	227906842	227914344	N_region_windowed	7500	+	chr1	227910072	227910193	RNA5S3	0
chr1	227906842	227914344	N_region_windowed	7500	+	chr1	227912312	227912433	RNA5S1	0
chr1	227918596	227918597	N_region	7500	+	chr1	227919032	227919153	RNA5S1	436
chr10	112240132	112247632	N_region_windowed	7500	+	chr10	110551782	110571137	XIAPP1	1668996
chr11	62328214	62328215	N_region	7500	+	chr11	62326728	62390861	ASRGL1	0
chr14	1310378	1411974	N_region_windowed	100000	-	chr14	1529327	1573496	LOC101930100	117354
chr14	1751733	1829756	N_region_windowed	100000	-	chr14	1768469	1769016	LOC100287188	0
chr14	1751733	1829756	N_region_windowed	100000	-	chr14	1772182	1775293	MGC70870	0
chr14	1751733	1829756	N_region_windowed	100000	-	chr14	1816120	1822757	CH507-145C22.1	0
chr14	1751733	1829756	N_region_windowed	100000	-	chr14	1822934	1858465	LOC124905312	0
chr14	2688494	2789768	N_region_windowed	100000	-	chr14	2679070	2692425	RNA45S2	0
chr14	2688494	2789768	N_region_windowed	100000	-	chr14	2686973	2692058	RNA28S2	0
chr14	2688494	2789768	N_region_windowed	100000	-	chr14	2723342	2736697	RNA45S2	0
chr14	2688494	2789768	N_region_windowed	100000	-	chr14	2726980	2728849	RNA18S2	0
chr14	2688494	2789768	N_region_windowed	100000	-	chr14	2729920	2730077	RNA5-8S2	0
chr14	2688494	2789768	N_region_windowed	100000	-	chr14	2731245	2736330	RNA28S2	0
chr14	2688494	2789768	N_region_windowed	100000	-	chr14	2767484	2780864	RNA45S2	0
chr14	2688494	2789768	N_region_windowed	100000	-	chr14	2771140	2773009	RNA18S2	0
chr14	2688494	2789768	N_region_windowed	100000	-	chr14	2774084	2774241	RNA5-8S2	0
chr14	2688494	2789768	N_region_windowed	100000	-	chr14	2775409	2780497	RNA28S2	0
chr14	3402888	3502971	N_region_windowed	100000	-	chr14	3416534	3417663	CTBP2P1	0
chr14	3402888	3502971	N_region_windowed	100000	-	chr14	3492102	3499594	LOC729369	0
chr14	3402888	3502971	N_region_windowed	100000	-	chr14	3500544	3507528	LOC105379557	0
chr16	46720439	46771015	N_region_windowed	100000	-	chr16	52266122	52365928	ANKRD26P1	5495108
chr17	16682621	16716154	N_region_windowed	33262	-	chr17	16689601	16707200	USP32P1	0
chr17	16682621	16716154	N_region_windowed	33262	-	chr17	16689843	16690948	SRP68P1	0
chr17	16682621	16716154	N_region_windowed	33262	-	chr17	16691583	16693206	FAM106C	0
chr17	16682621	16716154	N_region_windowed	33262	-	chr17	16715148	16715359	NOS2P4	0
chr17	42305742	42410725	N_region_windowed	100000	-	chr17	42291708	42296538	KRT38	9205
chr18	40442028	40443945	N_region	7500	-	chr18	39402580	39947279	MIR924HG	494750
chr18	43809884	43813339	N_region	7500	-	chr18	44001585	44123938	LOC105372088	188247
chr19	54067205	54067306	N_region_windowed	7500	-	chr19	53859267	53860536	GPR32	206670
chr2	27584662	27592160	N_region_windowed	7500	+	chr2	27668722	27672097	CCDC121	76563
chr2	94857504	94865009	N_region_windowed	7500	+	chr2	94923117	94925499	LOC124905154	58109
chr22	3597631	3699001	N_region_windowed	100000	-	chr22	3710701	3773247	LOC105379566	11701
chr22	5584730	5686655	N_region_windowed	100000	+	chr22	5579085	5592433	RNA45S5	0
chr22	5584730	5686655	N_region_windowed	100000	+	chr22	5585682	5585839	RNA5-8S5	0
chr22	5584730	5686655	N_region_windowed	100000	+	chr22	5587007	5592072	RNA28S5	0
chr22	5584730	5686655	N_region_windowed	100000	+	chr22	5623698	5637016	RNA45S5	0
chr22	5584730	5686655	N_region_windowed	100000	+	chr22	5627358	5629227	RNA18S5	0
chr22	5584730	5686655	N_region_windowed	100000	+	chr22	5630293	5630450	RNA5-8S5	0
chr22	5584730	5686655	N_region_windowed	100000	+	chr22	5631618	5636657	RNA28S5	0
chr22	5584730	5686655	N_region_windowed	100000	+	chr22	5669000	5682337	RNA45S5	0
chr22	5584730	5686655	N_region_windowed	100000	+	chr22	5672658	5674527	RNA18S5	0
chr22	5584730	5686655	N_region_windowed	100000	+	chr22	5675594	5675751	RNA5-8S5	0
chr22	5584730	5686655	N_region_windowed	100000	+	chr22	5676919	5681978	RNA28S5	0
chr22	5610171	5709514	N_region_windowed	100000	+	chr22	5623698	5637016	RNA45S5	0
chr22	5610171	5709514	N_region_windowed	100000	+	chr22	5627358	5629227	RNA18S5	0
chr22	5610171	5709514	N_region_windowed	100000	+	chr22	5630293	5630450	RNA5-8S5	0
