chrom	end_start	end_end	contig_name	contig_length	haplotype	end_side	nearest_gene_chrom	nearest_gene_start	nearest_gene_end	nearest_gene_name	distance
chr1	26395387	26395388	unassigned-0000901	78381	unassigned	left_end	chr1	26357068	26358216	DPPA2P2	37172
chr1	26456033	26456034	unassigned-0000902	72847	unassigned	left_end	chr1	26357068	26358216	DPPA2P2	97818
chr1	26460593	26460594	unassigned-0000910	60809	unassigned	left_end	chr1	26357068	26358216	DPPA2P2	102378
chr1	26473758	26473759	unassigned-0000901	78381	unassigned	right_end	chr1	26357068	26358216	DPPA2P2	115543
chr1	26521369	26521370	unassigned-0000910	60809	unassigned	right_end	chr1	26357068	26358216	DPPA2P2	163154
chr1	26528846	26528847	unassigned-0000902	72847	unassigned	right_end	chr1	26357068	26358216	DPPA2P2	170631
chr1	35273288	35273289	unassigned-0000453	79324	unassigned	left_end	chr1	35131763	35285115	ZMYM4	0
chr1	35352588	35352589	unassigned-0000453	79324	unassigned	right_end	chr1	35131763	35285115	ZMYM4	67474
chr1	49546185	49546186	unassigned-0000883	133139	unassigned	left_end	chr1	48401273	49902907	AGBL4	0
chr1	49679325	49679326	unassigned-0000883	133139	unassigned	right_end	chr1	48401273	49902907	AGBL4	0
chr1	108618560	108618561	unassigned-0000634	63356	unassigned	left_end	chr1	108454878	108505300	NBPF6	113261
chr1	108681922	108681923	unassigned-0000634	63356	unassigned	right_end	chr1	108454878	108505300	NBPF6	176623
chr1	126950371	126950372	haplotype2-0000180	319399	haplotype2	left_end	chr1	127720229	127766430	LINC01666	769858
chr1	126952576	126952577	haplotype2-0000182	466336	haplotype2	left_end	chr1	127720229	127766430	LINC01666	767653
chr1	126960117	126960118	haplotype2-0000120	184024	haplotype2	left_end	chr1	127720229	127766430	LINC01666	760112
chr1	126962173	126962174	haplotype2-0000118	227671	haplotype2	left_end	chr1	127720229	127766430	LINC01666	758056
chr1	126962173	126962174	haplotype2-0000119	188652	haplotype2	left_end	chr1	127720229	127766430	LINC01666	758056
chr1	126983799	126983800	haplotype2-0000120	184024	haplotype2	right_end	chr1	127720229	127766430	LINC01666	736430
chr1	127116230	127116231	haplotype2-0000118	227671	haplotype2	right_end	chr1	127720229	127766430	LINC01666	603999
chr1	127237837	127237838	haplotype2-0000119	188652	haplotype2	right_end	chr1	127720229	127766430	LINC01666	482392
chr1	140511967	140511968	haplotype2-0000182	466336	haplotype2	right_end	chr1	142264290	142273731	LOC101929814	1752323
chr1	140566185	140566186	haplotype2-0000181	49665	haplotype2	left_end	chr1	142264290	142273731	LOC101929814	1698105
chr1	140576840	140576841	haplotype2-0000180	319399	haplotype2	right_end	chr1	142264290	142273731	LOC101929814	1687450
chr1	140576840	140576841	haplotype2-0000181	49665	haplotype2	right_end	chr1	142264290	142273731	LOC101929814	1687450
chr1	141248558	141248559	haplotype2-0000185	361377	haplotype2	left_end	chr1	142264290	142273731	LOC101929814	1015732
chr1	141262585	141262586	haplotype2-0000185	361377	haplotype2	right_end	chr1	142264290	142273731	LOC101929814	1001705
chr1	184505258	184505259	unassigned-0000936	85616	unassigned	left_end	chr1	184513969	184648685	SWT1	8711
chr1	184590872	184590873	unassigned-0000936	85616	unassigned	right_end	chr1	184513969	184648685	SWT1	0
chr1	227713238	227713239	unassigned-0000899	128359	unassigned	left_end	chr1	227746777	227746898	RNA5S1	33539
chr1	227841444	227841445	unassigned-0000899	128359	unassigned	right_end	chr1	227840695	227840816	RNA5S2	629
chr1	227927120	227927121	haplotype1-0000030	138249	haplotype1	left_end	chr1	227927994	227928115	RNA5S1	874
chr1	227959611	227959612	unassigned-0000380	76582	unassigned	left_end	chr1	227959343	227959464	RNA5S1	148
chr1	227973232	227973233	unassigned-0000810	62342	unassigned	left_end	chr1	227972749	227972870	RNA5S2	363
chr1	228035498	228035499	unassigned-0000810	62342	unassigned	right_end	chr1	228022875	228124580	RHOU	0
chr1	228038173	228038174	unassigned-0000380	76582	unassigned	right_end	chr1	228022875	228124580	RHOU	0
chr1	228069256	228069257	haplotype1-0000030	138249	haplotype1	right_end	chr1	228022875	228124580	RHOU	0
chr1	237364034	237364035	unassigned-0000996	165381	unassigned	left_end	chr1	237273482	237339549	LOC100130331	24486
chr1	237405685	237405686	haplotype2-0000200	94882	haplotype2	left_end	chr1	237273482	237339549	LOC100130331	66137
chr1	237500542	237500543	haplotype2-0000200	94882	haplotype2	right_end	chr1	237273482	237339549	LOC100130331	160994
chr1	237529433	237529434	unassigned-0000996	165381	unassigned	right_end	chr1	237273482	237339549	LOC100130331	189885
chr10	38327221	38327222	haplotype2-0000159	141834	haplotype2	left_end	chr10	38354028	38377147	PLD5P1	26807
chr10	38331866	38331867	unassigned-0000578	72724	unassigned	left_end	chr10	38354028	38377147	PLD5P1	22162
chr10	38404591	38404592	unassigned-0000578	72724	unassigned	right_end	chr10	38400376	38422500	HSD17B7P2	0
chr10	38469059	38469060	haplotype2-0000159	141834	haplotype2	right_end	chr10	38447181	38479357	LOC101929540	0
chr10	40523654	40523655	haplotype2-0000080	970393	haplotype2	left_end	chr10	38822293	38822449	MTND1P17	1701206
