contig_name	contig_length_bp	haplotype	primary_chrom	aligned_bp	satellite_bp	satellite_fraction	classification
unassigned-0002188	28650	unassigned	chr22	28656	0	0	non_satellite
unassigned-0002106	33491	unassigned	chr2	33402	0	0	non_satellite
unassigned-0002147	113886	unassigned	chr17	113928	0	0	non_satellite
unassigned-0002107	47726	unassigned	chr22	47728	47728	1	satellite
unassigned-0002108	46215	unassigned	chr11	46220	0	0	non_satellite
unassigned-0002109	31980	unassigned	chr11	31959	0	0	non_satellite
unassigned-0000840	104098	unassigned	chr21	17126	17126	1	satellite
unassigned-0000881	54009	unassigned	chr16	58569	0	0	non_satellite
unassigned-0000841	72814	unassigned	chr1	72819	72819	1	satellite
unassigned-0000842	82016	unassigned	chr1	81966	81966	1	satellite
unassigned-0000843	145726	unassigned	chr2	145720	145720	1	satellite
unassigned-0000884	65263	unassigned	chr16	65259	0	0	non_satellite
unassigned-0000844	21025	unassigned	chr2	21024	21024	1	satellite
unassigned-0000885	216211	unassigned	chr15	219389	0	0	non_satellite
unassigned-0000886	108073	unassigned	chr9	108080	0	0	non_satellite
unassigned-0000845	62652	unassigned	chr15	62664	0	0	non_satellite
unassigned-0003180	28144	unassigned	chr7	28152	0	0	non_satellite
unassigned-0000846	20074	unassigned	chr7	20083	0	0	non_satellite
unassigned-0003181	96672	unassigned	chr15	96709	96709	1	satellite
unassigned-0000889	42238	unassigned	chr2	42242	0	0	non_satellite
unassigned-0000848	55406	unassigned	chr2	55415	55415	1	satellite
unassigned-0003101	149422	unassigned	chr1	149106	0	0	non_satellite
unassigned-0003184	109100	unassigned	chr3	78793	0	0	non_satellite
unassigned-0003102	119792	unassigned	chr1	119679	0	0	non_satellite
unassigned-0003144	45322	unassigned	chr22	45334	45334	1	satellite
unassigned-0003103	82115	unassigned	chr1	82022	0	0	non_satellite
unassigned-0003186	37450	unassigned	chr17	37395	0	0	non_satellite
unassigned-0003145	20443	unassigned	chr16	20390	0	0	non_satellite
unassigned-0003146	85954	unassigned	chr5	85943	0	0	non_satellite
unassigned-0003106	34150	unassigned	chr5	34120	0	0	non_satellite
unassigned-0003188	60036	unassigned	chr16	59691	0	0	non_satellite
