chrom	end_start	end_end	contig_name	contig_length	haplotype	end_side	nearest_gene_chrom	nearest_gene_start	nearest_gene_end	nearest_gene_name	distance
chr1	3221807	3221808	unassigned-0001489	32083	unassigned	left_end	chr1	3162388	3247802	TP73	0
chr1	3254028	3254029	unassigned-0001489	32083	unassigned	right_end	chr1	3162388	3247802	TP73	6227
chr1	6897223	6897224	unassigned-0001134	158595	unassigned	left_end	chr1	6150531	6161259	THAP3	735965
chr1	7055836	7055837	unassigned-0001134	158595	unassigned	right_end	chr1	7885245	8351098	RERE	829409
chr1	10773475	10773476	unassigned-0000964	90951	unassigned	left_end	chr1	10553913	10571805	TARDBP	201671
chr1	10864451	10864452	unassigned-0000964	90951	unassigned	right_end	chr1	11022096	11081879	DISP3	157645
chr1	13664813	13664814	unassigned-0002283	147765	unassigned	left_end	chr1	12996938	12997920	BRWD1P1	666894
chr1	13670744	13670745	haplotype2-0000685	90496	haplotype2	left_end	chr1	12996938	12997920	BRWD1P1	672825
chr1	13761196	13761197	haplotype2-0000685	90496	haplotype2	right_end	chr1	12996938	12997920	BRWD1P1	763277
chr1	13812531	13812532	unassigned-0002283	147765	unassigned	right_end	chr1	12996938	12997920	BRWD1P1	814612
chr1	16022429	16022430	unassigned-0001332	50537	unassigned	left_end	chr1	15993586	15997467	LOC105376832	24963
chr1	16072892	16072893	unassigned-0001332	50537	unassigned	right_end	chr1	16092529	16106917	LOC124900386	19637
chr1	16341083	16341084	haplotype1-0000106	43792	haplotype1	left_end	chr1	16319772	16334879	LOC124904557	6205
chr1	16384835	16384836	haplotype1-0000106	43792	haplotype1	right_end	chr1	16382567	16385704	LOC124903859	0
chr1	16710849	16710850	unassigned-0001858	43150	unassigned	left_end	chr1	16706419	16706583	RNU1-2	4267
chr1	16753954	16753955	unassigned-0001858	43150	unassigned	right_end	chr1	16724528	16783391	CROCC	0
chr1	18708667	18708668	unassigned-0001957	44191	unassigned	left_end	chr1	19089503	19097648	AKR7L	380836
chr1	18752023	18752024	unassigned-0001957	44191	unassigned	right_end	chr1	19089503	19097648	AKR7L	337480
chr1	20901748	20901749	unassigned-0001150	51421	unassigned	left_end	chr1	21238253	21238788	PDE4DIPP10	336505
chr1	20921427	20921428	haplotype2-0000592	40090	haplotype2	left_end	chr1	21238253	21238788	PDE4DIPP10	316826
chr1	20953163	20953164	unassigned-0001150	51421	unassigned	right_end	chr1	21238253	21238788	PDE4DIPP10	285090
chr1	20961418	20961419	haplotype2-0000592	40090	haplotype2	right_end	chr1	21238253	21238788	PDE4DIPP10	276835
chr1	31194298	31194299	unassigned-0003037	52946	unassigned	left_end	chr1	31764400	31796321	PTP4A2	570102
chr1	31197139	31197140	unassigned-0003036	56883	unassigned	left_end	chr1	31764400	31796321	PTP4A2	567261
chr1	31247306	31247307	unassigned-0003037	52946	unassigned	right_end	chr1	31764400	31796321	PTP4A2	517094
chr1	31254083	31254084	unassigned-0003036	56883	unassigned	right_end	chr1	31764400	31796321	PTP4A2	510317
chr1	32712637	32712638	unassigned-0001241	51577	unassigned	left_end	chr1	32539692	32563413	SYNC	149225
chr1	32732707	32732708	unassigned-0001242	25873	unassigned	left_end	chr1	32539692	32563413	SYNC	169295
chr1	32758554	32758555	unassigned-0001242	25873	unassigned	right_end	chr1	32539692	32563413	SYNC	195142
chr1	32764015	32764016	unassigned-0001241	51577	unassigned	right_end	chr1	32539692	32563413	SYNC	200603
chr1	36452816	36452817	haplotype1-0000207	97715	haplotype1	left_end	chr1	36070512	36168203	THRAP3	284614
