Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Maternal	Paternal	1.0	116.93063000000001	0	184	0	3	0	184	0	197	0
chr10	Maternal	Paternal	1.0	82.62071999999999	0	168	0	3	0	168	0	168	0
chr11	Maternal	Paternal	1.0	509.93958	0	706	0	6	0	706	0	720	0
chr12	Paternal	Maternal	1.0	90.72498	0	216	0	3	0	216	0	244	0
chr13	Paternal	Maternal	1.0	187.3899	0	259	0	3	0	259	0	326	0
chr14	Paternal	Maternal	1.0	280.04401	0	470	0	4	0	470	0	511	0
chr15	Maternal	Paternal	1.0	497.04690000000005	0	993	0	33	0	993	0	1534	0
chr16	Paternal	Maternal	1.0	161.1584	0	328	0	6	0	328	0	543	0
chr17	Maternal	Paternal	1.0	32.83788	0	102	0	1	0	102	0	139	0
chr18	Maternal	Paternal	1.0	148.15046999999998	0	195	0	3	0	195	0	213	0
chr19	Maternal	Paternal	1.0	466.36789999999996	0	649	0	8	0	649	0	701	0
chr2	Maternal	Paternal	1.0	386.49386	0	638	0	6	0	638	0	672	0
chr20	Paternal	Maternal	1.0	955.2030599999999	0	1236	0	9	0	1236	0	1360	0
chr21	Maternal	Paternal	1.0	54.66346	0	111	0	2	0	111	0	113	0
chr22	Maternal	Paternal	1.0	56.014	0	70	0	1	0	70	0	82	0
chr3	Maternal	Paternal	1.0	24.47794	0	83	0	2	0	83	0	84	0
chr4	Paternal	Maternal	0.93087	133.58051000000003	9.9205	293	50	5	1	293	50	297	51
chr5	Maternal	Paternal	0.67908	74.40158	35.161390000000004	118	121	2	1	118	121	122	121
chr6	Maternal	Paternal	1.0	308.57176	0	460	0	5	0	460	0	493	0
chr7	Maternal	Paternal	1.0	597.9469600000001	0	801	0	8	0	801	0	843	0
chr8	Paternal	Maternal	1.0	326.70474	0	551	0	9	0	551	0	627	0
chr9	Paternal	Maternal	0.90334	121.61757	13.01322	229	44	3	2	229	44	239	44
