Chromosome	Start	End	Methylated_allele	Name	Reference	All_CpGs_At_iDMR_CouldBeExaminedInBothHaplotypes	DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MethylationFrequency_HP1	MethylationFrequency_HP2	Included_Or_Ignored_For_PofO_Assignment
chr1	11044370	11044544	Maternal	PTCHD2	Hernandez	20	0	0	0	0	0.34351	0.33983	Ignored:DidNotMeet_cpg_difference
chr1	21120031	21120143	Maternal	ECE1;LOC100506801	Hernandez	5	0	0	0	0	0.47321	0.48747	Ignored:DidNotMeet_cpg_difference
chr1	32329102	32329320	Maternal	ZBTB8B	Joshi	9	9	0	0.36197	0	0.65949	0.29752	Included
chr1	39384177	39384444	Maternal	BMP8A	Akbari	18	0	0	0	0	0.3512	0.25307	Ignored:DidNotMeet_cpg_difference
chr1	39427318	39428447	Maternal	PPIEL,PABPC4	Akbari,Court,Hernandez,Joshi,Zink	52	45	0	0.50728	0	0.93138	0.47389	Included
chr1	67924206	67929467	Maternal	DIRAS3,DIRAS3_Ex2,GNG12-AS1	Akbari,Court,Hernandez,Joshi,Zink	136	130	0	0.69881	0	0.92288	0.25319	Included
chr1	176387296	176387476	Maternal	ASTN1	Zink	15	0	0	0	0	0.75116	0.8768	Ignored:DidNotMeet_cpg_difference
chr1	227504793	227504903	Maternal	OBSCN	Joshi	8	0	0	0	0	0.93157	0.94961	Ignored:DidNotMeet_cpg_difference
chr10	13172944	13173273	Maternal	BTBD7P1	Akbari	27	0	0	0	0	0.57823	0.664	Ignored:DidNotMeet_cpg_difference
chr10	27443798	27444893	Maternal	PTCHD3	Akbari,Hernandez	72	72	0	0.54231	0	0.83701	0.2947	Included
chr10	98458604	98458947	Maternal	ANKRD2	Akbari	19	0	0	0	0	0.69245	0.72454	Ignored:DidNotMeet_cpg_difference
chr10	120716003	120716796	Maternal	INPP5F	Akbari,Court,Hernandez	64	64	0	0.52041	0	0.95231	0.43189	Included
chr10	124869055	124869380	Maternal	YBX2P1	Akbari	32	32	0	0.32088	0	0.36812	0.04724	Included
chr11	2085259	2091234	Paternal	H19,H19/IGF2	Akbari,Court,Hernandez	250	0	241	0	0.82702	0.10887	0.9098	Included
chr11	2220004	2221535	Paternal	IGF2_DMR2,IGF2,INS-IGF2	Akbari,Court,Hernandez,Zink	68	0	63	0	0.55275	0.31206	0.82507	Included
chr11	2233014	2236942	Paternal	IGF2_DMR0,IGF2,IGF2-AS,INS-IGF2	Akbari,Court,Hernandez,Zink	98	0	98	0	0.55653	0.20588	0.7624	Included
chr11	2787890	2790647	Maternal	KvDMR1,KCNQ1,KCNQ1OT1	Akbari,Court,Hernandez,Zink	204	204	0	0.89643	0	0.94637	0.04994	Included
chr11	7147542	7148122	Maternal	RBMXL2	Akbari,Hernandez,Zink	55	55	0	0.24536	0	0.88769	0.64233	Included
chr11	132831291	132831483	Maternal	OPCML	Hernandez	10	0	0	0	0	0.79175	0.62091	Ignored:DidNotMeet_cpg_difference
chr11	133121414	133122305	Maternal	OPCML	Akbari	45	45	0	0.55329	0	0.78163	0.22834	Included
chr12	200351	201073	Maternal	SLC6A12,RP11-283I3.2	Zink	85	0	74	0	0.20098	0.10153	0.29714	Included
chr12	3845430	3845920	Paternal	PARP11	Akbari	69	0	0	0	0	0.37492	0.3594	Ignored:DidNotMeet_cpg_difference
chr12	6454803	6455271	Maternal	CD27,CD27-AS1,LOC678655	Hernandez	8	0	0	0	0	0.56531	0.42459	Ignored:DidNotMeet_cpg_difference
chr12	14651159	14651402	Maternal	H2AFJ	Hernandez	13	0	0	0	0	0.08782	0.09334	Ignored:DidNotMeet_cpg_difference
chr12	30992265	30994810	Maternal	AC024940.1	Akbari	138	0	128	0	0.5449	0.07349	0.58805	Included
chr12	30996914	30997274	Maternal	AC024940.1	Akbari	21	0	14	0	0.43609	0.42016	0.77428	Included
chr12	96198127	96198449	Paternal	ELK3	Hernandez	7	0	0	0	0	0.45623	0.30044	Ignored:DidNotMeet_cpg_difference
chr12	130374845	130375163	Maternal	PIWIL1	Hernandez	39	0	0	0	0	0.55477	0.61464	Ignored:DidNotMeet_cpg_difference
chr13	19317211	19317685	Maternal	GJA3	Akbari	25	0	0	0	0	0.38409	0.25757	Ignored:DidNotMeet_cpg_difference
chr13	47537482	47542150	Maternal	RB1,PPP1R26P1	Akbari,Court,Hernandez,Joshi,Zink	258	0	213	0	0.78267	0.30157	0.95638	Included
chr13	47630529	47633749	Maternal	LPAR6,RB1	Akbari	29	0	13	0	0.38961	0.40532	0.66651	Included
chr13	59487091	59488917	Maternal	TARDBPP2	Akbari,Hernandez,Zink	39	0	33	0	0.47322	0.35344	0.77843	Included
chr13	98425642	98426046	Paternal	UBAC2	Akbari	18	0	0	0	0	0.46232	0.50089	Ignored:DidNotMeet_cpg_difference
chr13	100190731	100191002	Maternal	NALCN-AS1	Akbari	22	0	0	0	0	0.90331	0.92099	Ignored:DidNotMeet_cpg_difference
chr14	27997060	27998007	Maternal	NPAS3	Akbari,Zink	117	0	117	0	0.25525	0.135	0.39025	Included
chr14	46476152	46476528	Maternal	PTGDR	Akbari	18	0	0	0	0	0.19687	0.37768	Ignored:DidNotMeet_cpg_difference
chr14	94961427	94961490	Paternal	DLK1	Joshi,Zink	7	0	0	0	0	0.34274	0.27717	Ignored:DidNotMeet_cpg_difference
chr14	95042558	95046625	Paternal	IG-DMR,MEG3,MEG3/DLK1	Akbari,Court,Hernandez,Zink	96	56	0	0.53115	0	0.93462	0.57076	Included
chr14	95058592	95063118	Paternal	MEG3,AL117190.1	Akbari,Court,Hernandez,Joshi,Zink	246	245	0	0.74304	0	0.93698	0.19598	Included
chr14	95135834	95136700	Maternal	MEG8,SNHG23	Zink	27	0	0	0	0	0.1924	0.28966	Ignored:DidNotMeet_cpg_difference
chr14	95139591	95140676	Maternal	MEG8,SNHG23	Akbari,Court,Hernandez,Zink	52	0	52	0	0.73828	0.10463	0.84291	Included
chr14	100719510	100719614	Maternal	IGHV3-37	Hernandez	10	0	0	0	0	0.70784	0.65772	Ignored:DidNotMeet_cpg_difference
