Chromosome	Start	End	Methylated_allele	Name	Reference	All_CpGs_At_iDMR_CouldBeExaminedInBothHaplotypes	DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MethylationFrequency_HP1	MethylationFrequency_HP2	Included_Or_Ignored_For_PofO_Assignment
chr1	11044370	11044544	Maternal	PTCHD2	Hernandez	20	20	0	0.24554	0	0.57609	0.33055	Included
chr1	21120031	21120143	Maternal	ECE1;LOC100506801	Hernandez	5	0	0	0	0	0.43096	0.56003	Ignored:DidNotMeet_cpg_difference
chr1	32329102	32329320	Maternal	ZBTB8B	Joshi	9	7	0	0.27564	0	0.62624	0.35907	Included
chr1	39384177	39384444	Maternal	BMP8A	Akbari	18	1	0	0.19249	0	0.34728	0.21922	Ignored:DidNotMeet_cpg_difference
chr1	39427318	39428447	Maternal	PPIEL,PABPC4	Akbari,Court,Hernandez,Joshi,Zink	52	52	0	0.59785	0	0.95111	0.35326	Included
chr1	67924206	67929467	Maternal	DIRAS3,DIRAS3_Ex2,GNG12-AS1	Akbari,Court,Hernandez,Joshi,Zink	136	130	0	0.64117	0	0.92216	0.3067	Included
chr1	176387296	176387476	Maternal	ASTN1	Zink	15	0	0	0	0	0.906	0.91543	Ignored:DidNotMeet_cpg_difference
chr1	227504793	227504903	Maternal	OBSCN	Joshi	8	0	0	0	0	0.95197	0.9392	Ignored:DidNotMeet_cpg_difference
chr10	13172944	13173273	Maternal	BTBD7P1	Akbari	27	0	25	0	0.19633	0.57125	0.76646	Included
chr10	27443798	27444893	Maternal	PTCHD3	Akbari,Hernandez	72	0	72	0	0.58151	0.32693	0.90844	Included
chr10	98458604	98458947	Maternal	ANKRD2	Akbari	19	0	0	0	0	0.71441	0.72964	Ignored:DidNotMeet_cpg_difference
chr10	120716003	120716796	Maternal	INPP5F	Akbari,Court,Hernandez	64	0	64	0	0.59447	0.35997	0.95445	Included
chr10	124869055	124869380	Maternal	YBX2P1	Akbari	32	0	32	0	0.21081	0.10803	0.31884	Included
chr11	2085259	2091234	Paternal	H19,H19/IGF2	Akbari,Court,Hernandez	250	243	0	0.83898	0	0.914	0.0962	Included
chr11	2220004	2221535	Paternal	IGF2_DMR2,IGF2,INS-IGF2	Akbari,Court,Hernandez,Zink	68	63	0	0.45562	0	0.83847	0.40681	Included
chr11	2233014	2236942	Paternal	IGF2_DMR0,IGF2,IGF2-AS,INS-IGF2	Akbari,Court,Hernandez,Zink	100	100	0	0.57144	0	0.77606	0.20461	Included
chr11	2787890	2790647	Maternal	KvDMR1,KCNQ1,KCNQ1OT1	Akbari,Court,Hernandez,Zink	205	0	205	0	0.88854	0.04908	0.93762	Included
chr11	7147542	7148122	Maternal	RBMXL2	Akbari,Hernandez,Zink	55	0	55	0	0.28223	0.66555	0.94778	Included
chr11	132831291	132831483	Maternal	OPCML	Hernandez	10	0	10	0	0.20222	0.69617	0.89839	Included
chr11	133121414	133122305	Maternal	OPCML	Akbari	45	0	45	0	0.70126	0.14786	0.84912	Included
chr12	200351	201073	Maternal	SLC6A12,RP11-283I3.2	Zink	85	85	0	0.46866	0	0.59016	0.12151	Included
chr12	3845430	3845920	Paternal	PARP11	Akbari	69	0	43	0	0.18104	0.36427	0.52372	Included
chr12	6454803	6455271	Maternal	CD27,CD27-AS1,LOC678655	Hernandez	8	0	0	0	0	0.61361	0.56115	Ignored:DidNotMeet_cpg_difference
chr12	14651159	14651402	Maternal	H2AFJ	Hernandez	13	0	0	0	0	0.14266	0.22325	Ignored:DidNotMeet_cpg_difference
chr12	30992265	30994810	Maternal	AC024940.1	Akbari	142	142	0	0.73594	0	0.80798	0.07204	Included
chr12	30996914	30997274	Maternal	AC024940.1	Akbari	21	21	0	0.72916	0	0.92747	0.19831	Included
chr12	96198127	96198449	Paternal	ELK3	Hernandez	7	0	5	0	0.295	0.38451	0.66772	Included
chr12	130374845	130375163	Maternal	PIWIL1	Hernandez	39	4	0	0.15949	0	0.84143	0.70107	Included
chr13	19317211	19317685	Maternal	GJA3	Akbari	25	0	0	0	0	0.56616	0.51399	Ignored:DidNotMeet_cpg_difference
chr13	47537482	47542150	Maternal	RB1,PPP1R26P1	Akbari,Court,Hernandez,Joshi,Zink	258	204	0	0.73688	0	0.95451	0.36169	Included
chr13	47630529	47633749	Maternal	LPAR6,RB1	Akbari	29	14	0	0.41097	0	0.7306	0.42048	Included
chr13	59487091	59488917	Maternal	TARDBPP2	Akbari,Hernandez,Zink	39	32	0	0.46118	0	0.58249	0.19224	Included
chr13	98425642	98426046	Paternal	UBAC2	Akbari	18	0	0	0	0	0.58855	0.49293	Ignored:DidNotMeet_cpg_difference
chr13	100190731	100191002	Maternal	NALCN-AS1	Akbari	21	21	0	0.22696	0	0.79919	0.57223	Included
chr14	27997060	27998007	Maternal	NPAS3	Akbari,Zink	117	0	117	0	0.52128	0.26438	0.78566	Included
chr14	46476152	46476528	Maternal	PTGDR	Akbari	18	0	2	0	0.21495	0.19845	0.39202	Included
chr14	94961427	94961490	Paternal	DLK1	Joshi,Zink	7	0	0	0	0	0.32629	0.29697	Ignored:DidNotMeet_cpg_difference
chr14	95042558	95046625	Paternal	IG-DMR,MEG3,MEG3/DLK1	Akbari,Court,Hernandez,Zink	96	57	0	0.38935	0	0.92183	0.643	Included
chr14	95058592	95063118	Paternal	MEG3,AL117190.1	Akbari,Court,Hernandez,Joshi,Zink	246	238	0	0.73919	0	0.94445	0.22348	Included
chr14	95135834	95136700	Maternal	MEG8,SNHG23	Zink	26	0	12	0	0.36808	0.17669	0.39505	Included
chr14	95139591	95140676	Maternal	MEG8,SNHG23	Akbari,Court,Hernandez,Zink	52	0	51	0	0.77713	0.09876	0.86448	Included
chr14	100719510	100719614	Maternal	IGHV3-37	Hernandez	10	0	0	0	0	0.70631	0.67998	Ignored:DidNotMeet_cpg_difference
chr15	21296256	21301762	Maternal	MIR4508,MKRN3	Akbari,Court,Hernandez,Joshi	109	0	25	0	0.46854	0.74824	0.85239	Included
chr15	21341062	21343880	Paternal	MKRN3	Zink	14	0	0	0	0	0.79102	0.76947	Ignored:DidNotMeet_cpg_difference
chr15	21363464	21363638	Maternal	MKRN3	Zink	10	0	10	0	0.43949	0.22278	0.66227	Included
chr15	21368503	21368715	Maternal	MKRN3	Zink	8	0	8	0	0.27499	0.63915	0.91414	Included
chr15	21377299	21377524	Maternal	MAGEL2	Zink	6	0	4	0	0.41279	0.31556	0.63627	Included
chr15	21381510	21383473	Maternal	MAGEL2	Akbari,Court,Hernandez,Joshi,Zink	64	0	58	0	0.66381	0.26176	0.87807	Included
chr15	21420762	21422619	Maternal	NDN	Akbari,Court,Hernandez,Joshi,Zink	117	0	109	0	0.52369	0.21746	0.71026	Included
chr15	21532265	21532875	Maternal	RNU6-741P	Zink	21	0	17	0	0.24509	0.53074	0.77344	Included
chr15	21563910	21564305	Paternal	RNU6-741P	Zink	6	0	0	0	0	0.86138	0.75916	Ignored:DidNotMeet_cpg_difference
chr15	21589212	21590074	Maternal	RP11-484P15.1	Zink	9	0	5	0	0.34072	0.17093	0.48389	Included
chr15	21591584	21596455	Maternal	RP11-484P15.1	Akbari,Zink,Zink	83	0	42	0	0.50483	0.49226	0.74456	Included
chr15	21603570	21604377	Maternal	RP11-484P15.1	Akbari,Zink	36	0	34	0	0.54241	0.12278	0.65126	Included
chr15	21611867	21613067	Maternal	RP11-484P15.1	Akbari,Zink	40	0	34	0	0.44802	0.13969	0.53891	Included
chr15	21617488	21617845	Paternal	RP11-484P15.1	Zink	11	3	0	0.2189	0	0.90725	0.69847	Included
chr15	21630697	21633011	Maternal	PWRN4,RP11-484P15.1	Akbari,Joshi,Zink	58	0	32	0	0.55495	0.46091	0.76708	Included
chr15	21648478	21650220	Paternal	RP11-484P15.1	Zink	11	0	0	0	0	0.83161	0.63017	Ignored:DidNotMeet_cpg_difference
chr15	21674147	21675281	Paternal	RP11-484P15.1	Zink	12	1	0	0.24548	0	0.82201	0.64093	Ignored:DidNotMeet_cpg_difference
chr15	21743102	21743985	Paternal	PWRN4	Zink	7	0	0	0	0	0.76891	0.48676	Ignored:DidNotMeet_cpg_difference
chr15	21763297	21763709	Paternal	PWRN4	Zink	5	0	0	0	0	0.75207	0.637	Ignored:DidNotMeet_cpg_difference
chr15	21784164	21785579	Paternal	PWRN4	Zink	12	7	0	0.39216	0	0.87097	0.59791	Included
chr15	21835134	21836136	Maternal	SNRPN_intragenic_CpG32,PWRN2	Akbari,Court,Zink	46	0	42	0	0.36874	0.1845	0.53704	Included
chr15	21890432	21891180	Paternal	PWRN2	Zink	8	0	0	0	0	0.74085	0.60388	Ignored:DidNotMeet_cpg_difference
chr15	21897209	21897954	Paternal	PWRN2	Zink	8	0	0	0	0	0.77426	0.60871	Ignored:DidNotMeet_cpg_difference
chr15	21908292	21909250	Paternal	PWRN2	Zink	9	2	0	0.32288	0	0.77058	0.51175	Included
chr15	22008923	22009869	Paternal	RP11-580I1.2	Zink	10	0	0	0	0	0.80561	0.67507	Ignored:DidNotMeet_cpg_difference
