Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Maternal	Paternal	1.0	121.28058000000001	0	209	0	4	0	209	0	217	0
chr10	Paternal	Maternal	1.0	91.56897	0	193	0	4	0	193	0	195	0
chr11	Paternal	Maternal	1.0	520.97245	0	721	0	7	0	721	0	733	0
chr12	Maternal	Paternal	1.0	169.54962	0	300	0	6	0	300	0	363	0
chr13	Maternal	Paternal	1.0	175.60102	0	271	0	4	0	271	0	347	0
chr14	Paternal	Maternal	1.0	303.59042	0	477	0	6	0	477	0	555	0
chr15	Paternal	Maternal	0.99889	526.32401	0.58532	985	2	29	0	987	0	1493	0
chr16	Paternal	Maternal	1.0	143.44907	0	284	0	5	0	284	0	409	0
chr17	Paternal	Maternal	1.0	43.29424	0	136	0	1	0	136	0	139	0
chr18	Paternal	Maternal	1.0	152.35661	0	231	0	3	0	231	0	232	0
chr19	Maternal	Paternal	0.97396	462.9227900000001	12.37622	622	38	9	1	622	38	719	38
chr2	Paternal	Maternal	0.97945	391.00217999999995	8.20216	630	37	6	1	630	37	710	54
chr20	Paternal	Maternal	1.0	988.5357799999998	0	1314	0	10	0	1314	0	1456	0
chr21	Maternal	Paternal	1.0	31.741020000000002	0	57	0	1	0	57	0	58	0
chr22	Maternal	Paternal	0.91173	57.2985	5.54714	70	31	1	1	70	31	82	64
chr3	Maternal	Paternal	1.0	31.949640000000002	0	57	0	1	0	57	0	57	0
chr4	Paternal	Maternal	1.0	150.38741	0	315	0	6	0	315	0	326	0
chr5	Maternal	Paternal	1.0	71.99629999999999	0	118	0	2	0	118	0	122	0
chr6	Maternal	Paternal	1.0	339.83588000000003	0	459	0	5	0	459	0	469	0
chr7	Paternal	Maternal	1.0	624.6837700000001	0	818	0	9	0	818	0	862	0
chr8	Maternal	Paternal	1.0	346.22284999999994	0	593	0	9	0	593	0	650	0
chr9	Maternal	Paternal	1.0	29.414579999999997	0	72	0	2	0	72	0	176	0
