Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Maternal	Paternal	1.0	112.61939	0	179	0	3	0	179	0	197	0
chr10	Maternal	Paternal	1.0	73.49592	0	168	0	3	0	168	0	168	0
chr11	Paternal	Maternal	1.0	495.74214	0	659	0	5	0	659	0	678	0
chr12	Maternal	Paternal	1.0	96.75274000000002	0	318	0	5	0	318	0	353	0
chr13	Maternal	Paternal	0.95697	189.64682000000005	8.52816	280	24	3	1	280	24	326	24
chr14	Maternal	Paternal	1.0	278.27849	0	479	0	5	0	479	0	538	0
chr15	Maternal	Paternal	1.0	520.38908	0	938	0	28	0	938	0	1296	0
chr16	Paternal	Maternal	1.0	177.23684	0	388	0	6	0	388	0	544	0
chr17	Maternal	Paternal	1.0	48.3024	0	116	0	1	0	116	0	139	0
chr18	Paternal	Maternal	1.0	117.59252	0	205	0	3	0	205	0	213	0
chr19	Paternal	Maternal	1.0	430.57579000000004	0	553	0	6	0	553	0	593	0
chr2	Maternal	Paternal	0.97339	363.75593	9.945969999999999	587	37	5	1	587	37	619	37
chr20	Paternal	Maternal	1.0	972.9471700000001	0	1279	0	9	0	1279	0	1427	0
chr21	Paternal	Maternal	1.0	50.277860000000004	0	107	0	2	0	107	0	113	0
chr22	Paternal	Maternal	1.0	42.817859999999996	0	96	0	2	0	96	0	146	0
chr3	Maternal	Paternal	1.0	30.77772	0	57	0	1	0	57	0	57	0
chr4	Maternal	Paternal	1.0	127.00779999999999	0	272	0	5	0	272	0	289	0
chr5	Maternal	Paternal	1.0	78.60322	0	137	0	3	0	137	0	143	0
chr6	Maternal	Paternal	1.0	358.03258000000005	0	500	0	6	0	500	0	521	0
chr7	Paternal	Maternal	1.0	599.3145499999999	0	820	0	8	0	820	0	843	0
chr8	Paternal	Maternal	0.97995	310.62573	6.356879999999999	480	18	7	1	480	18	532	44
chr9	Maternal	Paternal	1.0	31.79216	0	67	0	2	0	67	0	176	0
