Filename	Node count	Edge count	Smallest edge overlap (bp)	Largest edge overlap (bp)	Total length (bp)	Total length no overlaps (bp)	Dead ends	Percentage dead ends	Connected components	Largest component (bp)	Total length orphaned nodes (bp)	N50 (bp)	Shortest node (bp)	Lower quartile node (bp)	Median node (bp)	Upper quartile node (bp)	Longest node (bp)	Median depth	Estimated sequence length (bp)
published_chr19_combined35x	82	93	0	99967	87789130	86232592	30	18.2927%	13	87608126	152526	11486714	3659	16144	29812	116412	13272010	1	86619961
published_chr19_combined35x_nopolish	82	93	0	99967	87789130	86232592	30	18.2927%	13	87608126	152526	11486714	3659	16144	29812	116412	13272010	1	86619961
published_chr19_duplex15x	217	259	0	99953	86873192	85599446	65	14.977%	25	86282420	590772	1362739	104	25064	86398	329842	4768512	1	85894318
published_chr19_duplex20x	70	67	0	18340	86523866	86287944	44	31.4286%	19	86098738	425128	6115607	2213	26521	63444	1343038	10389494	1	86368886
published_chr19_duplex25x	41	27	0	10263	86546263	86442286	42	51.2195%	20	82875425	3670838	23639123	3057	13870	42537	507797	23752813	1	86472207
published_chr19_duplex_UL50x	41	26	1459	10263	86487974	86424437	43	52.439%	21	82810996	3676978	13300783	3057	10762	30696	142084	23639125	1	86440222
published_chr19_duplex_UL50x_nopolish	41	26	1459	10263	86487974	86424437	43	52.439%	21	82810996	3676978	13300783	3057	10762	30696	142084	23639125	1	86440222
published_chr19_duplex_UL70x	41	28	0	10263	86540854	86477577	41	50%	20	86084648	456206	8231243	3057	10762	42537	271261	15523072	1	86485554
published_chr19_duplex_UL90x	44	32	0	10263	86617764	86549788	41	46.5909%	20	86042966	445444	8231243	21	10560	42939	539233	14841626	1	86570156
published_chr19_herro_120x_UL50x	3393	2402	0	99537	149498656	121053426	3307	48.7327%	1481	114203570	29060101	139403	1620	11900	19651	29755	3748577	1	128062863
published_chr19_herro_120x_UL70x	3084	2250	1397	99901	151359898	117070369	2907	47.1304%	1300	120669752	25310133	148516	1620	12264	20502	32057	4627884	1	126209889
published_chr19_herro_120x_UL90x	2876	2305	0	99965	149048738	111754936	2409	41.8811%	1077	122654538	20871612	143265	1620	12539	20874	34111	4627884	1	122251562
published_chr19_herro_35x_UL50x	283	242	0	99214	89623409	86892806	211	37.2792%	95	47856776	2662825	3653236	2347	10272	16668	34058	7961264	1	87651870
published_chr19_herro_35x_UL50x_nopolish	283	242	0	99214	89623409	86892806	211	37.2792%	95	47856776	2662825	3653236	2347	10272	16668	34058	7961264	1	87651870
published_chr19_herro_35x_UL70x	297	261	0	99214	90053489	86983629	216	36.3636%	94	47994061	1668578	4300295	58	10621	17172	37463	7926160	1	88140006
published_chr19_herro_35x_UL90x	278	229	0	99765	90811582	86941124	226	40.6475%	102	48870006	1796311	3779820	58	10742	17543	49665	7598624	1	88519008
published_chr19_herro_60x_UL50x	413	410	0	99853	93509609	88230486	230	27.845%	94	49832090	1822344	3375634	1931	12565	18254	38650	5863186	1	89978407
published_chr19_herro_60x_UL70x	377	356	1376	99928	94251974	88119380	236	31.2997%	100	49595331	1856323	3534439	1722	12854	20002	43536	5841792	1	89519446
published_chr19_herro_60x_UL90x	311	288	0	99928	93464032	87586635	201	32.3151%	86	49644310	1603708	4849595	1931	13137	20784	53215	7905207	1	89172175
