contig	color
contig-0000001	#D57533	chr13
contig-0000002	#D57533	chr13
contig-0000003	#666666	chr7
contig-0000004	#CC8DB3	chr11
contig-0000005	#CC8DB3	chr11
contig-0000006	#1A7FBA	chr12
contig-0000007	#CCA0BF	chr18
contig-0000008	#CCA0BF	chr18
contig-0000009	#CCA0BF	chr18
contig-0000010	#CC8DB3	chr11
contig-0000011	#666666	chr7
contig-0000012	#CC8DB3	chr11
contig-0000013	#CC8DB3	chr11
contig-0000014	#666666	chr7
contig-0000015	#D55E00	chr6
contig-0000016	#E6AB23	chr8
contig-0000017	#E6AB23	chr8
contig-0000018	#E6AB23	chr8
contig-0000019	#D57533	chr13
contig-0000020	#D57533	chr13
contig-0000021	#D57533	chr13
contig-0000022	#338CC2	chr19
contig-0000023	#338CC2	chr19
contig-0000024	#338CC2	chr19
contig-0000025	#338CC2	chr19
contig-0000026	#338CC2	chr19
contig-0000027	#1A7FBA	chr12
contig-0000028	#1A7FBA	chr12
contig-0000029	#1A7FBA	chr12
contig-0000030	#E6B847	chr15
contig-0000031	#CC79A7	chr4
contig-0000032	#D57533	chr13
contig-0000033	#CC79A7	chr4
contig-0000034	#CC79A7	chr4
contig-0000035	#CC79A7	chr4
contig-0000036	#CC79A7	chr4
contig-0000037	#CC79A7	chr4
contig-0000038	#CC79A7	chr4
contig-0000039	#CC79A7	chr4
contig-0000040	#CC79A7	chr4
contig-0000041	#CC79A7	chr4
contig-0000042	#E6AB23	chr8
contig-0000043	#D57533	chr13
contig-0000044	#E6AB23	chr8
contig-0000045	#E6AB23	chr8
contig-0000046	#E6AB23	chr8
contig-0000047	#E6AB23	chr8
contig-0000048	#D55E00	chr6
contig-0000049	#D55E00	chr6
contig-0000050	#D55E00	chr6
contig-0000051	#009E73	chr3
contig-0000052	#009E73	chr3
contig-0000053	#009E73	chr3
contig-0000054	#D57533	chr13
contig-0000055	#009E73	chr3
contig-0000056	#009E73	chr3
contig-0000057	#D57533	chr13
contig-0000058	#D57533	chr13
contig-0000059	#D57533	chr13
contig-0000060	#D55E00	chr6
contig-0000061	#CCA0BF	chr18
contig-0000062	#CCA0BF	chr18
contig-0000063	#CCA0BF	chr18
contig-0000064	#CCA0BF	chr18
contig-0000065	#D57533	chr13
contig-0000066	#E69F00	chr1
contig-0000067	#E69F00	chr1
contig-0000068	#E69F00	chr1
contig-0000069	#E69F00	chr1
contig-0000070	#E69F00	chr1
contig-0000071	#00A880	chr10
contig-0000072	#00A880	chr10
contig-0000073	#00A880	chr10
contig-0000074	#00A880	chr10
contig-0000075	#666666	chr7
contig-0000076	#00A880	chr10
contig-0000077	#E6AB23	chr8
contig-0000078	#E6AB23	chr8
contig-0000079	#E6AB23	chr8
contig-0000080	#E6B847	chr15
contig-0000081	#E6B847	chr15
contig-0000082	#E6B847	chr15
contig-0000083	#009E73	chr3
contig-0000084	#009E73	chr3
contig-0000085	#666666	chr7
contig-0000086	#009E73	chr3
contig-0000087	#009E73	chr3
contig-0000088	#009E73	chr3
contig-0000089	#009E73	chr3
contig-0000090	#E6C47F	chr22
contig-0000091	#E6AB23	chr8
contig-0000092	#E6AB23	chr8
