#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	66727	248383412	264680
syndip	chr2	0	3314	242693212	253401
syndip	chr3	0	2321	201088028	241038
syndip	chr4	0	3263	193572966	236653
syndip	chr5	0	156356	181990841	216086
syndip	chr6	0	2915	172115976	209476
syndip	chr7	0	3478	160565444	209294
syndip	chrX	0	108735	1469678	2182
syndip	chr9	0	4828	150614447	164828
syndip	chr8	0	2292	145540850	192462
syndip	chr11	0	55865	135088110	158738
syndip	chr10	0	17055	134675160	168816
syndip	chr12	0	2990	133324401	164550
syndip	chr13	0	9283	113563195	121759
syndip	chr14	0	5321	101160119	115593
syndip	chr15	0	6091	99749195	151540
syndip	chr16	0	2303	96328415	131630
syndip	chr17	0	46727	84274383	120478
syndip	chr18	0	163704	80539437	100771
syndip	chr20	0	8936	66206344	98697
syndip	chr19	0	2354	61704397	82845
syndip	chr22	0	913415	51292712	117378
syndip	chr21	0	3033	45086155	57216
