contig	color
contig-0000001	#D57533	chr13
contig-0000002	#D57533	chr13
contig-0000003	#00B28C	chr17
contig-0000004	#D57533	chr13
contig-0000005	#D57533	chr13
contig-0000006	#D57533	chr13
contig-0000007	#1A7FBA	chr12
contig-0000008	#1A7FBA	chr12
contig-0000009	#00A880	chr10
contig-0000010	#E6B847	chr15
contig-0000011	#808080	chr21
contig-0000013	#808080	chr21
contig-0000014	#D57533	chr13
contig-0000017	#00A880	chr10
contig-0000018	#D57533	chr13
contig-0000019	#00A880	chr10
contig-0000020	#00A880	chr10
contig-0000021	#00A880	chr10
contig-0000022	#00A880	chr10
contig-0000023	#00A880	chr10
contig-0000024	#00A880	chr10
contig-0000025	#00A880	chr10
contig-0000026	#00A880	chr10
contig-0000027	#D57533	chr13
contig-0000031	#CCA0BF	chr18
contig-0000032	#CCA0BF	chr18
contig-0000033	#CCA0BF	chr18
contig-0000034	#CCA0BF	chr18
contig-0000035	#CCA0BF	chr18
contig-0000036	#338CC2	chr19
contig-0000037	#338CC2	chr19
contig-0000038	#338CC2	chr19
contig-0000039	#338CC2	chr19
contig-0000040	#338CC2	chr19
contig-0000041	#D57533	chr13
contig-0000042	#D57533	chr13
contig-0000047	#E69F00	chr1
contig-0000048	#E69F00	chr1
contig-0000052	#00B28C	chr17
contig-0000053	#E69F00	chr1
contig-0000054	#E69F00	chr1
contig-0000055	#E69F00	chr1
contig-0000056	#E69F00	chr1
contig-0000057	#E69F00	chr1
contig-0000058	#D57533	chr13
contig-0000059	#E69F00	chr1
contig-0000060	#E69F00	chr1
contig-0000062	#808080	chr21
contig-0000063	#D57533	chr13
contig-0000064	#0072B2	chr5
contig-0000065	#E6B847	chr15
contig-0000066	#737373	chr14
contig-0000067	#737373	chr14
contig-0000068	#D57533	chr13
contig-0000069	#338CC2	chr19
contig-0000070	#338CC2	chr19
contig-0000071	#0072B2	chr5
contig-0000072	#808080	chr21
contig-0000073	#808080	chr21
contig-0000075	#E69F00	chr1
contig-0000076	#E69F00	chr1
contig-0000077	#E69F00	chr1
contig-0000078	#E69F00	chr1
contig-0000079	#E69F00	chr1
contig-0000081	#00B28C	chr17
contig-0000083	#808080	chr21
contig-0000084	#808080	chr21
contig-0000086	#D57533	chr13
contig-0000087	#D57533	chr13
contig-0000088	#D57533	chr13
contig-0000089	#D57533	chr13
contig-0000090	#0072B2	chr5
contig-0000091	#D57533	chr13
contig-0000092	#D57533	chr13
contig-0000093	#D57533	chr13
contig-0000094	#D57533	chr13
contig-0000095	#D57533	chr13
contig-0000096	#D57533	chr13
contig-0000097	#D57533	chr13
contig-0000098	#808080	chr21
contig-0000099	#808080	chr21
contig-0000100	#0072B2	chr5
contig-0000101	#D57533	chr13
contig-0000102	#D57533	chr13
contig-0000103	#D55E00	chr6
contig-0000104	#D55E00	chr6
contig-0000105	#D55E00	chr6
contig-0000107	#E6C47F	chr22
contig-0000108	#808080	chr21
contig-0000109	#808080	chr21
contig-0000111	#808080	chr21
contig-0000112	#808080	chr21
contig-0000113	#D57533	chr13
contig-0000114	#D57533	chr13
contig-0000115	#D57533	chr13
contig-0000116	#D57533	chr13
