contig	color	chromosome
haplotype1-0000001	#1A7FBA	chr12
haplotype1-0000002	#56B4E9	chr2
haplotype1-0000003	#E6AB23	chr8
haplotype1-0000004	#E6AB23	chr8
haplotype1-0000005	#808080	chr21
haplotype1-0000006	#737373	chr14
haplotype1-0000007	#9467BD	chrX
haplotype1-0000008	#D55E00	chr6
haplotype1-0000009	#E6B847	chr15
haplotype1-0000010	#0072B2	chr5
haplotype1-0000011	#E6B847	chr15
haplotype1-0000012	#CC8DB3	chr11
haplotype1-0000013	#00B28C	chr17
haplotype1-0000014	#808080	chr21
haplotype1-0000015	#338CC2	chr19
haplotype1-0000016	#567DE9	chr16
haplotype1-0000017	#E6B847	chr15
haplotype1-0000018	#CC79A7	chr4
haplotype1-0000019	#D55E00	chr6
haplotype1-0000020	#D57533	chr13
haplotype1-0000021	#9467BD	chrX
haplotype1-0000022	#567DE9	chr16
haplotype1-0000023	#E69F00	chr1
haplotype1-0000024	#567DE9	chr16
haplotype1-0000025	#5699E9	chr9
haplotype1-0000026	#5699E9	chr9
haplotype1-0000027	#737373	chr14
haplotype1-0000028	#56B4E9	chr2
haplotype1-0000029	#E69F00	chr1
haplotype1-0000030	#567DE9	chr16
haplotype1-0000031	#56B4E9	chr2
haplotype1-0000032	#CCA0BF	chr18
haplotype1-0000033	#666666	chr7
haplotype1-0000034	#00A880	chr10
haplotype1-0000035	#D58C66	chr20
haplotype1-0000036	#E6C47F	chr22
haplotype1-0000037	#567DE9	chr16
haplotype1-0000038	#567DE9	chr16
haplotype1-0000039	#D55E00	chr6
haplotype1-0000040	#E69F00	chr1
haplotype1-0000041	#009E73	chr3
haplotype1-0000042	#808080	chr21
haplotype1-0000043	#D57533	chr13
haplotype1-0000044	#56B4E9	chr2
haplotype1-0000045	#E69F00	chr1
haplotype1-0000046	#CC79A7	chr4
haplotype1-0000047	#56B4E9	chr2
haplotype1-0000048	#56B4E9	chr2
haplotype1-0000049	#E6B847	chr15
haplotype1-0000050	#00B28C	chr17
haplotype1-0000051	#0072B2	chr5
haplotype1-0000052	#00B28C	chr17
haplotype1-0000053	#00A880	chr10
haplotype1-0000054	#00A880	chr10
