Chromosome	Start	End	Methylated_allele	Name	Reference	All_CpGs_At_iDMR_CouldBeExaminedInBothHaplotypes	DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MethylationFrequency_HP1	MethylationFrequency_HP2	Included_Or_Ignored_For_PofO_Assignment
chr1	11044370	11044544	Maternal	PTCHD2	Hernandez	20	0	0	0	0	0.27599	0.45168	Ignored:DidNotMeet_cpg_difference
chr1	21120031	21120143	Maternal	ECE1;LOC100506801	Hernandez	5	0	0	0	0	0.014	0.01337	Ignored:DidNotMeet_cpg_difference
chr1	32329102	32329320	Maternal	ZBTB8B	Joshi	9	0	8	0	0.42654	0.42068	0.83656	Included
chr1	39384177	39384444	Maternal	BMP8A	Akbari	18	0	18	0	0.48565	0.15773	0.64338	Included
chr1	39427318	39428447	Maternal	PPIEL,PABPC4	Akbari,Court,Hernandez,Joshi,Zink	52	0	0	0	0	0.94805	0.95146	Ignored:DidNotMeet_cpg_difference
chr1	67924206	67929467	Maternal	DIRAS3,DIRAS3_Ex2,GNG12-AS1	Akbari,Court,Hernandez,Joshi,Zink	136	0	127	0	0.73089	0.148	0.83379	Included
chr1	176387296	176387476	Maternal	ASTN1	Zink	15	0	0	0	0	0.76303	0.79591	Ignored:DidNotMeet_cpg_difference
chr1	227504793	227504903	Maternal	OBSCN	Joshi	8	0	0	0	0	0.89425	0.92241	Ignored:DidNotMeet_cpg_difference
chr10	13172944	13173273	Maternal	BTBD7P1	Akbari	27	0	27	0	0.85383	0.05574	0.90957	Included
chr10	27443798	27444893	Maternal	PTCHD3	Akbari,Hernandez	72	0	49	0	0.37783	0.53704	0.81921	Included
chr10	98458604	98458947	Maternal	ANKRD2	Akbari	0	0	0	0	0	0	0	Ignored:No_CpG
chr10	120716003	120716796	Maternal	INPP5F	Akbari,Court,Hernandez	64	0	64	0	0.66354	0.24915	0.91269	Included
chr10	124869055	124869380	Maternal	YBX2P1	Akbari	32	0	32	0	0.20722	0.08064	0.28786	Included
chr11	2085259	2091234	Paternal	H19,H19/IGF2	Akbari,Court,Hernandez	247	237	0	0.7682	0	0.83103	0.08683	Included
chr11	2220004	2221535	Paternal	IGF2_DMR2,IGF2,INS-IGF2	Akbari,Court,Hernandez,Zink	68	63	0	0.4815	0	0.54432	0.0927	Included
chr11	2233014	2236942	Paternal	IGF2_DMR0,IGF2,IGF2-AS,INS-IGF2	Akbari,Court,Hernandez,Zink	100	65	0	0.56991	0	0.58429	0.18237	Included
chr11	2787890	2790647	Maternal	KvDMR1,KCNQ1,KCNQ1OT1	Akbari,Court,Hernandez,Zink	205	0	203	0	0.89706	0.02565	0.91653	Included
chr11	7147542	7148122	Maternal	RBMXL2	Akbari,Hernandez,Zink	55	0	0	0	0	0.81863	0.78346	Ignored:DidNotMeet_cpg_difference
chr11	132831291	132831483	Maternal	OPCML	Hernandez	10	0	0	0	0	0.86263	0.87254	Ignored:DidNotMeet_cpg_difference
chr11	133121414	133122305	Maternal	OPCML	Akbari	45	0	36	0	0.42199	0.52671	0.89888	Included
chr12	200351	201073	Maternal	SLC6A12,RP11-283I3.2	Zink	85	5	0	0.1941	0	0.22186	0.11597	Ignored:DidNotMeet_cpg_difference
chr12	3845430	3845920	Paternal	PARP11	Akbari	69	0	0	0	0	0.11136	0.08697	Ignored:DidNotMeet_cpg_difference
chr12	6454803	6455271	Maternal	CD27,CD27-AS1,LOC678655	Hernandez	10	0	0	0	0	0.07039	0.03353	Ignored:DidNotMeet_cpg_difference
chr12	14651159	14651402	Maternal	H2AFJ	Hernandez	13	3	0	0.28006	0	0.13615	0.01616	Included
chr12	30992265	30994810	Maternal	AC024940.1	Akbari	138	0	125	0	0.51439	0.02863	0.50328	Included
chr12	30996914	30997274	Maternal	AC024940.1	Akbari	20	0	4	0	0.26289	0.7241	0.88203	Included
chr12	96198127	96198449	Paternal	ELK3	Hernandez	7	0	0	0	0	0.40749	0.51694	Ignored:DidNotMeet_cpg_difference
chr12	130374845	130375163	Maternal	PIWIL1	Hernandez	40	0	0	0	0	0.89243	0.88806	Ignored:DidNotMeet_cpg_difference
chr13	19317211	19317685	Maternal	GJA3	Akbari	25	0	25	0	0.86979	0.02205	0.89184	Included
chr13	47537482	47542150	Maternal	RB1,PPP1R26P1	Akbari,Court,Hernandez,Joshi,Zink	258	0	212	0	0.88069	0.23141	0.95937	Included
chr13	47630529	47633749	Maternal	LPAR6,RB1	Akbari	29	0	18	0	0.90142	0.35055	0.96335	Included
chr13	59487091	59488917	Maternal	TARDBPP2	Akbari,Hernandez,Zink	39	2	34	0.29531	0.79669	0.13837	0.80872	Included
chr13	98425642	98426046	Paternal	UBAC2	Akbari	18	0	0	0	0	0.92044	0.93625	Ignored:DidNotMeet_cpg_difference
chr13	100190731	100191002	Maternal	NALCN-AS1	Akbari	21	0	21	0	0.7294	0.11315	0.84255	Included
chr14	27997060	27998007	Maternal	NPAS3	Akbari,Zink	117	82	0	0.44455	0	0.46064	0.10893	Included
chr14	46476152	46476528	Maternal	PTGDR	Akbari	18	18	0	0.72143	0	0.78305	0.06162	Included
