contig	color
contig-0000001	#CCA0BF	chr18
contig-0000002	#CCA0BF	chr18
contig-0000003	#E6B847	chr15
contig-0000004	#D57533	chr13
contig-0000005	#D58C66	chr20
contig-0000006	#D58C66	chr20
contig-0000008	#808080	chr21
contig-0000009	#E6C47F	chr22
contig-0000010	#D57533	chr13
contig-0000011	#737373	chr14
contig-0000012	#E6C47F	chr22
contig-0000013	#E6C47F	chr22
contig-0000014	#E6C47F	chr22
contig-0000015	#E6C47F	chr22
contig-0000016	#E6B847	chr15
contig-0000017	#E6B847	chr15
contig-0000018	#808080	chr21
contig-0000019	#5699E9	chr9
contig-0000020	#338CC2	chr19
contig-0000021	#E6B847	chr15
contig-0000022	#D57533	chr13
contig-0000023	#D57533	chr13
contig-0000024	#D57533	chr13
contig-0000025	#E6B847	chr15
contig-0000026	#E6B847	chr15
contig-0000027	#E6B847	chr15
contig-0000028	#E6B847	chr15
contig-0000029	#E6B847	chr15
contig-0000030	#CC79A7	chr4
contig-0000031	#CC79A7	chr4
contig-0000032	#CC79A7	chr4
contig-0000033	#CC79A7	chr4
contig-0000034	#CC79A7	chr4
contig-0000035	#CC79A7	chr4
contig-0000036	#CC79A7	chr4
contig-0000037	#CC79A7	chr4
contig-0000038	#0072B2	chr5
contig-0000039	#D57533	chr13
contig-0000040	#0072B2	chr5
contig-0000041	#0072B2	chr5
contig-0000042	#0072B2	chr5
contig-0000043	#0072B2	chr5
contig-0000044	#808080	chr21
contig-0000045	#808080	chr21
contig-0000046	#737373	chr14
contig-0000048	#567DE9	chr16
contig-0000049	#808080	chr21
contig-0000050	#737373	chr14
contig-0000051	#E6C47F	chr22
contig-0000052	#009E73	chr3
contig-0000053	#009E73	chr3
contig-0000054	#009E73	chr3
contig-0000055	#009E73	chr3
contig-0000056	#009E73	chr3
contig-0000057	#567DE9	chr16
contig-0000058	#737373	chr14
contig-0000059	#737373	chr14
contig-0000060	#737373	chr14
contig-0000061	#737373	chr14
contig-0000062	#737373	chr14
contig-0000063	#CC8DB3	chr11
contig-0000064	#CC8DB3	chr11
contig-0000065	#CC8DB3	chr11
contig-0000066	#00A880	chr10
contig-0000067	#567DE9	chr16
contig-0000068	#00A880	chr10
contig-0000069	#00A880	chr10
contig-0000070	#E6C47F	chr22
contig-0000071	#E6C47F	chr22
contig-0000072	#E6C47F	chr22
contig-0000073	#D57533	chr13
contig-0000074	#00B28C	chr17
contig-0000076	#D55E00	chr6
contig-0000077	#D55E00	chr6
contig-0000078	#567DE9	chr16
contig-0000079	#D55E00	chr6
contig-0000080	#D55E00	chr6
contig-0000081	#D55E00	chr6
contig-0000082	#E6C47F	chr22
contig-0000083	#666666	chr7
contig-0000084	#D55E00	chr6
contig-0000085	#567DE9	chr16
contig-0000086	#567DE9	chr16
contig-0000087	#567DE9	chr16
contig-0000088	#737373	chr14
contig-0000089	#5699E9	chr9
contig-0000090	#5699E9	chr9
contig-0000091	#5699E9	chr9
contig-0000092	#CC8DB3	chr11
contig-0000093	#CC8DB3	chr11
contig-0000094	#CC8DB3	chr11
contig-0000095	#CC8DB3	chr11
contig-0000096	#009E73	chr3
contig-0000097	#E69F00	chr1
contig-0000098	#009E73	chr3
contig-0000099	#009E73	chr3
contig-0000100	#D55E00	chr6
contig-0000101	#56B4E9	chr2
contig-0000102	#56B4E9	chr2
contig-0000103	#56B4E9	chr2
contig-0000104	#56B4E9	chr2
contig-0000105	#E69F00	chr1
contig-0000106	#56B4E9	chr2
contig-0000107	#D55E00	chr6
contig-0000108	#D55E00	chr6
contig-0000109	#D55E00	chr6
contig-0000110	#5699E9	chr9
contig-0000111	#5699E9	chr9
contig-0000112	#00B28C	chr17
contig-0000113	#E69F00	chr1
contig-0000114	#00B28C	chr17
contig-0000115	#00B28C	chr17
contig-0000116	#E6AB23	chr8
contig-0000117	#E6AB23	chr8
contig-0000118	#E6AB23	chr8
contig-0000119	#E6AB23	chr8
contig-0000120	#E6AB23	chr8
contig-0000121	#CC8DB3	chr11
contig-0000122	#CC8DB3	chr11
contig-0000123	#E69F00	chr1
contig-0000124	#CC8DB3	chr11
contig-0000125	#CC8DB3	chr11
contig-0000126	#CC8DB3	chr11
contig-0000127	#CC8DB3	chr11
contig-0000128	#CC8DB3	chr11
contig-0000129	#338CC2	chr19
contig-0000130	#338CC2	chr19
contig-0000131	#338CC2	chr19
contig-0000132	#338CC2	chr19
contig-0000133	#338CC2	chr19
contig-0000134	#E69F00	chr1
contig-0000135	#338CC2	chr19
contig-0000136	#338CC2	chr19
contig-0000137	#737373	chr14
contig-0000138	#737373	chr14
contig-0000139	#737373	chr14
contig-0000140	#737373	chr14
contig-0000141	#009E73	chr3
contig-0000142	#009E73	chr3
contig-0000143	#009E73	chr3
contig-0000144	#009E73	chr3
contig-0000145	#567DE9	chr16
contig-0000146	#009E73	chr3
contig-0000147	#009E73	chr3
contig-0000148	#009E73	chr3
contig-0000149	#009E73	chr3
contig-0000150	#E6B847	chr15
contig-0000151	#E6B847	chr15
contig-0000152	#E6B847	chr15
contig-0000153	#666666	chr7
contig-0000154	#567DE9	chr16
contig-0000155	#666666	chr7
contig-0000156	#666666	chr7
contig-0000157	#666666	chr7
contig-0000158	#666666	chr7
contig-0000159	#CC8DB3	chr11
contig-0000160	#009E73	chr3
contig-0000161	#009E73	chr3
contig-0000162	#009E73	chr3
contig-0000163	#009E73	chr3
contig-0000164	#009E73	chr3
contig-0000165	#567DE9	chr16
contig-0000166	#E6AB23	chr8
contig-0000167	#E6AB23	chr8
contig-0000168	#E6AB23	chr8
contig-0000169	#E6AB23	chr8
contig-0000170	#CC79A7	chr4
contig-0000171	#56B4E9	chr2
contig-0000172	#56B4E9	chr2
contig-0000173	#56B4E9	chr2
contig-0000174	#56B4E9	chr2
contig-0000175	#56B4E9	chr2
contig-0000176	#567DE9	chr16
contig-0000177	#56B4E9	chr2
contig-0000178	#56B4E9	chr2
contig-0000179	#D58C66	chr20
contig-0000180	#D58C66	chr20
contig-0000181	#CC79A7	chr4
contig-0000182	#CC79A7	chr4
contig-0000183	#D57533	chr13
contig-0000184	#567DE9	chr16
contig-0000185	#CC79A7	chr4
contig-0000186	#CC79A7	chr4
contig-0000187	#CC79A7	chr4
