#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3211	248384152	250567
syndip	chr2	0	3155	242694066	237694
syndip	chr3	0	2460	201100844	204690
syndip	chr4	0	3022	193490816	224948
syndip	chr5	0	1855	182044304	186661
syndip	chr6	0	8047	172124006	210901
syndip	chr7	0	3065	160565562	187508
syndip	chrX	0	5347	154256551	129434
syndip	chr9	0	3545	150614219	155475
syndip	chr8	0	2183	146244878	150868
syndip	chr11	0	1837	135125485	184179
syndip	chr10	0	3727	134723423	149930
syndip	chr12	0	10156	133322669	138104
syndip	chr13	0	2742	113562614	111470
syndip	chr14	0	2510	101095371	139583
syndip	chr15	0	6091	99749463	159047
syndip	chr16	0	3666	96327872	129762
syndip	chr17	0	2260	84237411	97791
syndip	chr18	0	163949	80539281	93921
syndip	chr20	0	2374	66203987	83795
syndip	chr19	0	2210	61703957	86148
syndip	chr22	0	4721	51322042	112538
syndip	chr21	0	5843	45086599	83456
