Chromosome	Start	End	Methylated_allele	Name	Reference	All_CpGs_At_iDMR_CouldBeExaminedInBothHaplotypes	DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MethylationFrequency_HP1	MethylationFrequency_HP2	Included_Or_Ignored_For_PofO_Assignment
chr1	11044370	11044544	Maternal	PTCHD2	Hernandez	20	0	0	0	0	0.53891	0.44719	Ignored:DidNotMeet_cpg_difference
chr1	21120031	21120143	Maternal	ECE1;LOC100506801	Hernandez	5	0	0	0	0	0.49704	0.48487	Ignored:DidNotMeet_cpg_difference
chr1	32329102	32329320	Maternal	ZBTB8B	Joshi	9	0	0	0	0	0.43038	0.60353	Ignored:DidNotMeet_cpg_difference
chr1	39384177	39384444	Maternal	BMP8A	Akbari	18	0	0	0	0	0.27782	0.38161	Ignored:DidNotMeet_cpg_difference
chr1	39427318	39428447	Maternal	PPIEL,PABPC4	Akbari,Court,Hernandez,Joshi,Zink	52	0	45	0	0.483	0.52306	0.9589	Included
chr1	67924206	67929467	Maternal	DIRAS3,DIRAS3_Ex2,GNG12-AS1	Akbari,Court,Hernandez,Joshi,Zink	136	0	130	0	0.65858	0.29383	0.92656	Included
chr1	176387296	176387476	Maternal	ASTN1	Zink	15	0	0	0	0	0.83502	0.92522	Ignored:DidNotMeet_cpg_difference
chr1	227504793	227504903	Maternal	OBSCN	Joshi	8	0	0	0	0	0.96195	0.96254	Ignored:DidNotMeet_cpg_difference
chr10	13172944	13173273	Maternal	BTBD7P1	Akbari	27	0	0	0	0	0.59855	0.68447	Ignored:DidNotMeet_cpg_difference
chr10	27443798	27444893	Maternal	PTCHD3	Akbari,Hernandez	72	72	0	0.37155	0	0.74436	0.37281	Included
chr10	98458604	98458947	Maternal	ANKRD2	Akbari	19	0	8	0	0.20499	0.591	0.76824	Included
chr10	120716003	120716796	Maternal	INPP5F	Akbari,Court,Hernandez	64	64	0	0.44229	0	0.97306	0.53076	Included
chr10	124869055	124869380	Maternal	YBX2P1	Akbari	32	30	0	0.2736	0	0.37068	0.10191	Included
chr11	2085259	2091234	Paternal	H19,H19/IGF2	Akbari,Court,Hernandez	250	0	242	0	0.83537	0.14007	0.95146	Included
chr11	2220004	2221535	Paternal	IGF2_DMR2,IGF2,INS-IGF2	Akbari,Court,Hernandez,Zink	68	0	63	0	0.52717	0.36697	0.8607	Included
chr11	2233014	2236942	Paternal	IGF2_DMR0,IGF2,IGF2-AS,INS-IGF2	Akbari,Court,Hernandez,Zink	96	0	84	0	0.58515	0.24146	0.77538	Included
chr11	2787890	2790647	Maternal	KvDMR1,KCNQ1,KCNQ1OT1	Akbari,Court,Hernandez,Zink	205	203	0	0.91119	0	0.97276	0.06867	Included
chr11	7147542	7148122	Maternal	RBMXL2	Akbari,Hernandez,Zink	55	55	0	0.34909	0	0.96865	0.61956	Included
chr11	132831291	132831483	Maternal	OPCML	Hernandez	10	0	10	0	0.30699	0.541	0.84798	Included
chr11	133121414	133122305	Maternal	OPCML	Akbari	45	45	0	0.66746	0	0.84027	0.17281	Included
chr12	200351	201073	Maternal	SLC6A12,RP11-283I3.2	Zink	84	0	82	0	0.40186	0.19668	0.59441	Included
chr12	3845430	3845920	Paternal	PARP11	Akbari	69	0	0	0	0	0.54793	0.50735	Ignored:DidNotMeet_cpg_difference
chr12	6454803	6455271	Maternal	CD27,CD27-AS1,LOC678655	Hernandez	8	0	0	0	0	0.66824	0.68532	Ignored:DidNotMeet_cpg_difference
chr12	14651159	14651402	Maternal	H2AFJ	Hernandez	12	0	0	0	0	0.35978	0.22019	Ignored:DidNotMeet_cpg_difference
chr12	30992265	30994810	Maternal	AC024940.1	Akbari	120	0	114	0	0.33735	0.03536	0.3629	Included
