#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3131	248383412	259541
syndip	chr2	0	3314	242693212	236784
syndip	chr3	0	2321	201088028	224925
syndip	chr4	0	3263	193572966	227614
syndip	chr5	0	2439	182043949	204544
syndip	chr6	0	12536	172122265	216531
syndip	chr7	0	3478	160565390	198527
syndip	chrX	0	108735	154257065	134623
syndip	chr9	0	4828	150614447	175287
syndip	chr8	0	2292	146241568	178444
syndip	chr11	0	1954	135088110	194740
syndip	chr10	0	2227	134754547	160725
syndip	chr12	0	2990	133324401	155539
syndip	chr13	0	9258209	113563195	122859
syndip	chr14	0	5321	101160119	165989
syndip	chr15	0	149225	99749195	147361
syndip	chr16	0	2303	96328415	135560
syndip	chr17	0	48602	84274383	117393
syndip	chr18	0	163704	80539437	96610
syndip	chr20	0	8936	66207580	99158
syndip	chr19	0	2354	61704397	111053
syndip	chr22	0	1892862	51294840	124765
syndip	chr21	0	351706	45086155	58911
