#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3211	248384152	251654
syndip	chr2	0	3155	242694066	237614
syndip	chr3	0	2460	201100844	204713
syndip	chr4	0	3022	193490816	223443
syndip	chr5	0	1855	182044304	187357
syndip	chr6	0	8047	172124006	208248
syndip	chr7	0	3065	160565562	187754
syndip	chrX	0	4804	154256551	127578
syndip	chr9	0	3545	150614219	157830
syndip	chr8	0	2183	146244878	150429
syndip	chr11	0	1837	135125485	192917
syndip	chr10	0	7755	134754977	150039
syndip	chr12	0	10156	133322669	137868
syndip	chr13	0	2742	113562614	111483
syndip	chr14	0	2510	101159346	149043
syndip	chr15	0	6215	99749463	157842
syndip	chr16	0	3666	96327872	129293
syndip	chr17	0	2260	84237411	98556
syndip	chr18	0	163949	80539281	92064
syndip	chr20	0	2374	66203987	84436
syndip	chr19	0	2210	61703957	85745
syndip	chr22	0	4614	51322042	114006
syndip	chr21	0	2581	45076862	87947
