Chromosome	Start	End	Methylated_allele	Name	Reference	All_CpGs_At_iDMR_CouldBeExaminedInBothHaplotypes	DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MethylationFrequency_HP1	MethylationFrequency_HP2	Included_Or_Ignored_For_PofO_Assignment
chr1	11044370	11044544	Maternal	PTCHD2	Hernandez	20	0	0	0	0	0.49914	0.45229	Ignored:DidNotMeet_cpg_difference
chr1	21120031	21120143	Maternal	ECE1;LOC100506801	Hernandez	5	0	0	0	0	0.54356	0.65535	Ignored:DidNotMeet_cpg_difference
chr1	32329102	32329320	Maternal	ZBTB8B	Joshi	9	9	0	0.37146	0	0.6726	0.30115	Included
chr1	39384177	39384444	Maternal	BMP8A	Akbari	19	0	0	0	0	0.19726	0.22858	Ignored:DidNotMeet_cpg_difference
chr1	39427318	39428447	Maternal	PPIEL,PABPC4	Akbari,Court,Hernandez,Joshi,Zink	52	43	0	0.43554	0	0.93234	0.5521	Included
chr1	67924206	67929467	Maternal	DIRAS3,DIRAS3_Ex2,GNG12-AS1	Akbari,Court,Hernandez,Joshi,Zink	136	130	0	0.72691	0	0.9384	0.24009	Included
chr1	176387296	176387476	Maternal	ASTN1	Zink	15	0	0	0	0	0.90816	0.91336	Ignored:DidNotMeet_cpg_difference
chr1	227504793	227504903	Maternal	OBSCN	Joshi	8	0	0	0	0	0.95831	0.95969	Ignored:DidNotMeet_cpg_difference
chr10	13172944	13173273	Maternal	BTBD7P1	Akbari	27	0	27	0	0.23715	0.52993	0.76708	Included
chr10	27443798	27444893	Maternal	PTCHD3	Akbari,Hernandez	72	72	0	0.46538	0	0.92025	0.45487	Included
chr10	98458604	98458947	Maternal	ANKRD2	Akbari	19	12	0	0.2596	0	0.6178	0.37577	Included
chr10	120716003	120716796	Maternal	INPP5F	Akbari,Court,Hernandez	64	64	0	0.60637	0	0.96364	0.35727	Included
chr10	124869055	124869380	Maternal	YBX2P1	Akbari	32	32	0	0.4923	0	0.56583	0.07353	Included
chr11	2085259	2091234	Paternal	H19,H19/IGF2	Akbari,Court,Hernandez	250	0	242	0	0.84169	0.11497	0.93444	Included
chr11	2220004	2221535	Paternal	IGF2_DMR2,IGF2,INS-IGF2	Akbari,Court,Hernandez,Zink	68	0	63	0	0.56894	0.29494	0.82559	Included
chr11	2233014	2236942	Paternal	IGF2_DMR0,IGF2,IGF2-AS,INS-IGF2	Akbari,Court,Hernandez,Zink	99	0	95	0	0.56472	0.19708	0.74945	Included
chr11	2787890	2790647	Maternal	KvDMR1,KCNQ1,KCNQ1OT1	Akbari,Court,Hernandez,Zink	205	205	0	0.88407	0	0.94208	0.05801	Included
chr11	7147542	7148122	Maternal	RBMXL2	Akbari,Hernandez,Zink	55	55	0	0.31274	0	0.94803	0.6353	Included
chr11	132831291	132831483	Maternal	OPCML	Hernandez	10	0	0	0	0	0.7755	0.81269	Ignored:DidNotMeet_cpg_difference
chr11	133121414	133122305	Maternal	OPCML	Akbari	45	13	0	0.18031	0	0.86858	0.7176	Included
chr12	200351	201073	Maternal	SLC6A12,RP11-283I3.2	Zink	85	85	0	0.79157	0	0.89881	0.10724	Included
chr12	3845430	3845920	Paternal	PARP11	Akbari	69	0	0	0	0	0.36872	0.47491	Ignored:DidNotMeet_cpg_difference
chr12	6454803	6455271	Maternal	CD27,CD27-AS1,LOC678655	Hernandez	10	0	0	0	0	0.78197	0.6324	Ignored:DidNotMeet_cpg_difference
chr12	14651159	14651402	Maternal	H2AFJ	Hernandez	13	0	0	0	0	0.20674	0.08464	Ignored:DidNotMeet_cpg_difference
chr12	30992265	30994810	Maternal	AC024940.1	Akbari	138	131	0	0.33448	0	0.36037	0.03649	Included
chr12	30996914	30997274	Maternal	AC024940.1	Akbari	21	2	0	0.18719	0	0.70649	0.68755	Ignored:DidNotMeet_cpg_difference
chr12	96198127	96198449	Paternal	ELK3	Hernandez	7	0	0	0	0	0.74631	0.74348	Ignored:DidNotMeet_cpg_difference
chr12	130374845	130375163	Maternal	PIWIL1	Hernandez	40	0	0	0	0	0.84036	0.80655	Ignored:DidNotMeet_cpg_difference
chr13	19317211	19317685	Maternal	GJA3	Akbari	25	0	0	0	0	0.75437	0.72224	Ignored:DidNotMeet_cpg_difference
chr13	47537482	47542150	Maternal	RB1,PPP1R26P1	Akbari,Court,Hernandez,Joshi,Zink	258	217	0	0.80701	0	0.96044	0.27305	Included
chr13	47630529	47633749	Maternal	LPAR6,RB1	Akbari	29	11	0	0.3811	0	0.86235	0.63171	Included
chr13	59487091	59488917	Maternal	TARDBPP2	Akbari,Hernandez,Zink	39	35	0	0.6164	0	0.79114	0.23828	Included
chr13	98425642	98426046	Paternal	UBAC2	Akbari	18	0	0	0	0	0.72517	0.76596	Ignored:DidNotMeet_cpg_difference
chr13	100190731	100191002	Maternal	NALCN-AS1	Akbari	22	22	0	0.2303	0	0.93219	0.70189	Included
chr14	27997060	27998007	Maternal	NPAS3	Akbari,Zink	117	117	0	0.62903	0	0.87594	0.24691	Included
chr14	46476152	46476528	Maternal	PTGDR	Akbari	18	18	0	0.29525	0	0.56595	0.2707	Included
chr14	94961427	94961490	Paternal	DLK1	Joshi,Zink	7	0	0	0	0	0.2984	0.34333	Ignored:DidNotMeet_cpg_difference
chr14	95042558	95046625	Paternal	IG-DMR,MEG3,MEG3/DLK1	Akbari,Court,Hernandez,Zink	96	0	55	0	0.53067	0.58524	0.94795	Included
chr14	95058592	95063118	Paternal	MEG3,AL117190.1	Akbari,Court,Hernandez,Joshi,Zink	246	0	233	0	0.74787	0.22419	0.94073	Included
chr14	95135834	95136700	Maternal	MEG8,SNHG23	Zink	26	12	0	0.37017	0	0.4093	0.21355	Included
chr14	95139591	95140676	Maternal	MEG8,SNHG23	Akbari,Court,Hernandez,Zink	52	52	0	0.78949	0	0.87881	0.08932	Included
chr14	100719510	100719614	Maternal	IGHV3-37	Hernandez	10	0	0	0	0	0.75437	0.65218	Ignored:DidNotMeet_cpg_difference
chr15	21296256	21301762	Maternal	MIR4508,MKRN3	Akbari,Court,Hernandez,Joshi	109	25	1	0.41949	0.39789	0.81177	0.7731	Included
chr15	21341062	21343880	Paternal	MKRN3	Zink	14	0	0	0	0	0.6907	0.8038	Ignored:DidNotMeet_cpg_difference
chr15	21363464	21363638	Maternal	MKRN3	Zink	10	10	0	0.50756	0	0.7057	0.19813	Included
chr15	21368503	21368715	Maternal	MKRN3	Zink	8	0	0	0	0	0.85813	0.68229	Ignored:DidNotMeet_cpg_difference
chr15	21377299	21377524	Maternal	MAGEL2	Zink	6	5	0	0.32162	0	0.49872	0.19189	Included
chr15	21381510	21383473	Maternal	MAGEL2	Akbari,Court,Hernandez,Joshi,Zink	64	56	0	0.68908	0	0.87927	0.25635	Included
chr15	21420762	21422619	Maternal	NDN	Akbari,Court,Hernandez,Joshi,Zink	117	111	0	0.56357	0	0.71771	0.17699	Included
chr15	21532265	21532875	Maternal	RNU6-741P	Zink	21	0	0	0	0	0.80234	0.68408	Ignored:DidNotMeet_cpg_difference
chr15	21563910	21564305	Paternal	RNU6-741P	Zink	6	0	0	0	0	0.76615	0.87245	Ignored:DidNotMeet_cpg_difference
chr15	21589212	21590074	Maternal	RP11-484P15.1	Zink	9	5	0	0.38761	0	0.48014	0.12861	Included
chr15	21591584	21596455	Maternal	RP11-484P15.1	Akbari,Zink,Zink	84	44	0	0.44369	0	0.71634	0.49556	Included
chr15	21603570	21604377	Maternal	RP11-484P15.1	Akbari,Zink	36	33	0	0.5213	0	0.63323	0.133	Included
chr15	21611867	21613067	Maternal	RP11-484P15.1	Akbari,Zink	40	34	0	0.41921	0	0.51333	0.14886	Included
chr15	21617488	21617845	Paternal	RP11-484P15.1	Zink	11	0	0	0	0	0.69863	0.87413	Ignored:DidNotMeet_cpg_difference
chr15	21630697	21633011	Maternal	PWRN4,RP11-484P15.1	Akbari,Joshi,Zink	59	27	0	0.32515	0	0.69004	0.55558	Included
chr15	21648478	21650220	Paternal	RP11-484P15.1	Zink	11	0	1	0	0.4207	0.56149	0.7641	Ignored:DidNotMeet_cpg_difference
chr15	21674147	21675281	Paternal	RP11-484P15.1	Zink	12	0	0	0	0	0.70014	0.81722	Ignored:DidNotMeet_cpg_difference
chr15	21743102	21743985	Paternal	PWRN4	Zink	7	0	0	0	0	0.52399	0.77422	Ignored:DidNotMeet_cpg_difference
chr15	21763297	21763709	Paternal	PWRN4	Zink	5	0	0	0	0	0.61955	0.81751	Ignored:DidNotMeet_cpg_difference
chr15	21784164	21785579	Paternal	PWRN4	Zink	12	0	7	0	0.50481	0.51787	0.89822	Included
chr15	21835134	21836136	Maternal	SNRPN_intragenic_CpG32,PWRN2	Akbari,Court,Zink	46	41	0	0.40437	0	0.56508	0.18107	Included
chr15	21890432	21891180	Paternal	PWRN2	Zink	7	0	0	0	0	0.5065	0.72266	Ignored:DidNotMeet_cpg_difference
chr15	21897209	21897954	Paternal	PWRN2	Zink	8	0	0	0	0	0.66201	0.83151	Ignored:DidNotMeet_cpg_difference
chr15	21908292	21909250	Paternal	PWRN2	Zink	9	0	6	0	0.45369	0.4585	0.81486	Included
chr15	22008923	22009869	Paternal	RP11-580I1.2	Zink	10	0	0	0	0	0.6468	0.81325	Ignored:DidNotMeet_cpg_difference
chr15	22160590	22161837	Maternal	SNRPN_intragenic_CpG29,PWRN3	Akbari,Court,Zink	53	39	0	0.43426	0	0.54058	0.24084	Included
chr15	22211722	22212175	Maternal	SNRPN_intragenic_CpG30	Akbari,Court	31	31	0	0.42423	0	0.52827	0.10404	Included
chr15	22310237	22311050	Paternal	PWRN1	Zink	8	0	4	0	0.41714	0.51786	0.86289	Included
chr15	22312618	22313135	Paternal	PWRN1	Zink	7	0	1	0	0.31696	0.55004	0.82147	Included
chr15	22505473	22506455	Paternal	PWRN1,SNRPN	Hernandez,Zink	14	0	2	0	0.45907	0.6814	0.83027	Included
chr15	22508944	22510547	Maternal	SNRPN_intragenic_CpG40,SNRPN	Akbari,Court,Hernandez,Joshi,Zink	81	76	0	0.54592	0	0.66997	0.15118	Included
chr15	22560068	22561411	Maternal	SNRPN	Akbari,Court,Hernandez,Joshi,Zink	22	16	0	0.65225	0	0.80568	0.27064	Included
chr15	22583384	22585283	Maternal	SNRPN,RP11-385H1.1	Akbari,Court,Hernandez,Joshi,Zink	78	76	0	0.48517	0	0.64978	0.17027	Included
chr15	22593074	22595820	Maternal	SNRPN	Joshi,Zink	38	22	0	0.48711	0	0.80711	0.44677	Included
chr15	22614163	22616870	Maternal	SNRPN	Akbari,Court,Hernandez,Joshi,Zink	88	0	0	0	0	0.76634	0.72518	Ignored:DidNotMeet_cpg_difference
