Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Maternal	Paternal	1.0	116.56965999999998	0	182	0	3	0	182	0	197	0
chr10	Maternal	Paternal	0.93439	91.18384	6.40305	180	27	4	1	180	27	187	27
chr11	Maternal	Paternal	1.0	493.95968	0	673	0	6	0	673	0	722	0
chr12	Maternal	Paternal	1.0	111.10033	0	216	0	2	0	216	0	223	0
chr13	Maternal	Paternal	1.0	205.95387	0	285	0	4	0	285	0	348	0
chr14	Maternal	Paternal	1.0	327.84709000000004	0	487	0	6	0	487	0	555	0
chr15	Maternal	Paternal	0.95255	506.04833	25.207769999999996	911	62	26	2	912	61	1381	63
chr16	Maternal	Paternal	1.0	197.3443	0	412	0	6	0	412	0	551	0
chr17	Maternal	Paternal	1.0	5.9134400000000005	0	26	0	1	0	26	0	139	0
chr18	Paternal	Maternal	1.0	160.67401	0	231	0	3	0	231	0	232	0
chr19	Paternal	Maternal	1.0	484.12838	0	696	0	10	0	696	0	758	0
chr2	Paternal	Maternal	1.0	365.09747	0	629	0	6	0	629	0	676	0
chr20	Paternal	Maternal	1.0	1012.6035300000001	0	1322	0	10	0	1322	0	1456	0
chr21	Maternal	Paternal	1.0	62.40854	0	112	0	2	0	112	0	113	0
chr22	Paternal	Maternal	1.0	60.422819999999994	0	87	0	2	0	87	0	103	0
chr3	Paternal	Maternal	1.0	54.00461	0	85	0	2	0	85	0	85	0
chr4	Maternal	Paternal	0.97979	109.80764	2.26456	193	8	3	1	193	8	199	31
chr5	Maternal	Paternal	1.0	76.3399	0	115	0	2	0	115	0	122	0
chr6	Paternal	Maternal	0.94243	326.5473	19.94763	434	51	4	1	434	51	442	51
chr7	Maternal	Paternal	1.0	643.79227	0	829	0	9	0	829	0	862	0
chr8	Maternal	Paternal	1.0	403.50044	0	617	0	9	0	617	0	691	0
chr9	Paternal	Maternal	0.60026	70.15540000000001	46.71954	165	63	2	1	165	63	176	63
