Chromosome	Start	End	Methylated_allele	Name	Reference	All_CpGs_At_iDMR_CouldBeExaminedInBothHaplotypes	DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MethylationFrequency_HP1	MethylationFrequency_HP2	Included_Or_Ignored_For_PofO_Assignment
chr1	11044370	11044544	Maternal	PTCHD2	Hernandez	20	0	0	0	0	0.50582	0.57915	Ignored:DidNotMeet_cpg_difference
chr1	21120031	21120143	Maternal	ECE1;LOC100506801	Hernandez	5	0	0	0	0	0.30466	0.54827	Ignored:DidNotMeet_cpg_difference
chr1	32329102	32329320	Maternal	ZBTB8B	Joshi	9	0	8	0	0.2445	0.57918	0.82368	Included
chr1	39384177	39384444	Maternal	BMP8A	Akbari	19	0	0	0	0	0.23031	0.3118	Ignored:DidNotMeet_cpg_difference
chr1	39427318	39428447	Maternal	PPIEL,PABPC4	Akbari,Court,Hernandez,Joshi,Zink	52	0	46	0	0.4971	0.48999	0.9467	Included
chr1	67924206	67929467	Maternal	DIRAS3,DIRAS3_Ex2,GNG12-AS1	Akbari,Court,Hernandez,Joshi,Zink	136	0	129	0	0.68068	0.30048	0.95129	Included
chr1	176387296	176387476	Maternal	ASTN1	Zink	15	0	0	0	0	0.77706	0.80893	Ignored:DidNotMeet_cpg_difference
chr1	227504793	227504903	Maternal	OBSCN	Joshi	8	0	0	0	0	0.95587	0.97223	Ignored:DidNotMeet_cpg_difference
chr10	13172944	13173273	Maternal	BTBD7P1	Akbari	27	0	0	0	0	0.64619	0.62373	Ignored:DidNotMeet_cpg_difference
chr10	27443798	27444893	Maternal	PTCHD3	Akbari,Hernandez	72	0	72	0	0.49518	0.44615	0.94133	Included
chr10	98458604	98458947	Maternal	ANKRD2	Akbari	19	16	0	0.26974	0	0.80795	0.55599	Included
chr10	120716003	120716796	Maternal	INPP5F	Akbari,Court,Hernandez	64	0	64	0	0.46441	0.50439	0.9688	Included
chr10	124869055	124869380	Maternal	YBX2P1	Akbari	32	0	0	0	0	0.11045	0.12464	Ignored:DidNotMeet_cpg_difference
chr11	2085259	2091234	Paternal	H19,H19/IGF2	Akbari,Court,Hernandez	250	241	0	0.82257	0	0.94128	0.14476	Included
chr11	2220004	2221535	Paternal	IGF2_DMR2,IGF2,INS-IGF2	Akbari,Court,Hernandez,Zink	68	63	0	0.42939	0	0.84465	0.43619	Included
chr11	2233014	2236942	Paternal	IGF2_DMR0,IGF2,IGF2-AS,INS-IGF2	Akbari,Court,Hernandez,Zink	100	74	0	0.49464	0	0.70582	0.2846	Included
chr11	2787890	2790647	Maternal	KvDMR1,KCNQ1,KCNQ1OT1	Akbari,Court,Hernandez,Zink	204	0	202	0	0.90107	0.06638	0.96051	Included
chr11	7147542	7148122	Maternal	RBMXL2	Akbari,Hernandez,Zink	55	0	55	0	0.23167	0.71839	0.95006	Included
chr11	132831291	132831483	Maternal	OPCML	Hernandez	10	0	0	0	0	0.67651	0.74499	Ignored:DidNotMeet_cpg_difference
chr11	133121414	133122305	Maternal	OPCML	Akbari	45	0	44	0	0.39725	0.43433	0.82762	Included
chr12	200351	201073	Maternal	SLC6A12,RP11-283I3.2	Zink	84	83	0	0.50992	0	0.61411	0.10749	Included
chr12	3845430	3845920	Paternal	PARP11	Akbari	69	0	0	0	0	0.48128	0.62202	Ignored:DidNotMeet_cpg_difference
chr12	6454803	6455271	Maternal	CD27,CD27-AS1,LOC678655	Hernandez	8	0	0	0	0	0.57732	0.5391	Ignored:DidNotMeet_cpg_difference
chr12	14651159	14651402	Maternal	H2AFJ	Hernandez	13	0	0	0	0	0.22639	0.18784	Ignored:DidNotMeet_cpg_difference
chr12	30992265	30994810	Maternal	AC024940.1	Akbari	143	143	0	0.83652	0	0.87675	0.04023	Included
chr12	30996914	30997274	Maternal	AC024940.1	Akbari	16	16	0	0.78381	0	0.96134	0.17753	Included
chr12	96198127	96198449	Paternal	ELK3	Hernandez	7	0	0	0	0	0.42923	0.3069	Ignored:DidNotMeet_cpg_difference
chr12	130374845	130375163	Maternal	PIWIL1	Hernandez	40	40	0	0.2962	0	0.88691	0.59071	Included
chr13	19317211	19317685	Maternal	GJA3	Akbari	25	0	0	0	0	0.37002	0.48284	Ignored:DidNotMeet_cpg_difference
chr13	47537482	47542150	Maternal	RB1,PPP1R26P1	Akbari,Court,Hernandez,Joshi,Zink	258	0	210	0	0.77939	0.32573	0.96654	Included
chr13	47630529	47633749	Maternal	LPAR6,RB1	Akbari	29	0	16	0	0.43112	0.37407	0.74412	Included
chr13	59487091	59488917	Maternal	TARDBPP2	Akbari,Hernandez,Zink	39	0	34	0	0.57748	0.32977	0.86465	Included
chr13	98425642	98426046	Paternal	UBAC2	Akbari	18	0	0	0	0	0.68426	0.59955	Ignored:DidNotMeet_cpg_difference
chr13	100190731	100191002	Maternal	NALCN-AS1	Akbari	22	0	22	0	0.34551	0.28449	0.63	Included
chr14	27997060	27998007	Maternal	NPAS3	Akbari,Zink	117	0	117	0	0.31706	0.19676	0.51382	Included
chr14	46476152	46476528	Maternal	PTGDR	Akbari	18	0	0	0	0	0.32731	0.40886	Ignored:DidNotMeet_cpg_difference
chr14	94961427	94961490	Paternal	DLK1	Joshi,Zink	7	0	0	0	0	0.40044	0.38623	Ignored:DidNotMeet_cpg_difference
chr14	95042558	95046625	Paternal	IG-DMR,MEG3,MEG3/DLK1	Akbari,Court,Hernandez,Zink	96	57	0	0.56797	0	0.94824	0.55412	Included
chr14	95058592	95063118	Paternal	MEG3,AL117190.1	Akbari,Court,Hernandez,Joshi,Zink	246	240	0	0.76265	0	0.94311	0.19286	Included
chr14	95135834	95136700	Maternal	MEG8,SNHG23	Zink	26	0	9	0	0.38726	0.21667	0.41088	Included
chr14	95139591	95140676	Maternal	MEG8,SNHG23	Akbari,Court,Hernandez,Zink	52	0	52	0	0.75384	0.11557	0.86941	Included
