#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3131	248384169	241714
syndip	chr2	0	3314	242693212	243730
syndip	chr3	0	2321	201088028	227005
syndip	chr4	0	26508	193572966	232474
syndip	chr5	0	2439	182043949	207551
syndip	chr6	0	12536	172122265	200586
syndip	chr7	0	3478	160565444	200951
syndip	chrX	0	108735	270159	432
syndip	chr9	0	4828	150614447	162411
syndip	chr8	0	2292	146241568	187405
syndip	chr11	0	1418	135088110	196182
syndip	chr10	0	2227	134754547	162664
syndip	chr12	0	2990	133324401	156791
syndip	chr13	0	9283	113563195	118554
syndip	chr14	0	5321	101160119	161721
syndip	chr15	0	149225	99749195	90047
syndip	chr16	0	2303	96328415	125278
syndip	chr17	0	48602	84274383	120231
syndip	chr18	0	163704	80539437	97476
syndip	chr20	0	8936	66207580	99959
syndip	chr19	0	2354	61704397	104560
syndip	chr22	0	4599	51292712	125127
syndip	chr21	0	351706	45086155	59164
