sample	method	haplotype	contig	switch_position	from_type	to_type	from_kmer_count	to_kmer_count	from_block_length	to_block_length	chr	ref_position	strand
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000001	203254525	paternal	maternal	5	7	169725	33289	chr2	38872660.0	-
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000003	46628406	maternal	paternal	96	5	152208	3282	chr9	46610216.0	+
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000003	46634541	paternal	maternal	5	5	3282	17638	chr9	46616348.0	+
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000003	47060137	maternal	paternal	7	5	19821	7718	chr9	47041762.0	+
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000003	47075464	paternal	maternal	5	6	7718	5884	chr9	47057082.0	+
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000003	47255046	maternal	paternal	10	6	26413	13301	chr9	47236587.0	+
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000003	47278736	paternal	maternal	6	455	13301	401743	chr9	47260267.0	+
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000004	8133713	paternal	maternal	5	78	35284	46220	chr17	75944332.0	-
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000004	44726710	paternal	maternal	5	31	9814	44960	chr17	39650761.0	-
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000004	58080862	maternal	paternal	1351	14	1634929	40330	chr17	26410017.0	-
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000004	58123835	paternal	maternal	14	6	40330	28552	chr17	26379076.0	-
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000004	58239986	paternal	maternal	13	9	29744	5977	chr17	26286263.0	-
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000004	58356662	paternal	maternal	8	705	31924	657876	chr17	25523951.0	-
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000004	59066970	maternal	paternal	705	7	657876	14659	chr17	25457406.0	-
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000004	59169313	maternal	paternal	7	5	19699	4335	chr17	25366137.0	-
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000004	59459565	paternal	maternal	13	5	25117	4877	chr17	25077713.0	-
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000004	59993685	paternal	maternal	10	7	27205	21948	chr17	24531013.0	-
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000004	60615522	paternal	maternal	11	923	150362	1027852	chr17	22916535.0	-
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000004	84311938	paternal	maternal	5	12	37815	145440	chr17	288430.0	-
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000005	3099420	paternal	maternal	8	10	35119	38566	chr14	97941066.0	-
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000005	32110867	maternal	paternal	88	5	131077	61686	chr14	68989635.0	-
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000005	89537370	maternal	paternal	41	44	428106	36574	chr14	11752605.0	-
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000005	89651001	paternal	maternal	34	7	56078	50918	chr14	11624996.0	-
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000005	89886372	maternal	paternal	7	11	6411	38325	chr14	11402856.0	-
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000005	90203925	paternal	maternal	19	8	63439	81561	chr14	11043100.0	-
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000005	90291719	maternal	paternal	8	14	81561	29428	chr14	11007541.0	-
T2T04	verkko_pofo	haplotype1	T2T04#1#haplotype1-0000005	90489466	maternal	paternal	6	21	43853	57363	chr14	10782506.0	-
