sample	method	haplotype	contig	switch_position	from_type	to_type	from_kmer_count	to_kmer_count	from_block_length	to_block_length	chr	ref_position	strand
T2T00	verkko_trio	haplotype1	mat-0000002	1768165	maternal	paternal	18	6	90004	3031	chr1	953029.0	+
T2T00	verkko_trio	haplotype1	mat-0000002	13249723	maternal	paternal	40	6	72925	17383	chr1	12440219.0	+
T2T00	verkko_trio	haplotype1	mat-0000002	27213132	paternal	maternal	5	6	5688	15837	chr1	26410477.0	+
T2T00	verkko_trio	haplotype1	mat-0000002	60621003	maternal	paternal	5	5	20739	209367	chr1	59834735.0	+
T2T00	verkko_trio	haplotype1	mat-0000002	60947735	paternal	maternal	5	197	209367	372139	chr1	60161627.0	+
T2T00	verkko_trio	haplotype1	mat-0000002	65361753	maternal	paternal	9	5	137564	35094	chr1	64577810.0	+
T2T00	verkko_trio	haplotype1	mat-0000002	69062209	maternal	paternal	67	5	95992	8314	chr1	68280081.0	+
T2T00	verkko_trio	haplotype1	mat-0000002	113532031	maternal	paternal	24	6	13722	891	chr1	112771715.0	+
T2T00	verkko_trio	haplotype1	mat-0000002	113533657	paternal	maternal	6	68	891	54976	chr1	112773342.0	+
T2T00	verkko_trio	haplotype1	mat-0000002	113669499	paternal	maternal	7	5	22278	71984	chr1	112909251.0	+
T2T00	verkko_trio	haplotype1	mat-0000002	130776958	maternal	paternal	18	5	22355	6003	chr1	130025101.0	+
T2T00	verkko_trio	haplotype1	mat-0000002	130788299	paternal	maternal	5	8	6003	4581	chr1	130036448.0	+
T2T00	verkko_trio	haplotype1	mat-0000002	130837197	paternal	maternal	5	6	3423	6347	chr1	130085370.0	+
T2T00	verkko_trio	haplotype1	mat-0000002	145826522	paternal	maternal	5	5	118532	71732	chr1	145082047.0	+
T2T00	verkko_trio	haplotype1	mat-0000002	146192445	paternal	maternal	10	7	88141	90027	chr1	145448149.0	+
T2T00	verkko_trio	haplotype1	mat-0000002	180902867	paternal	maternal	5	7	45938	148226	chr1	180175597.0	+
T2T00	verkko_trio	haplotype1	mat-0000002	193278334	maternal	paternal	135	5	324985	20962	chr1	192557134.0	+
T2T00	verkko_trio	haplotype1	mat-0000002	193327688	paternal	maternal	5	26	20962	178288	chr1	192606512.0	+
T2T00	verkko_trio	haplotype1	mat-0000002	216071069	maternal	paternal	10	5	101500	51529	chr1	215361049.0	+
T2T00	verkko_trio	haplotype1	mat-0000004	70552660	maternal	paternal	97	7	205373	236213	chr18	9832383.0	-
T2T00	verkko_trio	haplotype1	mat-0000004	70823757	paternal	maternal	7	29	236213	42992	chr18	9755058.0	-
T2T00	verkko_trio	haplotype1	mat-0000005	16441663	maternal	paternal	39	5	127787	36228	chr10	14719571.0	+
T2T00	verkko_trio	haplotype1	mat-0000005	16507555	paternal	maternal	5	16	36228	4854	chr10	14785496.0	+
T2T00	verkko_trio	haplotype1	mat-0000005	70295130	maternal	paternal	23	11	458649	81716	chr10	68599339.0	+
T2T00	verkko_trio	haplotype1	mat-0000005	70383989	paternal	maternal	11	17	81716	68238	chr10	68688242.0	+
T2T00	verkko_trio	haplotype1	mat-0000006	9907571	maternal	paternal	18	5	58606	17634	chr3	9900994.0	+
T2T00	verkko_trio	haplotype1	mat-0000006	47323252	maternal	paternal	14	6	140353	43511	chr3	47324811.0	+
T2T00	verkko_trio	haplotype1	mat-0000006	52588759	maternal	paternal	33	5	219715	10789	chr3	52591463.0	+
T2T00	verkko_trio	haplotype1	mat-0000006	67673544	paternal	maternal	5	36	100676	400167	chr3	67679528.0	+
T2T00	verkko_trio	haplotype1	mat-0000006	104057212	maternal	paternal	27	5	22348	6288	chr3	104071108.0	+
T2T00	verkko_trio	haplotype1	mat-0000006	199937882	maternal	paternal	5	5	64638	40738	chr3	199972627.0	+
T2T00	verkko_trio	haplotype1	mat-0000007	1190074	maternal	paternal	33	6	12434	174557	chr17	82726835.0	-
T2T00	verkko_trio	haplotype1	mat-0000007	6351916	maternal	paternal	72	5	50258	27497	chr17	77716310.0	-
T2T00	verkko_trio	haplotype1	mat-0000007	8950495	maternal	paternal	91	5	142978	8537	chr17	75138880.0	-
T2T00	verkko_trio	haplotype1	mat-0000007	18116187	maternal	paternal	113	5	152163	44409	chr17	65945126.0	-
T2T00	verkko_trio	haplotype1	mat-0000007	34978685	maternal	paternal	21	5	117201	1323	chr17	49139991.0	-
T2T00	verkko_trio	haplotype1	mat-0000007	34982359	paternal	maternal	5	19	1323	12858	chr17	49124795.0	-
T2T00	verkko_trio	haplotype1	mat-0000007	39463389	paternal	maternal	5	7	85931	33397	chr17	44627046.0	-
T2T00	verkko_trio	haplotype1	mat-0000007	42905688	paternal	maternal	5	24	68815	56445	chr17	41164641.0	-
T2T00	verkko_trio	haplotype1	mat-0000007	56037995	maternal	paternal	15	5	109302	35088	chr17	28064819.0	-
T2T00	verkko_trio	haplotype1	mat-0000007	57576029	paternal	maternal	6	15	4309	23669	chr17	26539500.0	-
T2T00	verkko_trio	haplotype1	mat-0000007	57609979	paternal	maternal	6	11	3041	55058	chr17	26474216.0	-
T2T00	verkko_trio	haplotype1	mat-0000007	58169352	maternal	paternal	19	7	295923	35721	chr17	25934639.0	-
T2T00	verkko_trio	haplotype1	mat-0000007	58271216	paternal	maternal	7	27	35721	605369	chr17	25263697.0	-
T2T00	verkko_trio	haplotype1	mat-0000007	63948846	maternal	paternal	100	5	124913	26951	chr17	20168813.0	-
T2T00	verkko_trio	haplotype1	mat-0000007	65177252	paternal	maternal	7	5	85921	27284	chr17	18941117.0	-
T2T00	verkko_trio	haplotype1	mat-0000007	80319643	maternal	paternal	9	6	61100	24980	chr17	3813881.0	-
T2T00	verkko_trio	haplotype1	mat-0000008	106676537	maternal	paternal	6	6	67298	35259	chr2	136143247.0	-
T2T00	verkko_trio	haplotype1	mat-0000008	180732296	paternal	maternal	5	18	2285	197291	chr2	61905484.0	-
T2T00	verkko_trio	haplotype1	mat-0000008	213753856	maternal	paternal	70	5	52385	82636	chr2	28989723.0	-
T2T00	verkko_trio	haplotype1	mat-0000008	216693308	paternal	maternal	5	12	9214	134225	chr2	25997878.0	-
T2T00	verkko_trio	haplotype1	mat-0000009	50940726	maternal	paternal	5	5	65655	151406	chr7	109641803.0	-
T2T00	verkko_trio	haplotype1	mat-0000009	61490659	maternal	paternal	9	5	123001	30705	chr7	99209832.0	-
T2T00	verkko_trio	haplotype1	mat-0000009	64665658	maternal	paternal	12	5	241279	129123	chr7	95935555.0	-
T2T00	verkko_trio	haplotype1	mat-0000009	64797780	paternal	maternal	5	5	129123	161990	chr7	95770523.0	-
T2T00	verkko_trio	haplotype1	mat-0000009	67147085	maternal	paternal	7	5	45255	17345	chr7	93565284.0	-
T2T00	verkko_trio	haplotype1	mat-0000009	67192846	paternal	maternal	5	8	17345	102436	chr7	93434397.0	-
T2T00	verkko_trio	haplotype1	mat-0000009	85341681	maternal	paternal	47	7	19735	50184	chr7	75333062.0	-
T2T00	verkko_trio	haplotype1	mat-0000009	85404058	paternal	maternal	7	57	50184	88745	chr7	75232097.0	-
T2T00	verkko_trio	haplotype1	mat-0000009	86999864	paternal	maternal	5	6	23068	31695	chr7	73692937.0	-
T2T00	verkko_trio	haplotype1	mat-0000009	115676364	maternal	paternal	60	5	390770	52055	chr7	44988541.0	-
T2T00	verkko_trio	haplotype1	mat-0000009	118624596	maternal	paternal	6	5	50789	14492	chr7	42077108.0	-
T2T00	verkko_trio	haplotype1	mat-0000009	118659306	paternal	maternal	5	11	14492	8416	chr7	42048466.0	-
T2T00	verkko_trio	haplotype1	mat-0000009	133499616	maternal	paternal	75	5	153491	22281	chr7	27190390.0	-
T2T00	verkko_trio	haplotype1	mat-0000009	153202762	paternal	maternal	7	57	45896	92963	chr7	7411369.0	-
T2T00	verkko_trio	haplotype1	mat-0000010	42790068	maternal	paternal	11	5	65151	106234	chr15	46781340.0	+
T2T00	verkko_trio	haplotype1	mat-0000010	54437235	maternal	paternal	139	5	248363	11434	chr15	58437779.0	+
T2T00	verkko_trio	haplotype1	mat-0000010	54448649	paternal	maternal	5	59	11434	298025	chr15	58449202.0	+
T2T00	verkko_trio	haplotype1	mat-0000010	67479966	maternal	paternal	20	5	347766	70429	chr15	71490892.0	+
T2T00	verkko_trio	haplotype1	mat-0000012	136016739	maternal	paternal	52	6	179744	32097	chrX	18086318.0	-
T2T00	verkko_trio	haplotype1	mat-0000012	152729318	maternal	paternal	37	6	105762	931	chrX	1401878.0	-
T2T00	verkko_trio	haplotype1	mat-0000013	696496	paternal	maternal	5	6	17276	3501	unmapped		
T2T00	verkko_trio	haplotype1	mat-0000014	11922213	maternal	paternal	76	5	28009	12536	chr22	17029677.0	+
T2T00	verkko_trio	haplotype1	mat-0000014	37853746	paternal	maternal	6	6	15445	17325	chr22	42962925.0	+
T2T00	verkko_trio	haplotype1	mat-0000014	37889928	maternal	paternal	6	6	17325	57867	chr22	42999109.0	+
T2T00	verkko_trio	haplotype1	mat-0000014	37965817	paternal	maternal	6	7	57867	50448	chr22	43075003.0	+
T2T00	verkko_trio	haplotype1	mat-0000016	23371186	paternal	maternal	5	121	47684	118907	chr19	38218285.0	-
T2T00	verkko_trio	haplotype1	mat-0000017	35431862	paternal	maternal	5	13	47665	106583	chr8	36000379.0	+
T2T00	verkko_trio	haplotype1	mat-0000017	45056064	maternal	paternal	7	6	7822	2436	chr8	45539323.0	+
T2T00	verkko_trio	haplotype1	mat-0000017	60946263	maternal	paternal	38	13	205978	19914	chr8	61288755.0	+
T2T00	verkko_trio	haplotype1	mat-0000017	102327487	maternal	paternal	7	5	60749	40488	chr8	102303395.0	+
T2T00	verkko_trio	haplotype1	mat-0000017	125083105	maternal	paternal	30	5	68553	94737	chr8	124857427.0	+
T2T00	verkko_trio	haplotype1	mat-0000017	125206536	paternal	maternal	5	21	94737	19564	chr8	124979765.0	+
T2T00	verkko_trio	haplotype1	mat-0000018	30093722	maternal	paternal	9	5	66919	17561	chr20	35519199.0	-
T2T00	verkko_trio	haplotype1	mat-0000018	30128850	paternal	maternal	5	5	17561	87723	chr20	35413894.0	-
T2T00	verkko_trio	haplotype1	mat-0000018	35148496	maternal	paternal	8	7	71651	10186	chr20	30471104.0	-
