sample	method	haplotype	contig	switch_position	from_type	to_type	from_kmer_count	to_kmer_count	from_block_length	to_block_length	chr	ref_position	strand
T2T04	hifiasm_porec	haplotype1	h1tg000001l	18506117	paternal	maternal	8	7	12633	52599	chr7	142189487.0	-
T2T04	hifiasm_porec	haplotype1	h1tg000001l	18565145	maternal	paternal	7	6	52599	92181	chr7	142090651.0	-
T2T04	hifiasm_porec	haplotype1	h1tg000001l	42687608	maternal	paternal	5	36	125473	99602	chr7	117905285.0	-
T2T04	hifiasm_porec	haplotype1	h1tg000001l	58546785	paternal	maternal	32	5	75827	25719	chr7	102083697.0	-
T2T04	hifiasm_porec	haplotype1	h1tg000001l	98827748	paternal	maternal	8	5	4407	8136	chr7	61727740.0	-
T2T04	hifiasm_porec	haplotype1	h1tg000001l	120857905	paternal	maternal	15	5	157111	31814	chr7	39623198.0	-
T2T04	hifiasm_porec	haplotype1	h1tg000001l	120922039	maternal	paternal	5	10	31814	252962	chr7	39337260.0	-
T2T04	hifiasm_porec	haplotype1	h1tg000002l	11263784	paternal	maternal	15	12	66460	60587	chr14	10811563.0	+
T2T04	hifiasm_porec	haplotype1	h1tg000002l	47219226	paternal	maternal	35	7	246711	61978	chr14	46759299.0	+
T2T04	hifiasm_porec	haplotype1	h1tg000002l	58432439	paternal	maternal	9	5	21088	61465	chr14	57970109.0	+
T2T04	hifiasm_porec	haplotype1	h1tg000002l	94772843	maternal	paternal	8	38	54023	74515	chr14	94302725.0	+
T2T04	hifiasm_porec	haplotype1	h1tg000003l	73675627	paternal	maternal	7	14	16072	148766	chr2	73588735.0	+
T2T04	hifiasm_porec	haplotype1	h1tg000003l	84956480	maternal	paternal	5	5	75754	27495	chr2	84857680.0	+
T2T04	hifiasm_porec	haplotype1	h1tg000003l	85001908	paternal	maternal	5	17	27495	11746	chr2	84903060.0	+
T2T04	hifiasm_porec	haplotype1	h1tg000003l	128615063	maternal	paternal	65	5	251007	16728	chr2	128470178.0	+
